feature,coef,annotation
K02557,0.4536227539,Bacterial chemotaxis
K03414,0.6685717949,Bacterial chemotaxis
K02410,0.4694780166,Bacterial chemotaxis
K02416,0.4632338571,Bacterial chemotaxis
K03409,0.5016658438,Bacterial chemotaxis
K02417,0.47291204,Bacterial chemotaxis
K03411,0.4715142487,Bacterial chemotaxis
K03410,0.4590527035,Bacterial chemotaxis
K01903,-0.4557347152,Citrate cycle (TCA cycle)
K00241,-0.4639809425,Citrate cycle (TCA cycle)
K00240,-0.3543801364,Citrate cycle (TCA cycle)
K01960,-0.4819005847,Citrate cycle (TCA cycle)
K00024,-0.4480397389,Citrate cycle (TCA cycle)
K01676,-0.4426651683,Citrate cycle (TCA cycle)
K00246,0.4304564519,Citrate cycle (TCA cycle)
K00245,0.4302071273,Citrate cycle (TCA cycle)
K00239,-0.3271134043,Citrate cycle (TCA cycle)
K00658,-0.3009915622,Citrate cycle (TCA cycle)
K00031,0.3455311883,Citrate cycle (TCA cycle)
K00164,-0.2772878148,Citrate cycle (TCA cycle)
K01677,0.3494095807,Citrate cycle (TCA cycle)
K01678,0.3494095807,Citrate cycle (TCA cycle)
K00175,-0.1904863105,Citrate cycle (TCA cycle)
K00244,-0.2999302166,Citrate cycle (TCA cycle)
K00174,-0.1870524238,Citrate cycle (TCA cycle)
K01679,-0.2346171858,Citrate cycle (TCA cycle)
K01647,0.214949973,Citrate cycle (TCA cycle)
K01681,0.2015043836,Citrate cycle (TCA cycle)
K01958,-0.2541419337,Citrate cycle (TCA cycle)
K00030,-0.2591372009,Citrate cycle (TCA cycle)
K02414,0.6532617783,Flagellar assembly
K02397,0.5569995207,Flagellar assembly
K02418,0.5928907231,Flagellar assembly
K02386,0.7511406556,Flagellar assembly
K02393,0.7511406556,Flagellar assembly
K02389,0.566515521,Flagellar assembly
K02394,0.6967134767,Flagellar assembly
K02409,0.5249249618,Flagellar assembly
K04562,0.5752750429,Flagellar assembly
K02411,0.5159657609,Flagellar assembly
K02413,0.5773589764,Flagellar assembly
K02388,0.4828147727,Flagellar assembly
K02390,0.4975133829,Flagellar assembly
K02407,0.5605636935,Flagellar assembly
K02408,0.487113181,Flagellar assembly
K02400,0.468508981,Flagellar assembly
K02396,0.5016433637,Flagellar assembly
K02412,0.4630708159,Flagellar assembly
K02419,0.4630708159,Flagellar assembly
K02387,0.4642938451,Flagellar assembly
K02420,0.4657822056,Flagellar assembly
K02421,0.4628121023,Flagellar assembly
K02401,0.4673656857,Flagellar assembly
