feature,coef,annotation
K03077,-0.9738709224,Ascorbate and aldarate metabolism
K03079,-0.8924326952,Ascorbate and aldarate metabolism
K03476,-0.9487006473,Ascorbate and aldarate metabolism
K02822,-0.8436364665,Ascorbate and aldarate metabolism
K02821,-0.6746788817,Ascorbate and aldarate metabolism
K03475,-0.8221367933,Ascorbate and aldarate metabolism
K03410,-1.034604195,Bacterial chemotaxis
K02416,-0.7193916381,Bacterial chemotaxis
K03411,-0.8231881834,Bacterial chemotaxis
K02410,-0.6576305934,Bacterial chemotaxis
K02557,-0.5164237913,Bacterial chemotaxis
K02417,-0.6223118078,Bacterial chemotaxis
K02413,-0.7811983185,Flagellar assembly
K02392,-0.7093364284,Flagellar assembly
K02418,-0.7811421896,Flagellar assembly
K02422,-0.6608626349,Flagellar assembly
K02407,-0.7091957078,Flagellar assembly
K02396,-0.664765861,Flagellar assembly
K02412,-0.6581296722,Flagellar assembly
K02419,-0.6581296722,Flagellar assembly
K02409,-0.7105587642,Flagellar assembly
K02411,-0.7137366898,Flagellar assembly
K02387,-0.6572618814,Flagellar assembly
K02420,-0.6567712233,Flagellar assembly
K02408,-0.6623355477,Flagellar assembly
K02389,-0.7288361901,Flagellar assembly
K02414,-0.8609203077,Flagellar assembly
K02388,-0.6180550412,Flagellar assembly
K02390,-0.649913019,Flagellar assembly
K02400,-0.6148249557,Flagellar assembly
K02397,-0.7006749677,Flagellar assembly
K02398,-0.2968597037,Flagellar assembly
K13820,-1.160245042,Flagellar assembly
K04486,-0.2952932279,Histidine metabolism
K01745,-0.2861655675,Histidine metabolism
K01479,0.6706272578,Histidine metabolism
K02614,-0.2171432093,Phenylalanine metabolism
K01912,-0.2621888243,Phenylalanine metabolism
K01451,-0.3263063406,Phenylalanine metabolism
K03856,-0.8735831114,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K00891,-0.4341917216,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K00800,-0.4629815152,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K01736,-0.462922831,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K03786,-0.6584780067,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K01735,-0.4600599236,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K00014,-0.4269539753,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K14170,-0.3397609188,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K04517,-0.3038154449,"Phenylalanine, tyrosine and tryptophan biosynthesis"
K11041,-1.090503737,Staphylococcus aureus infection
K03563,-0.7257152431,Two-component system
K03412,-0.7242043971,Two-component system
K02405,-0.7189151459,Two-component system
K03408,-0.758333506,Two-component system
K02406,-0.8305074406,Two-component system
K00575,-0.6520396767,Two-component system
K03407,-0.6209306475,Two-component system
K07699,-0.7305952157,Two-component system
K03413,-0.5737635435,Two-component system
K02556,-0.5626050189,Two-component system
K03406,-0.6781716482,Two-component system
K11617,0.7883854351,Two-component system
K11618,0.7823500806,Two-component system
K07718,-0.446564493,Two-component system
K01910,0.3173907871,Two-component system
K01644,0.3022329263,Two-component system
K07720,-0.4121087371,Two-component system
K01646,0.3059448358,Two-component system
K01643,0.3025131641,Two-component system
K00835,0.3620924964,"Valine, leucine and isoleucine biosynthesis"
