NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
FLAGELLAR ASSEMBLY	FLAGELLAR ASSEMBLY	Details ...	32	-0.69579184	-4.607519	0.0	0.0	0.0	980	tags=100%, list=31%, signal=144%	
TWO-COMPONENT SYSTEM	TWO-COMPONENT SYSTEM	Details ...	109	-0.29756382	-3.5852838	0.0	0.0	0.0	1377	tags=72%, list=44%, signal=124%	
SULFUR METABOLISM	SULFUR METABOLISM	Details ...	27	-0.5186373	-3.1570363	0.0	0.0	0.0	830	tags=78%, list=26%, signal=105%	
PHOSPHOTRANSFERASE SYSTEM (PTS)	PHOSPHOTRANSFERASE SYSTEM (PTS)	Details ...	42	-0.37004128	-2.809659	0.0	2.1511628E-4	0.001	1848	tags=95%, list=59%, signal=228%	
BACTERIAL CHEMOTAXIS	BACTERIAL CHEMOTAXIS	Details ...	19	-0.53406066	-2.7583594	0.0	1.7209303E-4	0.001	1311	tags=95%, list=42%, signal=161%	
ABC TRANSPORTERS	ABC TRANSPORTERS	Details ...	134	-0.20179738	-2.7551603	0.0	1.4341086E-4	0.001	1271	tags=60%, list=40%, signal=96%	
NITROTOLUENE DEGRADATION	NITROTOLUENE DEGRADATION	Details ...	14	-0.5934206	-2.704483	0.0	2.353856E-4	0.002	1288	tags=100%, list=41%, signal=169%	
ASCORBATE AND ALDARATE METABOLISM	ASCORBATE AND ALDARATE METABOLISM	Details ...	11	-0.5584498	-2.2233648	0.0	0.0042632087	0.047	824	tags=82%, list=26%, signal=110%	
PORPHYRIN AND CHLOROPHYLL METABOLISM	PORPHYRIN AND CHLOROPHYLL METABOLISM	Details ...	40	-0.24871175	-1.877522	0.017928287	0.043655314	0.434	1902	tags=85%, list=60%, signal=212%	
LYSINE DEGRADATION	LYSINE DEGRADATION	Details ...	12	-0.39921802	-1.6981782	0.03125	0.09979443	0.754	1109	tags=75%, list=35%, signal=115%	
STYRENE DEGRADATION	STYRENE DEGRADATION	Details ...	5	-0.5792994	-1.6324052	0.049079753	0.12738578	0.857	1327	tags=100%, list=42%, signal=173%	
NITROGEN METABOLISM	NITROGEN METABOLISM	Details ...	25	-0.2517949	-1.5465723	0.047524754	0.17454246	0.939	725	tags=48%, list=23%, signal=62%	
STAPHYLOCOCCUS AUREUS INFECTION	STAPHYLOCOCCUS AUREUS INFECTION	Details ...	6	-0.5027079	-1.4723059	0.092402466	0.2259606	0.989	1568	tags=100%, list=50%, signal=199%	
BUTANOATE METABOLISM	BUTANOATE METABOLISM	Details ...	38	-0.19343418	-1.4399489	0.088709675	0.24005046	0.995	2545	tags=100%, list=81%, signal=518%	
AMINOBENZOATE DEGRADATION	AMINOBENZOATE DEGRADATION	Details ...	10	-0.3749601	-1.4397298	0.093495935	0.22414704	0.995	398	tags=50%, list=13%, signal=57%	
PHENYLALANINE METABOLISM	PHENYLALANINE METABOLISM	Details ...	17	-0.26214832	-1.2907287	0.176	0.38836208	1.0	1586	tags=76%, list=50%, signal=153%	
SULFUR RELAY SYSTEM	SULFUR RELAY SYSTEM	Details ...	13	-0.29934174	-1.2878785	0.1904762	0.36970484	1.0	515	tags=46%, list=16%, signal=55%	
INOSITOL PHOSPHATE METABOLISM	INOSITOL PHOSPHATE METABOLISM	Details ...	9	-0.34892288	-1.2825001	0.16765286	0.35638255	1.0	654	tags=56%, list=21%, signal=70%	
METHANE METABOLISM	METHANE METABOLISM	Details ...	44	-0.16268942	-1.2703766	0.15778689	0.35481605	1.0	1069	tags=50%, list=34%, signal=75%	
PROPANOATE METABOLISM	PROPANOATE METABOLISM	Details ...	39	-0.16861492	-1.2543918	0.19246031	0.35739303	1.0	2461	tags=95%, list=78%, signal=431%	
TRYPTOPHAN METABOLISM	TRYPTOPHAN METABOLISM		10	-0.32073364	-1.2247036	0.21956088	0.38002124	1.0	1826	tags=90%, list=58%, signal=214%	
CHLOROALKANE AND CHLOROALKENE DEGRADATION	CHLOROALKANE AND CHLOROALKENE DEGRADATION		10	-0.2905901	-1.1114084	0.30078125	0.52950144	1.0	2235	tags=100%, list=71%, signal=345%	
FOLATE BIOSYNTHESIS	FOLATE BIOSYNTHESIS		20	-0.19831997	-1.0632095	0.35641548	0.5890923	1.0	482	tags=35%, list=15%, signal=41%	
TYROSINE METABOLISM	TYROSINE METABOLISM		14	-0.2262627	-1.0312687	0.40853658	0.6203651	1.0	1539	tags=71%, list=49%, signal=139%	
LIPOPOLYSACCHARIDE BIOSYNTHESIS	LIPOPOLYSACCHARIDE BIOSYNTHESIS		22	-0.18635927	-1.0085884	0.43469787	0.6366631	1.0	2564	tags=100%, list=82%, signal=538%	
FRUCTOSE AND MANNOSE METABOLISM	FRUCTOSE AND MANNOSE METABOLISM		45	-0.122508965	-0.9553771	0.5120482	0.70444185	1.0	2277	tags=84%, list=72%, signal=302%	
PENTOSE AND GLUCURONATE INTERCONVERSIONS	PENTOSE AND GLUCURONATE INTERCONVERSIONS		23	-0.16040443	-0.933778	0.5143443	0.71897125	1.0	2235	tags=87%, list=71%, signal=298%	
PHOSPHONATE AND PHOSPHINATE METABOLISM	PHOSPHONATE AND PHOSPHINATE METABOLISM		8	-0.259643	-0.89253306	0.5945946	0.7673898	1.0	759	tags=50%, list=24%, signal=66%	
BETA-ALANINE METABOLISM	BETA-ALANINE METABOLISM		9	-0.23756377	-0.87539834	0.5950096	0.77166444	1.0	2401	tags=100%, list=76%, signal=422%	
GLUTATHIONE METABOLISM	GLUTATHIONE METABOLISM		13	-0.19383043	-0.85404015	0.6552419	0.7833211	1.0	2297	tags=92%, list=73%, signal=341%	
BENZOATE DEGRADATION	BENZOATE DEGRADATION		9	-0.23295777	-0.85169214	0.6350211	0.76200324	1.0	2066	tags=89%, list=66%, signal=258%	
DEGRADATION OF AROMATIC COMPOUNDS	DEGRADATION OF AROMATIC COMPOUNDS		8	-0.23840454	-0.8296457	0.65377176	0.7743861	1.0	2005	tags=88%, list=64%, signal=241%	
GLYOXYLATE AND DICARBOXYLATE METABOLISM	GLYOXYLATE AND DICARBOXYLATE METABOLISM		34	-0.11523625	-0.8103544	0.7029703	0.7804298	1.0	475	tags=26%, list=15%, signal=31%	
ARGININE AND PROLINE METABOLISM	ARGININE AND PROLINE METABOLISM		56	-0.08832028	-0.7740896	0.74563104	0.81372225	1.0	1413	tags=54%, list=45%, signal=96%	
TAURINE AND HYPOTAURINE METABOLISM	TAURINE AND HYPOTAURINE METABOLISM		7	-0.23550032	-0.7727936	0.74696356	0.79239255	1.0	2407	tags=100%, list=77%, signal=425%	
PEROXISOME	PEROXISOME		7	-0.2203405	-0.7383843	0.78644764	0.8188943	1.0	1556	tags=71%, list=49%, signal=141%	
GALACTOSE METABOLISM	GALACTOSE METABOLISM		38	-0.097157516	-0.69816935	0.8363274	0.84500396	1.0	444	tags=24%, list=14%, signal=27%	
