NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
RIBOSOME	RIBOSOME	Details ...	55	0.8085025	6.9989777	0.0	0.0	0.0	417	tags=93%, list=13%, signal=105%	
BIOSYNTHESIS OF AMINO ACIDS	BIOSYNTHESIS OF AMINO ACIDS	Details ...	142	0.3371089	4.582748	0.0	0.0	0.0	1733	tags=87%, list=55%, signal=186%	
HOMOLOGOUS RECOMBINATION	HOMOLOGOUS RECOMBINATION	Details ...	22	0.65679854	3.7557735	0.0	0.0	0.0	521	tags=82%, list=17%, signal=97%	
AMINOACYL-TRNA BIOSYNTHESIS	AMINOACYL-TRNA BIOSYNTHESIS	Details ...	30	0.5379348	3.562982	0.0	0.0	0.0	420	tags=67%, list=13%, signal=76%	
PYRIMIDINE METABOLISM	PYRIMIDINE METABOLISM	Details ...	54	0.39175263	3.324246	0.0	0.0	0.0	943	tags=69%, list=30%, signal=96%	
MISMATCH REPAIR	MISMATCH REPAIR	Details ...	20	0.59928	3.1615722	0.0	0.0	0.0	485	tags=75%, list=15%, signal=88%	
ONE CARBON POOL BY FOLATE	ONE CARBON POOL BY FOLATE	Details ...	18	0.5758981	2.9630508	0.0	0.0	0.0	819	tags=83%, list=26%, signal=112%	
DNA REPLICATION	DNA REPLICATION	Details ...	16	0.6033078	2.9170065	0.0	0.0	0.0	470	tags=75%, list=15%, signal=88%	
PHOTOSYNTHESIS	PHOTOSYNTHESIS	Details ...	8	0.8457125	2.9043295	0.0	0.0	0.0	491	tags=100%, list=16%, signal=118%	
NUCLEOTIDE EXCISION REPAIR	NUCLEOTIDE EXCISION REPAIR	Details ...	7	0.84735507	2.7797036	0.0	0.0	0.0	485	tags=100%, list=15%, signal=118%	
OXIDATIVE PHOSPHORYLATION	OXIDATIVE PHOSPHORYLATION	Details ...	45	0.33713263	2.699643	0.0	0.0	0.0	1400	tags=78%, list=45%, signal=138%	
PURINE METABOLISM	PURINE METABOLISM	Details ...	81	0.25218788	2.663524	0.0	0.0	0.0	1090	tags=59%, list=35%, signal=88%	
"GLYCINE, SERINE AND THREONINE METABOLISM"	"GLYCINE, SERINE AND THREONINE METABOLISM"	Details ...	34	0.3730312	2.579073	0.0	0.0	0.0	1336	tags=79%, list=42%, signal=137%	
LYSINE BIOSYNTHESIS	LYSINE BIOSYNTHESIS	Details ...	21	0.45390525	2.52448	0.0	1.018237E-4	0.001	1726	tags=100%, list=55%, signal=220%	
"ALANINE, ASPARTATE AND GLUTAMATE METABOLISM"	"ALANINE, ASPARTATE AND GLUTAMATE METABOLISM"	Details ...	35	0.3491502	2.411014	0.0	0.0012954363	0.015	890	tags=63%, list=28%, signal=87%	
