NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
RIBOSOME	RIBOSOME	Details ...	55	0.4959223	4.358063	0.0	0.0	0.0	1067	tags=85%, list=37%, signal=133%	
PHOTOSYNTHESIS	PHOTOSYNTHESIS	Details ...	8	0.96475464	3.2619746	0.0	0.0	0.0	109	tags=100%, list=4%, signal=104%	
HOMOLOGOUS RECOMBINATION	HOMOLOGOUS RECOMBINATION	Details ...	22	0.44861114	2.4901352	0.0	0.0015962081	0.006	1609	tags=100%, list=55%, signal=223%	
PYRIMIDINE METABOLISM	PYRIMIDINE METABOLISM	Details ...	54	0.2818092	2.3897552	0.0	0.004104048	0.021	1561	tags=81%, list=54%, signal=173%	
MISMATCH REPAIR	MISMATCH REPAIR	Details ...	19	0.42395532	2.1772351	0.0	0.012526029	0.078	1526	tags=95%, list=53%, signal=198%	
DNA REPLICATION	DNA REPLICATION	Details ...	16	0.41359147	1.997453	0.01010101	0.034174766	0.228	1526	tags=94%, list=53%, signal=197%	
PURINE METABOLISM	PURINE METABOLISM	Details ...	79	0.1848559	1.885431	0.01010101	0.05786151	0.399	1571	tags=72%, list=54%, signal=153%	
TETRACYCLINE BIOSYNTHESIS	TETRACYCLINE BIOSYNTHESIS	Details ...	5	0.6684846	1.8684461	0.014583333	0.05490215	0.422	384	tags=80%, list=13%, signal=92%	
AMINOACYL-TRNA BIOSYNTHESIS	AMINOACYL-TRNA BIOSYNTHESIS	Details ...	30	0.29389513	1.8496337	0.011857707	0.053682227	0.45	1670	tags=87%, list=58%, signal=202%	
NUCLEOTIDE EXCISION REPAIR	NUCLEOTIDE EXCISION REPAIR	Details ...	7	0.5506045	1.7904583	0.0140280565	0.06723529	0.544	1307	tags=100%, list=45%, signal=182%	
RNA POLYMERASE	RNA POLYMERASE	Details ...	5	0.63237834	1.7399346	0.022132797	0.08001217	0.659	1069	tags=100%, list=37%, signal=158%	
CENTRAL CARBON METABOLISM IN CANCER	CENTRAL CARBON METABOLISM IN CANCER	Details ...	7	0.52380955	1.6701698	0.04233871	0.10537672	0.794	970	tags=86%, list=33%, signal=128%	
OXIDATIVE PHOSPHORYLATION	OXIDATIVE PHOSPHORYLATION	Details ...	44	0.21556716	1.665959	0.032258064	0.099108554	0.799	702	tags=45%, list=24%, signal=59%	
AMINOBENZOATE DEGRADATION	AMINOBENZOATE DEGRADATION	Details ...	8	0.43780234	1.5378176	0.059196617	0.1744515	0.966	1634	tags=100%, list=56%, signal=228%	
ONE CARBON POOL BY FOLATE	ONE CARBON POOL BY FOLATE	Details ...	17	0.2836375	1.452561	0.07770961	0.23638064	0.991	1912	tags=94%, list=66%, signal=274%	
PEPTIDOGLYCAN BIOSYNTHESIS	PEPTIDOGLYCAN BIOSYNTHESIS	Details ...	33	0.20913215	1.4445008	0.097510375	0.22855641	0.995	2301	tags=100%, list=79%, signal=477%	
BACTERIAL SECRETION SYSTEM	BACTERIAL SECRETION SYSTEM	Details ...	27	0.22928181	1.4312282	0.10788382	0.22783339	0.997	1167	tags=63%, list=40%, signal=104%	
