feature,coef,annotation
K01791,-0.6092425274,Amino sugar and nucleotide sugar metabolism
K01787,-0.8524647831,Amino sugar and nucleotide sugar metabolism
K07106,-0.571312273,Amino sugar and nucleotide sugar metabolism
K02564,-0.5472234925,Amino sugar and nucleotide sugar metabolism
K01639,-0.5349059159,Amino sugar and nucleotide sugar metabolism
K13016,-0.8349274598,Amino sugar and nucleotide sugar metabolism
K01788,-0.5350759752,Amino sugar and nucleotide sugar metabolism
K00075,-0.4657536569,Amino sugar and nucleotide sugar metabolism
K00790,-0.4698512373,Amino sugar and nucleotide sugar metabolism
K00523,-0.7028218978,Amino sugar and nucleotide sugar metabolism
K01709,-0.5594353992,Amino sugar and nucleotide sugar metabolism
K01183,-0.6661687652,Amino sugar and nucleotide sugar metabolism
K01443,-0.4331621076,Amino sugar and nucleotide sugar metabolism
K04042,-0.4505061509,Amino sugar and nucleotide sugar metabolism
K12452,-0.5331208377,Amino sugar and nucleotide sugar metabolism
K01207,-0.4153669852,Amino sugar and nucleotide sugar metabolism
K03431,-0.3567082401,Amino sugar and nucleotide sugar metabolism
K02473,-0.5931112102,Amino sugar and nucleotide sugar metabolism
K01654,-0.5615516482,Amino sugar and nucleotide sugar metabolism
K13018,-0.4832607814,Amino sugar and nucleotide sugar metabolism
K00983,-0.554617458,Amino sugar and nucleotide sugar metabolism
K13010,-0.6580832987,Amino sugar and nucleotide sugar metabolism
K02474,-0.498168666,Amino sugar and nucleotide sugar metabolism
K01209,-0.4819949686,Amino sugar and nucleotide sugar metabolism
K01893,-0.510091848,Aminoacyl-tRNA biosynthesis
K02433,-0.6762153421,Aminoacyl-tRNA biosynthesis
K02435,-0.6756202573,Aminoacyl-tRNA biosynthesis
K02434,-0.6753347127,Aminoacyl-tRNA biosynthesis
K01876,-0.4747613111,Aminoacyl-tRNA biosynthesis
K01866,-0.4532140758,Aminoacyl-tRNA biosynthesis
K01868,-0.4538488697,Aminoacyl-tRNA biosynthesis
K01869,-0.4533575839,Aminoacyl-tRNA biosynthesis
K01870,-0.4534772661,Aminoacyl-tRNA biosynthesis
K01883,-0.4533575839,Aminoacyl-tRNA biosynthesis
K01889,-0.4533575839,Aminoacyl-tRNA biosynthesis
K01890,-0.4533575839,Aminoacyl-tRNA biosynthesis
K01892,-0.4539311002,Aminoacyl-tRNA biosynthesis
K04567,-0.4085177543,Aminoacyl-tRNA biosynthesis
K01867,-0.4531965464,Aminoacyl-tRNA biosynthesis
