NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
FLAGELLAR ASSEMBLY	FLAGELLAR ASSEMBLY	Details ...	37	-0.3873055	-2.8553426	0.0	0.0	0.0	1384	tags=73%, list=35%, signal=111%	
PENTOSE AND GLUCURONATE INTERCONVERSIONS	PENTOSE AND GLUCURONATE INTERCONVERSIONS	Details ...	23	-0.43571252	-2.468121	0.001992032	0.006229129	0.011	1050	tags=70%, list=26%, signal=94%	
STAPHYLOCOCCUS AUREUS INFECTION	STAPHYLOCOCCUS AUREUS INFECTION	Details ...	6	-0.74141824	-2.3063264	0.0	0.012348717	0.031	1039	tags=100%, list=26%, signal=135%	
PHOSPHONATE AND PHOSPHINATE METABOLISM	PHOSPHONATE AND PHOSPHINATE METABOLISM	Details ...	11	-0.55861425	-2.28046	0.0019493178	0.011297144	0.038	1408	tags=91%, list=35%, signal=140%	
CARBON FIXATION PATHWAYS IN PROKARYOTES	CARBON FIXATION PATHWAYS IN PROKARYOTES	Details ...	50	-0.2631518	-2.1663268	0.0056179776	0.019016283	0.082	2080	tags=78%, list=52%, signal=161%	
CITRATE CYCLE (TCA CYCLE)	CITRATE CYCLE (TCA CYCLE)	Details ...	40	-0.29077584	-2.144749	0.0038240917	0.01823482	0.093	2048	tags=80%, list=51%, signal=162%	
PHOSPHOTRANSFERASE SYSTEM (PTS)	PHOSPHOTRANSFERASE SYSTEM (PTS)	Details ...	51	-0.24535148	-2.024312	0.004237288	0.03869284	0.212	2011	tags=75%, list=50%, signal=148%	
METHANE METABOLISM	METHANE METABOLISM	Details ...	41	-0.27200425	-2.012512	0.0038834952	0.03663346	0.225	2532	tags=90%, list=63%, signal=244%	
CARBON METABOLISM	CARBON METABOLISM	Details ...	130	-0.15046646	-1.9880588	0.007920792	0.0367229	0.251	2586	tags=79%, list=65%, signal=217%	
AMINOACYL-TRNA BIOSYNTHESIS	AMINOACYL-TRNA BIOSYNTHESIS	Details ...	31	-0.2927383	-1.9848202	0.008474576	0.0335544	0.254	2837	tags=100%, list=71%, signal=342%	
PYRUVATE METABOLISM	PYRUVATE METABOLISM	Details ...	63	-0.21380554	-1.9810969	0.004016064	0.030919291	0.258	2459	tags=83%, list=62%, signal=211%	
CHLOROALKANE AND CHLOROALKENE DEGRADATION	CHLOROALKANE AND CHLOROALKENE DEGRADATION	Details ...	11	-0.46838936	-1.9174528	0.006060606	0.04204598	0.36	2131	tags=100%, list=53%, signal=214%	
GLYCOLYSIS / GLUCONEOGENESIS	GLYCOLYSIS / GLUCONEOGENESIS	Details ...	49	-0.22944711	-1.9041319	0.012170386	0.0421866	0.389	2929	tags=96%, list=73%, signal=355%	
AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM	AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM	Details ...	61	-0.19916199	-1.8376538	0.0020242915	0.05833933	0.513	2952	tags=93%, list=74%, signal=352%	
INOSITOL PHOSPHATE METABOLISM	INOSITOL PHOSPHATE METABOLISM	Details ...	9	-0.49621087	-1.8350798	0.018218623	0.0558158	0.523	1575	tags=89%, list=39%, signal=146%	
PEPTIDOGLYCAN BIOSYNTHESIS	PEPTIDOGLYCAN BIOSYNTHESIS	Details ...	33	-0.2558022	-1.7858976	0.014613778	0.06876522	0.63	2984	tags=100%, list=75%, signal=391%	
TYROSINE METABOLISM	TYROSINE METABOLISM	Details ...	16	-0.3761304	-1.783658	0.017892644	0.06540067	0.632	2001	tags=88%, list=50%, signal=175%	
STARCH AND SUCROSE METABOLISM	STARCH AND SUCROSE METABOLISM	Details ...	46	-0.22098422	-1.7529839	0.02584493	0.07442394	0.703	3038	tags=98%, list=76%, signal=403%	
LYSINE DEGRADATION	LYSINE DEGRADATION	Details ...	14	-0.3886518	-1.7423996	0.03219697	0.07461066	0.717	737	tags=57%, list=18%, signal=70%	
