NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
RIBOSOME	RIBOSOME	Details ...	55	0.51351875	4.47974	0.0	0.0	0.0	1463	tags=87%, list=37%, signal=136%	
TWO-COMPONENT SYSTEM	TWO-COMPONENT SYSTEM	Details ...	178	0.23153012	3.4372158	0.0	0.0	0.0	507	tags=35%, list=13%, signal=38%	
BIOSYNTHESIS OF AMINO ACIDS	BIOSYNTHESIS OF AMINO ACIDS	Details ...	143	0.22295605	3.1650345	0.0	0.0	0.0	2410	tags=82%, list=60%, signal=199%	
PHENYLALANINE METABOLISM	PHENYLALANINE METABOLISM	Details ...	36	0.43814695	3.123306	0.0	0.0	0.0	262	tags=50%, list=7%, signal=53%	
BIOSYNTHESIS OF SIDEROPHORE GROUP NONRIBOSOMAL PEPTIDES	BIOSYNTHESIS OF SIDEROPHORE GROUP NONRIBOSOMAL PEPTIDES	Details ...	11	0.6688182	2.7152274	0.0	1.8076925E-4	0.001	240	tags=73%, list=6%, signal=77%	
HOMOLOGOUS RECOMBINATION	HOMOLOGOUS RECOMBINATION	Details ...	28	0.39770725	2.474286	0.0	0.0015111159	0.011	1561	tags=79%, list=39%, signal=128%	
PHOTOSYNTHESIS	PHOTOSYNTHESIS	Details ...	8	0.6974179	2.4521918	0.0	0.0016492802	0.014	1214	tags=100%, list=30%, signal=143%	
DEGRADATION OF AROMATIC COMPOUNDS	DEGRADATION OF AROMATIC COMPOUNDS	Details ...	19	0.46271598	2.4013093	0.0	0.0016570395	0.016	262	tags=53%, list=7%, signal=56%	
PYRIMIDINE METABOLISM	PYRIMIDINE METABOLISM	Details ...	66	0.22728816	2.1729565	0.0	0.007274003	0.072	2073	tags=74%, list=52%, signal=152%	
DNA REPLICATION	DNA REPLICATION	Details ...	18	0.4048337	2.0462492	0.0060728746	0.016076243	0.162	1719	tags=83%, list=43%, signal=146%	
MISMATCH REPAIR	MISMATCH REPAIR	Details ...	23	0.3506926	1.9825251	0.006147541	0.021561576	0.237	2081	tags=87%, list=52%, signal=180%	
"PHENYLALANINE, TYROSINE AND TRYPTOPHAN BIOSYNTHESIS"	"PHENYLALANINE, TYROSINE AND TRYPTOPHAN BIOSYNTHESIS"	Details ...	34	0.26615313	1.8469213	0.021276595	0.047129042	0.495	2471	tags=88%, list=62%, signal=229%	
