NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
2-OXOCARBOXYLIC ACID METABOLISM	44	30		
ABC TRANSPORTERS	284	183		
ADIPOCYTOKINE SIGNALING PATHWAY	4		Rejected!	
ADRENERGIC SIGNALING IN CARDIOMYOCYTES	5		Rejected!	
AFRICAN TRYPANOSOMIASIS	5		Rejected!	
"ALANINE, ASPARTATE AND GLUTAMATE METABOLISM"	53	36		
ALCOHOLISM	5		Rejected!	
ALDOSTERONE-REGULATED SODIUM REABSORPTION	2		Rejected!	
ALPHA-LINOLENIC ACID METABOLISM	5		Rejected!	
ALZHEIMER'S DISEASE	22		Rejected!	
AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM	102	61		
AMINOACYL-TRNA BIOSYNTHESIS	41	31		
AMINOBENZOATE DEGRADATION	47	11		
AMOEBIASIS	4		Rejected!	
AMPHETAMINE ADDICTION	5		Rejected!	
AMPK SIGNALING PATHWAY	13		Rejected!	
AMYOTROPHIC LATERAL SCLEROSIS (ALS)	3		Rejected!	
ANTIGEN PROCESSING AND PRESENTATION	3		Rejected!	
APOPTOSIS	3		Rejected!	
ARACHIDONIC ACID METABOLISM	10		Rejected!	
ARGININE AND PROLINE METABOLISM	101	65		
ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY (ARVC)	2		Rejected!	
ASCORBATE AND ALDARATE METABOLISM	27	15		
ATRAZINE DEGRADATION	12		Rejected!	
AXON GUIDANCE	2		Rejected!	
BACTERIAL CHEMOTAXIS	26	26		
BACTERIAL INVASION OF EPITHELIAL CELLS	19		Rejected!	
BACTERIAL SECRETION SYSTEM	74	49		
BASAL TRANSCRIPTION FACTORS	6		Rejected!	
BASE EXCISION REPAIR	22	15		
BENZOATE DEGRADATION	65	11		
BETA-ALANINE METABOLISM	26	13		
BETA-LACTAM RESISTANCE	23	18		
BETALAIN BIOSYNTHESIS	3		Rejected!	
BILE SECRETION	9		Rejected!	
"BIOSYNTHESIS OF 12-, 14- AND 16-MEMBERED MACROLIDES"	11		Rejected!	
BIOSYNTHESIS OF AMINO ACIDS	185	143		
BIOSYNTHESIS OF SIDEROPHORE GROUP NONRIBOSOMAL PEPTIDES	27	11		
BIOSYNTHESIS OF TYPE II POLYKETIDE BACKBONE	5		Rejected!	
BIOSYNTHESIS OF TYPE II POLYKETIDE PRODUCTS	3		Rejected!	
BIOSYNTHESIS OF UNSATURATED FATTY ACIDS	15	6		
BIOTIN METABOLISM	16	14		
BISPHENOL DEGRADATION	11		Rejected!	
BUTANOATE METABOLISM	67	43		
BUTIROSIN AND NEOMYCIN BIOSYNTHESIS	2		Rejected!	
C5-BRANCHED DIBASIC ACID METABOLISM	16	11		
CAFFEINE METABOLISM	3		Rejected!	
CALCIUM SIGNALING PATHWAY	9		Rejected!	
CAMP SIGNALING PATHWAY	6		Rejected!	
CAPROLACTAM DEGRADATION	11		Rejected!	
CARBAPENEM BIOSYNTHESIS	2		Rejected!	
CARBOHYDRATE DIGESTION AND ABSORPTION	5		Rejected!	
CARBON FIXATION IN PHOTOSYNTHETIC ORGANISMS	30	20		
CARBON FIXATION PATHWAYS IN PROKARYOTES	71	50		
CARBON METABOLISM	232	130		
CARDIAC MUSCLE CONTRACTION	7		Rejected!	
CAROTENOID BIOSYNTHESIS	26		Rejected!	
CELL CYCLE - CAULOBACTER	31	12		
CENTRAL CARBON METABOLISM IN CANCER	8	7		
CGMP-PKG SIGNALING PATHWAY	3		Rejected!	
CHAGAS DISEASE (AMERICAN TRYPANOSOMIASIS)	3		Rejected!	
CHEMICAL CARCINOGENESIS	8		Rejected!	
CHLOROALKANE AND CHLOROALKENE DEGRADATION	22	11		
CHLOROCYCLOHEXANE AND CHLOROBENZENE DEGRADATION	20		Rejected!	
CHOLINE METABOLISM IN CANCER	5		Rejected!	
CHOLINERGIC SYNAPSE	2		Rejected!	
CIRCADIAN ENTRAINMENT	5		Rejected!	
CITRATE CYCLE (TCA CYCLE)	45	40		
CLAVULANIC ACID BIOSYNTHESIS	2		Rejected!	
COCAINE ADDICTION	3		Rejected!	
COMPLEMENT AND COAGULATION CASCADES	3		Rejected!	
CYANOAMINO ACID METABOLISM	14	7		
CYSTEINE AND METHIONINE METABOLISM	60	39		
CYTOSOLIC DNA-SENSING PATHWAY	3		Rejected!	
D-ALANINE METABOLISM	5	5		
D-ARGININE AND D-ORNITHINE METABOLISM	2		Rejected!	
D-GLUTAMINE AND D-GLUTAMATE METABOLISM	6	5		
DDT DEGRADATION	4		Rejected!	
DEGRADATION OF AROMATIC COMPOUNDS	106	19		
DILATED CARDIOMYOPATHY	2		Rejected!	
DIOXIN DEGRADATION	10		Rejected!	
DNA REPLICATION	32	18		
DOPAMINERGIC SYNAPSE	7		Rejected!	
DRUG METABOLISM - CYTOCHROME P450	8		Rejected!	
DRUG METABOLISM - OTHER ENZYMES	19	10		
ECM-RECEPTOR INTERACTION	2		Rejected!	
ENDOCRINE AND OTHER FACTOR-REGULATED CALCIUM REABSORPTION	2		Rejected!	
ENDOCYTOSIS	2		Rejected!	
EPITHELIAL CELL SIGNALING IN HELICOBACTER PYLORI INFECTION	31		Rejected!	
EPSTEIN-BARR VIRUS INFECTION	10		Rejected!	
ESTROGEN SIGNALING PATHWAY	3		Rejected!	
ETHER LIPID METABOLISM	8		Rejected!	
ETHYLBENZENE DEGRADATION	8		Rejected!	
FANCONI ANEMIA PATHWAY	4		Rejected!	
FAT DIGESTION AND ABSORPTION	3		Rejected!	
FATTY ACID BIOSYNTHESIS	21	15		
FATTY ACID DEGRADATION	34	16		
FATTY ACID ELONGATION	5		Rejected!	
FATTY ACID METABOLISM	43	21		
FC GAMMA R-MEDIATED PHAGOCYTOSIS	5		Rejected!	
FLAGELLAR ASSEMBLY	41	37		
FLAVONOID BIOSYNTHESIS	3		Rejected!	
FLUOROBENZOATE DEGRADATION	13		Rejected!	
FOCAL ADHESION	3		Rejected!	
FOLATE BIOSYNTHESIS	29	23		
FOXO SIGNALING PATHWAY	5		Rejected!	
FRUCTOSE AND MANNOSE METABOLISM	71	50		
GABAERGIC SYNAPSE	5		Rejected!	
GALACTOSE METABOLISM	51	41		
GASTRIC ACID SECRETION	4		Rejected!	
GERANIOL DEGRADATION	16	5		
GLIOMA	2		Rejected!	
GLUTAMATERGIC SYNAPSE	3		Rejected!	
GLUTATHIONE METABOLISM	23	16		
GLYCEROLIPID METABOLISM	30	19		
GLYCEROPHOSPHOLIPID METABOLISM	49	28		
