Pathway,feature,value,coef,stderr,L2,L2A,L2B,L3
pyrimidine deoxyribonucleotides de novo biosynthesis II,PWY-7187,SI,0.09715014358,0.01030980508,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,2'-Deoxyribonucleotide Biosynthesis (11 instances)
superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),PWY0-166,SI,0.09880069529,0.01052088489,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,2'-Deoxyribonucleotide Biosynthesis (11 instances)
pyrimidine deoxyribonucleotides de novo biosynthesis I,PWY-7184,SI,0.1187574912,0.01306345502,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),Metabolic Clusters (69 instances),,2'-Deoxyribonucleotide Biosynthesis (11 instances)
superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,PWY-7211,SI,-0.2108765234,0.04662056393,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,2'-Deoxyribonucleotide Biosynthesis (11 instances)
pyrimidine deoxyribonucleotides de novo biosynthesis III,PWY-6545,SI,0.1567208846,0.03750167791,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),Metabolic Clusters (69 instances),,2'-Deoxyribonucleotide Biosynthesis (11 instances)
pyrimidine deoxyribonucleotides de novo biosynthesis II,PWY-7187,COLON,0,0,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,2'-Deoxyribonucleotide Biosynthesis (11 instances)
superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),PWY0-166,COLON,0,0,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,2'-Deoxyribonucleotide Biosynthesis (11 instances)
pyrimidine deoxyribonucleotides de novo biosynthesis I,PWY-7184,COLON,0,0,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,2'-Deoxyribonucleotide Biosynthesis (11 instances)
superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,PWY-7211,COLON,0,0,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,2'-Deoxyribonucleotide Biosynthesis (11 instances)
pyrimidine deoxyribonucleotides de novo biosynthesis III,PWY-6545,COLON,0,0,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,2'-Deoxyribonucleotide Biosynthesis (11 instances)
"superpathway of glycerol degradation to 1,3-propanediol",GOLPDLCAT-PWY,SI,0.4931287851,0.06571948897,Glycerol Degradation (7 instances),,,Alcohol Degradation (20 instances)
"superpathway of glycerol degradation to 1,3-propanediol",GOLPDLCAT-PWY,COLON,0,0,Glycerol Degradation (7 instances),,,Alcohol Degradation (20 instances)
4-aminobutanoate degradation V,PWY-5022,SI,0.2263582125,0.05440067165,4-Aminobutanoate Degradation (7 instances),Fermentation to Butanoate (8 instances),,Amine and Polyamine Degradation (62 instances)
4-aminobutanoate degradation V,PWY-5022,COLON,0,0,4-Aminobutanoate Degradation (7 instances),,,Amine and Polyamine Degradation (62 instances)
chorismate biosynthesis I,ARO-PWY,SI,-0.0418173724,0.01051484527,Chorismate Biosynthesis (3 instances),,,Aromatic Compound Biosynthesis (51 instances)
chorismate biosynthesis from 3-dehydroquinate,PWY-6163,SI,-0.04064629475,0.01059605064,Chorismate Biosynthesis (3 instances),,,Aromatic Compound Biosynthesis (51 instances)
chorismate biosynthesis I,ARO-PWY,COLON,0,0,Chorismate Biosynthesis (3 instances),,,Aromatic Compound Biosynthesis (51 instances)
chorismate biosynthesis from 3-dehydroquinate,PWY-6163,COLON,0,0,Chorismate Biosynthesis (3 instances),,,Aromatic Compound Biosynthesis (51 instances)
TCA cycle V (2-oxoglutarate synthase),PWY-6969,SI,-0.1092374042,0.02044555729,Reductive TCA Cycles (4 instances),TCA cycle (9 instances),,Autotrophic CO2 Fixation (12 instances)
incomplete reductive TCA cycle,P42-PWY,SI,-0.07655137939,0.01564177472,Reductive TCA Cycles (4 instances),,,Autotrophic CO2 Fixation (12 instances)
TCA cycle V (2-oxoglutarate synthase),PWY-6969,COLON,0,0,Reductive TCA Cycles (4 instances),,,Autotrophic CO2 Fixation (12 instances)
incomplete reductive TCA cycle,P42-PWY,COLON,0,0,Reductive TCA Cycles (4 instances),,,Autotrophic CO2 Fixation (12 instances)
superpathway of arginine and polyamine biosynthesis,ARG+POLYAMINE-SYN,SI,-0.4389480363,0.06893351781,Amine and Polyamine Biosynthesis (38 instances),,,Biosynthesis (1993 instances)
superpathway of arginine and polyamine biosynthesis,ARG+POLYAMINE-SYN,COLON,0,0,Amine and Polyamine Biosynthesis (38 instances),,,Biosynthesis (1993 instances)
superpathway of aromatic amino acid biosynthesis,COMPLETE-ARO-PWY,SI,-0.03731084559,0.009750847555,Amino Acid Biosynthesis (124 instances),,,Biosynthesis (1993 instances)
superpathway of branched chain amino acid biosynthesis,BRANCHED-CHAIN-AA-SYN-PWY,SI,-0.02075134666,0.007928401595,Amino Acid Biosynthesis (124 instances),,,Biosynthesis (1993 instances)
"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",P4-PWY,SI,-0.04326664918,0.01715079074,Amino Acid Biosynthesis (124 instances),,,Biosynthesis (1993 instances)
superpathway of aromatic amino acid biosynthesis,COMPLETE-ARO-PWY,COLON,0,0,Amino Acid Biosynthesis (124 instances),,,Biosynthesis (1993 instances)
superpathway of branched chain amino acid biosynthesis,BRANCHED-CHAIN-AA-SYN-PWY,COLON,0,0,Amino Acid Biosynthesis (124 instances),,,Biosynthesis (1993 instances)
"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",P4-PWY,COLON,0,0,Amino Acid Biosynthesis (124 instances),,,Biosynthesis (1993 instances)
tRNA charging,TRNA-CHARGING-PWY,SI,0.0352443783,0.005228091438,Aminoacyl-tRNA Charging (4 instances),Metabolic Clusters (69 instances),,Biosynthesis (1993 instances)
