NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
FLAGELLAR ASSEMBLY	FLAGELLAR ASSEMBLY	Details ...	32	-0.8340027	-5.691037	0.0	0.0	0.0	529	tags=100%, list=18%, signal=120%	
BACTERIAL CHEMOTAXIS	BACTERIAL CHEMOTAXIS	Details ...	19	-0.58117473	-2.974089	0.0	0.0	0.0	959	tags=89%, list=32%, signal=130%	
"PHENYLALANINE, TYROSINE AND TRYPTOPHAN BIOSYNTHESIS"	"PHENYLALANINE, TYROSINE AND TRYPTOPHAN BIOSYNTHESIS"	Details ...	33	-0.35532764	-2.4724402	0.0	0.0026725712	0.008	1136	tags=73%, list=38%, signal=115%	
ABC TRANSPORTERS	ABC TRANSPORTERS	Details ...	128	-0.18888314	-2.4220881	0.0	0.0031821576	0.013	1531	tags=69%, list=51%, signal=134%	
ASCORBATE AND ALDARATE METABOLISM	ASCORBATE AND ALDARATE METABOLISM	Details ...	11	-0.58968544	-2.4001844	0.002020202	0.0030900075	0.016	423	tags=73%, list=14%, signal=84%	
BUTANOATE METABOLISM	BUTANOATE METABOLISM	Details ...	37	-0.321869	-2.306339	0.0	0.004024044	0.025	1816	tags=92%, list=60%, signal=228%	
TWO-COMPONENT SYSTEM	TWO-COMPONENT SYSTEM	Details ...	105	-0.18242256	-2.1541348	0.0019417476	0.013621214	0.093	706	tags=41%, list=23%, signal=52%	
"VALINE, LEUCINE AND ISOLEUCINE BIOSYNTHESIS"	"VALINE, LEUCINE AND ISOLEUCINE BIOSYNTHESIS"	Details ...	13	-0.46581054	-1.9771836	0.006012024	0.0374152	0.266	1388	tags=92%, list=46%, signal=170%	
SULFUR METABOLISM	SULFUR METABOLISM	Details ...	23	-0.34113824	-1.9637475	0.0020491802	0.036935445	0.293	1736	tags=91%, list=57%, signal=213%	
PHOSPHOTRANSFERASE SYSTEM (PTS)	PHOSPHOTRANSFERASE SYSTEM (PTS)	Details ...	42	-0.2519268	-1.9187088	0.01632653	0.042733025	0.36	1336	tags=69%, list=44%, signal=122%	
C5-BRANCHED DIBASIC ACID METABOLISM	C5-BRANCHED DIBASIC ACID METABOLISM	Details ...	8	-0.5421647	-1.8979982	0.0060975607	0.043133322	0.388	1388	tags=100%, list=46%, signal=185%	
OXIDATIVE PHOSPHORYLATION	OXIDATIVE PHOSPHORYLATION	Details ...	44	-0.2462732	-1.8849661	0.010373444	0.04211012	0.41	1739	tags=82%, list=58%, signal=190%	
2-OXOCARBOXYLIC ACID METABOLISM	2-OXOCARBOXYLIC ACID METABOLISM	Details ...	29	-0.29604906	-1.8368	0.013806706	0.0513544	0.511	990	tags=62%, list=33%, signal=91%	
LIPOPOLYSACCHARIDE BIOSYNTHESIS	LIPOPOLYSACCHARIDE BIOSYNTHESIS	Details ...	22	-0.32576263	-1.823588	0.010080645	0.05130814	0.531	1358	tags=77%, list=45%, signal=139%	
CITRATE CYCLE (TCA CYCLE)	CITRATE CYCLE (TCA CYCLE)	Details ...	37	-0.24522747	-1.8025784	0.013916501	0.053903993	0.576	1963	tags=89%, list=65%, signal=252%	
FATTY ACID METABOLISM	FATTY ACID METABOLISM	Details ...	17	-0.36009088	-1.7684394	0.023483366	0.05908837	0.638	1762	tags=94%, list=58%, signal=225%	
CARBON FIXATION PATHWAYS IN PROKARYOTES	CARBON FIXATION PATHWAYS IN PROKARYOTES	Details ...	52	-0.20669188	-1.755345	0.020876827	0.059158266	0.659	2001	tags=87%, list=66%, signal=252%	
BETA-ALANINE METABOLISM	BETA-ALANINE METABOLISM	Details ...	8	-0.5099602	-1.7522043	0.024242423	0.056644853	0.664	730	tags=75%, list=24%, signal=99%	
PORPHYRIN AND CHLOROPHYLL METABOLISM	PORPHYRIN AND CHLOROPHYLL METABOLISM	Details ...	38	-0.2433725	-1.7488408	0.025145067	0.054339144	0.667	1580	tags=76%, list=52%, signal=158%	
LYSINE DEGRADATION	LYSINE DEGRADATION	Details ...	12	-0.4127881	-1.7081555	0.024793388	0.06436773	0.749	1276	tags=83%, list=42%, signal=144%	
BENZOATE DEGRADATION	BENZOATE DEGRADATION		9	-0.4564744	-1.6972821	0.022177419	0.06436937	0.762	1311	tags=89%, list=43%, signal=157%	
PHOTOSYNTHESIS	PHOTOSYNTHESIS		8	-0.48240373	-1.6789535	0.028571429	0.06820145	0.794	1568	tags=100%, list=52%, signal=207%	
SULFUR RELAY SYSTEM	SULFUR RELAY SYSTEM		13	-0.38571537	-1.6550174	0.02918288	0.07303343	0.829	235	tags=46%, list=8%, signal=50%	
