"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","annotation","detailed_annotation","condensed_annotation","Hierarchy_L1","Hierarchy_L2","Map","Map2_ammonia","Map3_carbon_dioxide","X","X.1","X.2","X.3"
"1","MF0001","Type","Mucosal",-0.372029853820436,0.0792807784075651,279,227,4.62752125468094e-06,8.98028343486519e-05,"arabinoxylan degradation","arabinoxylan degradation","arabinoxylan degradation","carbohydrate degradation","polysaccharide degradation","polysaccharides","#N/A","#N/A",NA,NA,"ethanol production (CO2 pathway)","ethanol"
"2","MF0005","Type","Mucosal",-0.439942318044665,0.0695345273996396,279,273,1.3362152676674e-09,4.96318416420686e-08,"starch degradation","","starch degradation","carbohydrate degradation","polysaccharide degradation","polysaccharides","#N/A","#N/A",NA,NA,"galactarate degradation","sugar acid"
"3","MF0006","Type","Mucosal",-0.361075274014778,0.0379566688208026,279,279,2.55926762585251e-18,3.97326298913602e-16,"lactose degradation","","lactose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"galactonate degradation","sugar acid"
"4","MF0007","Type","Mucosal",-0.432271768054133,0.0807915556670422,279,229,2.139063821965e-07,5.31343453376106e-06,"lactose and galactose degradation","","lactose and galactose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"glucarate degradation","sugar acid"
"5","MF0008","Type","Mucosal",-0.608480657260888,0.0806111103040473,279,254,1.04667450928145e-12,7.222054114042e-11,"maltose degradation","","maltose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"6","MF0009","Type","Mucosal",-0.348370168405975,0.043697901488774,279,279,7.14571905168435e-14,7.3958192184933e-12,"melibiose degradation","","melibiose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"7","MF0010","Type","Mucosal",-0.172664520477072,0.0392075992674679,279,279,1.62781945218469e-05,0.000266019968370182,"sucrose degradation I","","sucrose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"8","MF0011","Type","Mucosal",-0.268054378011255,0.0454827585282873,279,279,1.32281092382909e-08,3.73393447135395e-07,"sucrose degradation II","","sucrose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"9","MF0012","Type","Mucosal",0.414815386112706,0.0785736362774086,279,74,2.99192330418144e-07,6.88142359961731e-06,"trehalose degradation","","trehalose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"10","MF0015","Type","Mucosal",-0.20213640718825,0.0460807765563688,279,279,1.75613127163447e-05,0.000279630133252566,"fructose degradation","","fructose degradation","carbohydrate degradation","monosaccharide degradation","monosaccharides","#N/A","#N/A",NA,NA,"",""
