NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
PHOSPHONATE AND PHOSPHINATE METABOLISM	PHOSPHONATE AND PHOSPHINATE METABOLISM	Details ...	12	-0.75508904	-3.142373	0.0	0.0	0.0	520	tags=92%, list=16%, signal=109%	
FLAGELLAR ASSEMBLY	FLAGELLAR ASSEMBLY	Details ...	34	-0.34387836	-2.4121625	0.0	0.0071287854	0.017	1248	tags=74%, list=40%, signal=120%	
LIPOPOLYSACCHARIDE BIOSYNTHESIS	LIPOPOLYSACCHARIDE BIOSYNTHESIS	Details ...	22	-0.37001798	-2.1062856	0.0020491802	0.040946785	0.14	1567	tags=86%, list=50%, signal=170%	
TWO-COMPONENT SYSTEM	TWO-COMPONENT SYSTEM	Details ...	115	-0.16669576	-2.073335	0.003960396	0.037606377	0.17	1717	tags=70%, list=54%, signal=149%	
PENTOSE AND GLUCURONATE INTERCONVERSIONS	PENTOSE AND GLUCURONATE INTERCONVERSIONS	Details ...	24	-0.33924007	-2.0182307	0.0020325202	0.038070437	0.209	911	tags=63%, list=29%, signal=87%	
LYSINE DEGRADATION	LYSINE DEGRADATION	Details ...	12	-0.4491094	-1.9028999	0.01171875	0.06338189	0.369	956	tags=75%, list=30%, signal=107%	
TRYPTOPHAN METABOLISM	TRYPTOPHAN METABOLISM	Details ...	10	-0.47476158	-1.8464743	0.005859375	0.07660754	0.483	401	tags=60%, list=13%, signal=69%	
CITRATE CYCLE (TCA CYCLE)	CITRATE CYCLE (TCA CYCLE)	Details ...	38	-0.25665915	-1.8300778	0.012244898	0.073813416	0.519	1194	tags=63%, list=38%, signal=100%	
ABC TRANSPORTERS	ABC TRANSPORTERS	Details ...	146	-0.13385062	-1.8134594	0.012396694	0.07172246	0.551	2084	tags=79%, list=66%, signal=221%	
PHOSPHOTRANSFERASE SYSTEM (PTS)	PHOSPHOTRANSFERASE SYSTEM (PTS)	Details ...	44	-0.21783711	-1.7603587	0.013384321	0.084988445	0.647	1977	tags=84%, list=63%, signal=222%	
BUTANOATE METABOLISM	BUTANOATE METABOLISM	Details ...	34	-0.2513095	-1.7467648	0.031067962	0.081871904	0.671	1537	tags=74%, list=49%, signal=142%	
LYSOSOME	LYSOSOME	Details ...	7	-0.5301002	-1.7284534	0.025793651	0.084174566	0.703	586	tags=71%, list=19%, signal=88%	
PROPANOATE METABOLISM	PROPANOATE METABOLISM	Details ...	39	-0.22173688	-1.6280589	0.041666668	0.12739778	0.865	2304	tags=95%, list=73%, signal=347%	
STAPHYLOCOCCUS AUREUS INFECTION	STAPHYLOCOCCUS AUREUS INFECTION	Details ...	6	-0.5307936	-1.5634518	0.042016808	0.15953016	0.938	1485	tags=100%, list=47%, signal=189%	
ARGININE AND PROLINE METABOLISM	ARGININE AND PROLINE METABOLISM	Details ...	55	-0.1791211	-1.5508095	0.05108055	0.15794678	0.953	1167	tags=55%, list=37%, signal=85%	
BETA-ALANINE METABOLISM	BETA-ALANINE METABOLISM	Details ...	9	-0.43215764	-1.5418065	0.054545455	0.154129	0.958	745	tags=67%, list=24%, signal=87%	
INOSITOL PHOSPHATE METABOLISM	INOSITOL PHOSPHATE METABOLISM	Details ...	11	-0.3730597	-1.516533	0.064386316	0.16343558	0.971	1123	tags=73%, list=36%, signal=113%	
BACTERIAL SECRETION SYSTEM	BACTERIAL SECRETION SYSTEM	Details ...	30	-0.22117719	-1.4554226	0.092885375	0.20362988	0.989	46	tags=23%, list=1%, signal=23%	
OTHER GLYCAN DEGRADATION	OTHER GLYCAN DEGRADATION	Details ...	9	-0.37623134	-1.3757596	0.13779527	0.2706171	1.0	921	tags=67%, list=29%, signal=94%	
NITROTOLUENE DEGRADATION	NITROTOLUENE DEGRADATION	Details ...	14	-0.29976353	-1.3393873	0.14747475	0.29807076	1.0	1088	tags=64%, list=34%, signal=98%	
"VALINE, LEUCINE AND ISOLEUCINE DEGRADATION"	"VALINE, LEUCINE AND ISOLEUCINE DEGRADATION"		15	-0.28984398	-1.3391654	0.14845361	0.28408512	1.0	353	tags=40%, list=11%, signal=45%	
GLUTATHIONE METABOLISM	GLUTATHIONE METABOLISM		14	-0.28971535	-1.2978375	0.17794971	0.3200358	1.0	1345	tags=71%, list=43%, signal=124%	
TYROSINE METABOLISM	TYROSINE METABOLISM		15	-0.27449855	-1.262004	0.16008772	0.35115698	1.0	1874	tags=87%, list=59%, signal=212%	
SULFUR METABOLISM	SULFUR METABOLISM		25	-0.20996487	-1.2359152	0.21616162	0.3695915	1.0	606	tags=40%, list=19%, signal=49%	
FRUCTOSE AND MANNOSE METABOLISM	FRUCTOSE AND MANNOSE METABOLISM		43	-0.15414727	-1.2016165	0.2397541	0.40220076	1.0	1723	tags=70%, list=55%, signal=152%	
DEGRADATION OF AROMATIC COMPOUNDS	DEGRADATION OF AROMATIC COMPOUNDS		10	-0.30750158	-1.1861602	0.2519685	0.40775815	1.0	1874	tags=90%, list=59%, signal=221%	
VITAMIN B6 METABOLISM	VITAMIN B6 METABOLISM		9	-0.31352612	-1.1603266	0.27238095	0.42823458	1.0	417	tags=44%, list=13%, signal=51%	
NAPHTHALENE DEGRADATION	NAPHTHALENE DEGRADATION		5	-0.411298	-1.1320242	0.28849903	0.45073956	1.0	1861	tags=100%, list=59%, signal=243%	
FOLATE BIOSYNTHESIS	FOLATE BIOSYNTHESIS		21	-0.19817723	-1.0946649	0.32277226	0.48973674	1.0	582	tags=38%, list=18%, signal=46%	
BETA-LACTAM RESISTANCE	BETA-LACTAM RESISTANCE		17	-0.21177596	-1.078527	0.33404255	0.49903396	1.0	1564	tags=71%, list=50%, signal=139%	
PYRUVATE METABOLISM	PYRUVATE METABOLISM		57	-0.121346444	-1.0692607	0.3610586	0.49639598	1.0	2338	tags=86%, list=74%, signal=326%	
ASCORBATE AND ALDARATE METABOLISM	ASCORBATE AND ALDARATE METABOLISM		11	-0.2553259	-1.0273811	0.37642586	0.54341215	1.0	2354	tags=100%, list=75%, signal=392%	
TAURINE AND HYPOTAURINE METABOLISM	TAURINE AND HYPOTAURINE METABOLISM		7	-0.31089234	-1.0257577	0.41846758	0.52930295	1.0	2178	tags=100%, list=69%, signal=322%	
AMINOBENZOATE DEGRADATION	AMINOBENZOATE DEGRADATION		10	-0.26033056	-1.0140607	0.41422594	0.5331028	1.0	2338	tags=100%, list=74%, signal=385%	
PEROXISOME	PEROXISOME		7	-0.31347817	-1.0086628	0.42769858	0.5259083	1.0	1719	tags=86%, list=54%, signal=188%	
UBIQUINONE AND OTHER TERPENOID-QUINONE BIOSYNTHESIS	UBIQUINONE AND OTHER TERPENOID-QUINONE BIOSYNTHESIS		19	-0.19022535	-0.99581325	0.4302789	0.5300395	1.0	567	tags=37%, list=18%, signal=45%	
SPHINGOLIPID METABOLISM	SPHINGOLIPID METABOLISM		6	-0.32984123	-0.98570704	0.46332046	0.53127366	1.0	540	tags=50%, list=17%, signal=60%	
