NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
RIBOSOME	RIBOSOME	Details ...	55	0.68980676	5.923684	0.0	0.0	0.0	729	tags=91%, list=23%, signal=116%	
BIOSYNTHESIS OF AMINO ACIDS	BIOSYNTHESIS OF AMINO ACIDS	Details ...	139	0.33086613	4.4390206	0.0	0.0	0.0	908	tags=60%, list=29%, signal=81%	
AMINOACYL-TRNA BIOSYNTHESIS	AMINOACYL-TRNA BIOSYNTHESIS	Details ...	31	0.47179353	3.1869528	0.0	0.0	0.0	968	tags=77%, list=31%, signal=111%	
HOMOLOGOUS RECOMBINATION	HOMOLOGOUS RECOMBINATION	Details ...	23	0.51616037	2.976822	0.0	0.0	0.0	989	tags=83%, list=31%, signal=119%	
MISMATCH REPAIR	MISMATCH REPAIR	Details ...	20	0.5234694	2.900039	0.0	4.8671328E-4	0.002	1040	tags=85%, list=33%, signal=126%	
2-OXOCARBOXYLIC ACID METABOLISM	2-OXOCARBOXYLIC ACID METABOLISM	Details ...	28	0.45305082	2.8773782	0.0	4.0559442E-4	0.002	498	tags=61%, list=16%, signal=71%	
DNA REPLICATION	DNA REPLICATION	Details ...	16	0.5851911	2.8269448	0.0	3.4765236E-4	0.002	923	tags=88%, list=29%, signal=123%	
PYRIMIDINE METABOLISM	PYRIMIDINE METABOLISM	Details ...	55	0.30763683	2.744087	0.0021008404	4.584511E-4	0.003	996	tags=62%, list=32%, signal=89%	
PHOTOSYNTHESIS	PHOTOSYNTHESIS	Details ...	8	0.7627065	2.6648662	0.0	6.548318E-4	0.005	754	tags=100%, list=24%, signal=131%	
"VALINE, LEUCINE AND ISOLEUCINE BIOSYNTHESIS"	"VALINE, LEUCINE AND ISOLEUCINE BIOSYNTHESIS"	Details ...	13	0.59717566	2.5596333	0.0	8.2697405E-4	0.007	307	tags=69%, list=10%, signal=76%	
PORPHYRIN AND CHLOROPHYLL METABOLISM	PORPHYRIN AND CHLOROPHYLL METABOLISM	Details ...	42	0.321635	2.4491863	0.0038610038	0.0014320594	0.013	1402	tags=76%, list=44%, signal=135%	
PURINE METABOLISM	PURINE METABOLISM	Details ...	79	0.23523653	2.4109602	0.0037807184	0.0016684183	0.017	993	tags=54%, list=31%, signal=77%	
CELL CYCLE - CAULOBACTER	CELL CYCLE - CAULOBACTER	Details ...	12	0.5626591	2.3946524	0.0	0.0016330272	0.018	860	tags=83%, list=27%, signal=114%	
NUCLEOTIDE EXCISION REPAIR	NUCLEOTIDE EXCISION REPAIR	Details ...	7	0.70117503	2.2589865	0.0	0.004474674	0.053	947	tags=100%, list=30%, signal=143%	
PENTOSE PHOSPHATE PATHWAY	PENTOSE PHOSPHATE PATHWAY	Details ...	33	0.2816348	1.9073896	0.015037594	0.03496655	0.353	1606	tags=79%, list=51%, signal=159%	
HISTIDINE METABOLISM	HISTIDINE METABOLISM	Details ...	19	0.3627502	1.8904387	0.009505703	0.03604483	0.382	356	tags=47%, list=11%, signal=53%	
ONE CARBON POOL BY FOLATE	ONE CARBON POOL BY FOLATE	Details ...	17	0.38125667	1.8765368	0.0061728396	0.03672483	0.407	1030	tags=71%, list=33%, signal=104%	
LYSINE BIOSYNTHESIS	LYSINE BIOSYNTHESIS	Details ...	21	0.34659377	1.8699265	0.006198347	0.036275268	0.42	1317	tags=76%, list=42%, signal=130%	
RNA POLYMERASE	RNA POLYMERASE	Details ...	5	0.6480482	1.8571336	0.010162601	0.03714911	0.45	1113	tags=100%, list=35%, signal=154%	
C5-BRANCHED DIBASIC ACID METABOLISM	C5-BRANCHED DIBASIC ACID METABOLISM	Details ...	8	0.5287484	1.82986	0.009803922	0.04117602	0.51	307	tags=63%, list=10%, signal=69%	
VANCOMYCIN RESISTANCE	VANCOMYCIN RESISTANCE		7	0.535771	1.7623962	0.016161617	0.05466409	0.633	1017	tags=86%, list=32%, signal=126%	
BASE EXCISION REPAIR	BASE EXCISION REPAIR		13	0.40079302	1.7440028	0.01923077	0.057627976	0.67	1167	tags=77%, list=37%, signal=122%	
TERPENOID BACKBONE BIOSYNTHESIS	TERPENOID BACKBONE BIOSYNTHESIS		22	0.31258345	1.7337708	0.021653544	0.059156828	0.703	1745	tags=86%, list=55%, signal=192%	
OXIDATIVE PHOSPHORYLATION	OXIDATIVE PHOSPHORYLATION		46	0.2150287	1.7121938	0.02173913	0.06335702	0.734	2006	tags=85%, list=64%, signal=229%	
FATTY ACID BIOSYNTHESIS	FATTY ACID BIOSYNTHESIS		15	0.35593766	1.64407	0.038934425	0.08584096	0.848	2037	tags=100%, list=65%, signal=281%	
CYANOAMINO ACID METABOLISM	CYANOAMINO ACID METABOLISM		7	0.5144944	1.6410699	0.04950495	0.08376828	0.849	1084	tags=86%, list=34%, signal=130%	
PROTEIN EXPORT	PROTEIN EXPORT		18	0.29275548	1.4841746	0.07554672	0.16194367	0.972	1009	tags=61%, list=32%, signal=89%	
STREPTOMYCIN BIOSYNTHESIS	STREPTOMYCIN BIOSYNTHESIS		9	0.39307275	1.4467528	0.08219178	0.1835808	0.988	866	tags=67%, list=27%, signal=92%	
"PHENYLALANINE, TYROSINE AND TRYPTOPHAN BIOSYNTHESIS"	"PHENYLALANINE, TYROSINE AND TRYPTOPHAN BIOSYNTHESIS"		32	0.20654608	1.3885227	0.10950413	0.22618628	0.995	1129	tags=56%, list=36%, signal=87%	
PEPTIDOGLYCAN BIOSYNTHESIS	PEPTIDOGLYCAN BIOSYNTHESIS		33	0.20391233	1.377463	0.11394892	0.22931457	0.997	988	tags=52%, list=31%, signal=74%	
FATTY ACID METABOLISM	FATTY ACID METABOLISM		18	0.26779267	1.3725989	0.12830958	0.22701387	0.997	1438	tags=72%, list=46%, signal=132%	
AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM	AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM		57	0.15103345	1.3192846	0.15913557	0.27186432	0.999	1192	tags=53%, list=38%, signal=83%	
GLYCEROLIPID METABOLISM	GLYCEROLIPID METABOLISM		18	0.25950712	1.3156353	0.14700194	0.2677102	0.999	938	tags=56%, list=30%, signal=79%	
GALACTOSE METABOLISM	GALACTOSE METABOLISM		38	0.18171228	1.3039553	0.17829457	0.27223173	0.999	1924	tags=79%, list=61%, signal=200%	
CARBON METABOLISM	CARBON METABOLISM		122	0.09966823	1.2600495	0.17171717	0.31129882	1.0	1197	tags=48%, list=38%, signal=74%	
GLYCOLYSIS / GLUCONEOGENESIS	GLYCOLYSIS / GLUCONEOGENESIS		47	0.15484212	1.2588671	0.16969697	0.30377382	1.0	2405	tags=91%, list=76%, signal=379%	
PANTOTHENATE AND COA BIOSYNTHESIS	PANTOTHENATE AND COA BIOSYNTHESIS		20	0.23469388	1.2571101	0.18201755	0.2974598	1.0	841	tags=50%, list=27%, signal=68%	
GLYCEROPHOSPHOLIPID METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM		25	0.21211115	1.2490376	0.2195122	0.29786825	1.0	976	tags=52%, list=31%, signal=75%	
THIAMINE METABOLISM	THIAMINE METABOLISM		13	0.27717274	1.2137338	0.21588595	0.33062944	1.0	1070	tags=62%, list=34%, signal=93%	
CARBON FIXATION IN PHOTOSYNTHETIC ORGANISMS	CARBON FIXATION IN PHOTOSYNTHETIC ORGANISMS		19	0.22903208	1.1703972	0.2566735	0.37391162	1.0	1606	tags=74%, list=51%, signal=149%	
BENZOATE DEGRADATION	BENZOATE DEGRADATION		8	0.33338627	1.1564269	0.27941176	0.3828082	1.0	133	tags=38%, list=4%, signal=39%	
STARCH AND SUCROSE METABOLISM	STARCH AND SUCROSE METABOLISM		45	0.1441766	1.1453385	0.27131784	0.38791284	1.0	1935	tags=76%, list=61%, signal=193%	
"ALANINE, ASPARTATE AND GLUTAMATE METABOLISM"	"ALANINE, ASPARTATE AND GLUTAMATE METABOLISM"		35	0.15611297	1.080764	0.3587629	0.46421012	1.0	684	tags=37%, list=22%, signal=47%	
RIBOFLAVIN METABOLISM	RIBOFLAVIN METABOLISM		8	0.3005083	1.0682026	0.36127743	0.4722396	1.0	1420	tags=75%, list=45%, signal=136%	
D-GLUTAMINE AND D-GLUTAMATE METABOLISM	D-GLUTAMINE AND D-GLUTAMATE METABOLISM		5	0.38165662	1.049144	0.37526652	0.49115798	1.0	690	tags=60%, list=22%, signal=77%	
CYSTEINE AND METHIONINE METABOLISM	CYSTEINE AND METHIONINE METABOLISM		38	0.1407785	1.0197349	0.40748033	0.5249979	1.0	1055	tags=47%, list=33%, signal=70%	
DRUG METABOLISM - OTHER ENZYMES	DRUG METABOLISM - OTHER ENZYMES		10	0.26439926	1.0171757	0.43548387	0.5174737	1.0	1692	tags=80%, list=54%, signal=172%	
BACTERIAL CHEMOTAXIS	BACTERIAL CHEMOTAXIS		21	0.18705858	1.0139846	0.4336842	0.5112516	1.0	2268	tags=90%, list=72%, signal=319%	
NICOTINATE AND NICOTINAMIDE METABOLISM	NICOTINATE AND NICOTINAMIDE METABOLISM		22	0.18164417	1.0064746	0.43168318	0.5111824	1.0	1725	tags=73%, list=55%, signal=159%	
