SampleID,SequenceDepth,Type,Site,Site_General,MouseID,Genotype,Sex,Litter,Description,Sequencing_Run
Mouse1B.DTT45,101907,Mucosal,Cecum,Colon,Mouse1B,Tg,F,DOB_10_11_2017,Mouse1B.DTT45,One
Mouse2B.DTT51,147153,Mucosal,Cecum,Colon,Mouse2B,Tg,M,DOB_10_20_2017,Mouse2B.DTT51,One
Mouse3B.DTT57,138333,Mucosal,Cecum,Colon,Mouse3B,Tg,M,DOB_10_20_2017,Mouse3B.DTT57,One
Mouse4B.DTT63,147294,Mucosal,Cecum,Colon,Mouse4B,Tg,F,DOB_10_20_2017,Mouse4B.DTT63,One
Mouse5B.DTT69,121050,Mucosal,Cecum,Colon,Mouse5B,Tg,F,DOB_10_24_2017,Mouse5B.DTT69,One
Mouse6B.DTT75,129759,Mucosal,Cecum,Colon,Mouse6B,Tg,F,DOB_10_24_2017,Mouse6B.DTT75,One
Mouse7B.DTT81,112047,Mucosal,Cecum,Colon,Mouse7B,Tg,F,DOB_10_24_2017,Mouse7B.DTT81,One
Mouse8B.DTT93,103571,Mucosal,Cecum,Colon,Mouse8B,Tg,M,DOB_4_17_2018,Mouse8B.DTT93,Two
Mouse9B.DTT105,84271,Mucosal,Cecum,Colon,Mouse9B,Tg,M,DOB_4_17_2018,Mouse9B.DTT105,Two
Mouse10B.DTT117,91474,Mucosal,Cecum,Colon,Mouse10B,Tg,F,DOB_4_17_2018,Mouse10B.DTT117,Two
Mouse10B.FP117,100139,Luminal,Cecum,Colon,Mouse10B,Tg,F,DOB_4_17_2018,Mouse10B.FP117,Two
Mouse1B.FP45,128473,Luminal,Cecum,Colon,Mouse1B,Tg,F,DOB_10_11_2017,Mouse1B.FP45,One
Mouse2B.FP51,149691,Luminal,Cecum,Colon,Mouse2B,Tg,M,DOB_10_20_2017,Mouse2B.FP51,One
Mouse3B.FP57,116025,Luminal,Cecum,Colon,Mouse3B,Tg,M,DOB_10_20_2017,Mouse3B.FP57,One
Mouse4B.FP63,136706,Luminal,Cecum,Colon,Mouse4B,Tg,F,DOB_10_20_2017,Mouse4B.FP63,One
Mouse5B.FP69,122502,Luminal,Cecum,Colon,Mouse5B,Tg,F,DOB_10_24_2017,Mouse5B.FP69,One
Mouse6B.FP75,135568,Luminal,Cecum,Colon,Mouse6B,Tg,F,DOB_10_24_2017,Mouse6B.FP75,One
Mouse7B.FP81,118209,Luminal,Cecum,Colon,Mouse7B,Tg,F,DOB_10_24_2017,Mouse7B.FP81,One
Mouse8B.FP93,107878,Luminal,Cecum,Colon,Mouse8B,Tg,M,DOB_4_17_2018,Mouse8B.FP93,Two
Mouse9B.FP105,85623,Luminal,Cecum,Colon,Mouse9B,Tg,M,DOB_4_17_2018,Mouse9B.FP105,Two
Mouse1B.DTT43,124771,Mucosal,Distal_Colon,Colon,Mouse1B,Tg,F,DOB_10_11_2017,Mouse1B.DTT43,One
Mouse2B.DTT49,146483,Mucosal,Distal_Colon,Colon,Mouse2B,Tg,M,DOB_10_20_2017,Mouse2B.DTT49,One
Mouse3B.DTT55,116643,Mucosal,Distal_Colon,Colon,Mouse3B,Tg,M,DOB_10_20_2017,Mouse3B.DTT55,One
Mouse4B.DTT61,124591,Mucosal,Distal_Colon,Colon,Mouse4B,Tg,F,DOB_10_20_2017,Mouse4B.DTT61,One
Mouse5B.DTT67,136038,Mucosal,Distal_Colon,Colon,Mouse5B,Tg,F,DOB_10_24_2017,Mouse5B.DTT67,One
Mouse6B.DTT73,111136,Mucosal,Distal_Colon,Colon,Mouse6B,Tg,F,DOB_10_24_2017,Mouse6B.DTT73,One
Mouse7B.DTT79,139353,Mucosal,Distal_Colon,Colon,Mouse7B,Tg,F,DOB_10_24_2017,Mouse7B.DTT79,One
Mouse8B.DTT91,144040,Mucosal,Distal_Colon,Colon,Mouse8B,Tg,M,DOB_4_17_2018,Mouse8B.DTT91,Two
Mouse9B.DTT103,139852,Mucosal,Distal_Colon,Colon,Mouse9B,Tg,M,DOB_4_17_2018,Mouse9B.DTT103,Two
Mouse10B.DTT115,94034,Mucosal,Distal_Colon,Colon,Mouse10B,Tg,F,DOB_4_17_2018,Mouse10B.DTT115,Two
Mouse10B.FP115,143788,Luminal,Distal_Colon,Colon,Mouse10B,Tg,F,DOB_4_17_2018,Mouse10B.FP115,Two
Mouse1B.FP43,85460,Luminal,Distal_Colon,Colon,Mouse1B,Tg,F,DOB_10_11_2017,Mouse1B.FP43,One
Mouse2B.FP49,129169,Luminal,Distal_Colon,Colon,Mouse2B,Tg,M,DOB_10_20_2017,Mouse2B.FP49,One
Mouse3B.FP55,110024,Luminal,Distal_Colon,Colon,Mouse3B,Tg,M,DOB_10_20_2017,Mouse3B.FP55,One
Mouse4B.FP61,103170,Luminal,Distal_Colon,Colon,Mouse4B,Tg,F,DOB_10_20_2017,Mouse4B.FP61,One
Mouse5B.FP67,107514,Luminal,Distal_Colon,Colon,Mouse5B,Tg,F,DOB_10_24_2017,Mouse5B.FP67,One
Mouse6B.FP73,108344,Luminal,Distal_Colon,Colon,Mouse6B,Tg,F,DOB_10_24_2017,Mouse6B.FP73,One
Mouse7B.FP79,118076,Luminal,Distal_Colon,Colon,Mouse7B,Tg,F,DOB_10_24_2017,Mouse7B.FP79,One
Mouse8B.FP91,160950,Luminal,Distal_Colon,Colon,Mouse8B,Tg,M,DOB_4_17_2018,Mouse8B.FP91,Two
Mouse9B.FP103,108082,Luminal,Distal_Colon,Colon,Mouse9B,Tg,M,DOB_4_17_2018,Mouse9B.FP103,Two
Mouse1B.DTT46,112278,Mucosal,Ileum,SI,Mouse1B,Tg,F,DOB_10_11_2017,Mouse1B.DTT46,One
