"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","annotation","detailed_annotation","condensed_annotation","Hierarchy_L1","Hierarchy_L2","Map","Map2_ammonia","Map3_carbon_dioxide","X","X.1","X.2","X.3"
"1","MF0003","Type","Mucosal",3.18515614511841,1.04100084134729,44,16,0.00447894703667022,0.0451603043963467,"pectin degradation I","","pectin degradation","carbohydrate degradation","polysaccharide degradation","polysaccharides","#N/A","#N/A",NA,NA,"beta-D-glucuronide and D-glucuronate degradation","sugar acid"
"2","MF0005","Type","Mucosal",-0.658891195546779,0.163453273254058,44,44,0.000273764655579478,0.00844759508645247,"starch degradation","","starch degradation","carbohydrate degradation","polysaccharide degradation","polysaccharides","#N/A","#N/A",NA,NA,"galactarate degradation","sugar acid"
"3","MF0006","Type","Mucosal",-0.486089628793694,0.145982873366115,44,44,0.00204462597274621,0.0276024506320739,"lactose degradation","","lactose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"galactonate degradation","sugar acid"
"4","MF0011","Type","Mucosal",-0.597718359153262,0.121509099439331,44,44,0.0000181062726994121,0.00228995577231476,"sucrose degradation II","","sucrose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"5","MF0017","Type","Mucosal",-0.498165123611878,0.116478985041586,44,44,0.000134021965177349,0.00496307012880303,"galactose degradation","","galactose degradation","carbohydrate degradation","monosaccharide degradation","monosaccharides","#N/A","#N/A",NA,NA,"",""
"6","MF0018","Type","Mucosal",-0.431271322726554,0.138943648444306,44,44,0.00372787373545347,0.0412933706081,"mannose degradation","","mannose degradation","carbohydrate degradation","monosaccharide degradation","monosaccharides","#N/A","#N/A",NA,NA,"",""
"7","MF0025","Type","Mucosal",-0.816805383912439,0.185106963490694,44,43,0.000102214455217205,0.00483793486166576,"tryptophan degradation","tryptophan degradation","tryptophan degradation","amino acid degradation","aromatic amino acid degradation","proteolytic fermentation","ammonia","#N/A",NA,NA,"",""
"8","MF0031","Type","Mucosal",-0.636039820684989,0.169072837121698,44,44,0.000620410326597131,0.0143981870698266,"glutamate degradation II","glutamate degradation (methylaspartate pathway)","glutamate degradation","amino acid degradation","negatively charged amino acid degradation","proteolytic fermentation","ammonia","#N/A",NA,NA,"",""
"9","MF0035","Type","Mucosal",-0.657244768721344,0.166855079747616,44,44,0.000359281366724564,0.00970059690156323,"glycine degradation","glycine degradation","glycine degradation","amino acid degradation","nonpolar, aliphatic amino acid degradation","proteolytic fermentation","ammonia","carbon dioxide",NA,NA,"",""
"10","MF0038","Type","Mucosal",-0.471768165164515,0.150192274245851,44,44,0.0033045802586766,0.0375678597828498,"methionine degradation I","methionine degradation (mercaptan pathway)","methionine degradation","amino acid degradation","nonpolar, aliphatic amino acid degradation","proteolytic fermentation","ammonia","#N/A",NA,NA,"",""
"11","MF0040","Type","Mucosal",-1.26392312200274,0.278373875946126,44,30,0.0000739304379967636,0.00399224365182523,"proline degradation","","proline degradation","amino acid degradation","nonpolar, aliphatic amino acid degradation","proteolytic fermentation","#N/A","#N/A",NA,NA,"",""
"12","MF0041","Type","Mucosal",-0.524985977259451,0.16447380166889,44,37,0.00299715285393217,0.0349937846729378,"valine degradation I","valine degradation","valine degradation","amino acid degradation","nonpolar, aliphatic amino acid degradation","proteolytic fermentation","#N/A","carbon dioxide",NA,NA,"",""
"13","MF0044","Type","Mucosal",-0.407961752014495,0.127109809662726,44,44,0.00284694400449949,0.0341633280539939,"cysteine degradation I","","cysteine degradation","amino acid degradation","polar, uncharged amino acid degradation","proteolytic fermentation","#N/A","#N/A",NA,NA,"",""
"14","MF0045","Type","Mucosal",-0.409969423540461,0.117640751360777,44,44,0.00138036616243699,0.0238527272869112,"cysteine degradation II","","cysteine degradation","amino acid degradation","polar, uncharged amino acid degradation","proteolytic fermentation","#N/A","#N/A",NA,NA,"",""
"15","MF0046","Type","Mucosal",-0.54650070947485,0.179477186648798,44,44,0.00449512289130303,0.0451603043963467,"glutamine degradation I","glutamine degradation (ammonia pathway)","glutamine degradation","amino acid degradation","polar, uncharged amino acid degradation","proteolytic fermentation","ammonia","#N/A",NA,NA,"",""
"16","MF0047","Type","Mucosal",-0.330585092967884,0.107869824099163,44,44,0.00416131415016759,0.0438460417773756,"glutamine degradation II","","glutamine degradation","amino acid degradation","polar, uncharged amino acid degradation","proteolytic fermentation","#N/A","#N/A",NA,NA,"",""
"17","MF0048","Type","Mucosal",-0.434856523992528,0.090135488390674,44,44,0.0000265041177351246,0.00228995577231476,"serine degradation","serine degradation","serine degradation","amino acid degradation","polar, uncharged amino acid degradation","proteolytic fermentation","ammonia","#N/A",NA,NA,"",""
