"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","annotation","detailed_annotation","condensed_annotation","Hierarchy_L1","Hierarchy_L2","Map","Map2_ammonia","Map3_carbon_dioxide","X","X.1","X.2","X.3"
"1","MF0001","Site_General","SI",-1.23969433211162,0.162796194693943,52,52,0.00000000224211647142498,0.000000289435752044317,"arabinoxylan degradation","arabinoxylan degradation","arabinoxylan degradation","carbohydrate degradation","polysaccharide degradation","polysaccharides","#N/A","#N/A",NA,NA,"ethanol production (CO2 pathway)","ethanol"
"2","MF0002","Site_General","SI",-1.11811260853889,0.150087592460068,52,52,0.00000000378855384858879,0.000000289435752044317,"fructan degradation","","fructan degradation","carbohydrate degradation","polysaccharide degradation","polysaccharides","#N/A","#N/A",NA,NA,"ethanol production (formate pathway)","ethanol"
"3","MF0003","Site_General","SI",-2.83914237634456,0.966745625334239,52,24,0.00541477118056915,0.0366141670305152,"pectin degradation I","","pectin degradation","carbohydrate degradation","polysaccharide degradation","polysaccharides","#N/A","#N/A",NA,NA,"beta-D-glucuronide and D-glucuronate degradation","sugar acid"
"4","MF0004","Site_General","SI",-0.933274290271341,0.15565468839136,52,49,0.000000435144617080033,0.00000772381695317058,"pectin degradation II","","pectin degradation","carbohydrate degradation","polysaccharide degradation","polysaccharides","#N/A","#N/A",NA,NA,"D-galacturonate degradation","sugar acid"
"5","MF0005","Site_General","SI",-0.278630012175627,0.0976173197344747,52,52,0.00672713115868484,0.0444303546294534,"starch degradation","","starch degradation","carbohydrate degradation","polysaccharide degradation","polysaccharides","#N/A","#N/A",NA,NA,"galactarate degradation","sugar acid"
"6","MF0006","Site_General","SI",-0.498734568763898,0.0918407693974191,52,52,0.00000276723055355533,0.0000357224307822598,"lactose degradation","","lactose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"galactonate degradation","sugar acid"
"7","MF0008","Site_General","SI",-0.830040244955156,0.133142184193685,52,43,0.000000199761765021853,0.0000040523100904433,"maltose degradation","","maltose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"8","MF0009","Site_General","SI",-0.506597275639064,0.12965355701651,52,52,0.000341397429643563,0.00302990218808662,"melibiose degradation","","melibiose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"9","MF0010","Site_General","SI",-0.524607145285701,0.0940482285837062,52,52,0.00000171144188671616,0.0000255815524119678,"sucrose degradation I","","sucrose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"10","MF0013","Site_General","SI",-0.589197036171545,0.0986290831211588,52,51,0.000000467968964648154,0.00000781783446823974,"allose degradation","","allose degradation","carbohydrate degradation","monosaccharide degradation","monosaccharides","#N/A","#N/A",NA,NA,"",""
"11","MF0014","Site_General","SI",-1.16951780243547,0.152122406139878,52,50,0.00000000176483920389662,0.000000289435752044317,"arabinose degradation","","arabinose degradation","carbohydrate degradation","monosaccharide degradation","monosaccharides","#N/A","#N/A",NA,NA,"",""
"12","MF0016","Site_General","SI",0.766344791637974,0.167441319736774,52,46,0.0000430853984132878,0.000407875104979125,"fucose degradation","","fucose degradation","organic acid metabolism","propionate metabolism","mucin degradation","#N/A","#N/A",NA,NA,"",""
"13","MF0019","Site_General","SI",-1.07495073824663,0.146084518406924,52,51,0.00000000509569985993516,0.000000289435752044317,"rhamnose degradation","","rhamnose degradation","carbohydrate degradation","monosaccharide degradation","monosaccharides","#N/A","#N/A",NA,NA,"",""
"14","MF0020","Site_General","SI",-0.858177926598466,0.119046850085452,52,52,0.00000000828613070046407,0.000000307507271659348,"ribose degradation","","ribose degradation","carbohydrate degradation","monosaccharide degradation","monosaccharides","#N/A","#N/A",NA,NA,"",""
"15","MF0021","Site_General","SI",-0.619493692567251,0.0937647292943557,52,52,0.0000000588950213246235,0.00000139384883801609,"xylose degradation","","xylose degradation","carbohydrate degradation","monosaccharide degradation","monosaccharides","#N/A","#N/A",NA,NA,"",""
"16","MF0022","Site_General","SI",-0.841675967153381,0.126554356784917,52,52,0.0000000509870326688409,0.00000131639247981371,"galacturonate degradation I","","D-galacturonate degradation","carbohydrate degradation","sugar acid degradation","sugar acid","#N/A","#N/A",NA,NA,"",""
"17","MF0024","Site_General","SI",3.50953494587442,0.933658833018737,52,16,0.000531904871069646,0.00457760555708422,"phenylalanine degradation","phenylalanine degradation","phenylalanine degradation","amino acid degradation","aromatic amino acid degradation","proteolytic fermentation","#N/A","carbon dioxide",NA,NA,"",""
