NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
RIBOSOME	RIBOSOME	Details ...	55	0.77877855	6.693578	0.0	0.0	0.0	378	tags=89%, list=13%, signal=100%	
HOMOLOGOUS RECOMBINATION	HOMOLOGOUS RECOMBINATION	Details ...	22	0.6929375	3.8464358	0.0	0.0	0.0	526	tags=86%, list=18%, signal=104%	
AMINOACYL-TRNA BIOSYNTHESIS	AMINOACYL-TRNA BIOSYNTHESIS	Details ...	30	0.5728886	3.6702342	0.0	0.0	0.0	797	tags=83%, list=27%, signal=112%	
DNA REPLICATION	DNA REPLICATION	Details ...	16	0.7074531	3.5589736	0.0	0.0	0.0	700	tags=94%, list=23%, signal=122%	
PHOTOSYNTHESIS	PHOTOSYNTHESIS	Details ...	8	0.9535117	3.3560662	0.0	0.0	0.0	146	tags=100%, list=5%, signal=105%	
BIOSYNTHESIS OF AMINO ACIDS	BIOSYNTHESIS OF AMINO ACIDS	Details ...	138	0.24709637	3.2509437	0.0	0.0	0.0	1052	tags=59%, list=35%, signal=86%	
MISMATCH REPAIR	MISMATCH REPAIR	Details ...	19	0.6232399	3.2498372	0.0	0.0	0.0	667	tags=84%, list=22%, signal=108%	
PURINE METABOLISM	PURINE METABOLISM	Details ...	79	0.2980733	3.1514044	0.0	0.0	0.0	571	tags=48%, list=19%, signal=58%	
PYRIMIDINE METABOLISM	PYRIMIDINE METABOLISM	Details ...	54	0.36794233	3.1304135	0.0	0.0	0.0	1081	tags=72%, list=36%, signal=111%	
NUCLEOTIDE EXCISION REPAIR	NUCLEOTIDE EXCISION REPAIR	Details ...	7	0.80708796	2.590673	0.0	2.2800271E-4	0.002	583	tags=100%, list=19%, signal=124%	
CELL CYCLE - CAULOBACTER	CELL CYCLE - CAULOBACTER	Details ...	12	0.5934919	2.451291	0.0	6.33453E-4	0.006	975	tags=92%, list=33%, signal=135%	
PENTOSE PHOSPHATE PATHWAY	PENTOSE PHOSPHATE PATHWAY	Details ...	31	0.33301803	2.2073514	0.0	0.0062266123	0.063	655	tags=55%, list=22%, signal=69%	
RNA POLYMERASE	RNA POLYMERASE	Details ...	5	0.7694621	2.1733844	0.001984127	0.0076315566	0.082	694	tags=100%, list=23%, signal=130%	
LYSINE BIOSYNTHESIS	LYSINE BIOSYNTHESIS	Details ...	21	0.3801366	2.1273246	0.0038910506	0.009958646	0.115	866	tags=67%, list=29%, signal=93%	
TERPENOID BACKBONE BIOSYNTHESIS	TERPENOID BACKBONE BIOSYNTHESIS	Details ...	22	0.36250612	2.057075	0.0061728396	0.0133178225	0.159	828	tags=64%, list=28%, signal=87%	
BASE EXCISION REPAIR	BASE EXCISION REPAIR	Details ...	13	0.4582142	2.0261257	0.003816794	0.015414596	0.194	1168	tags=85%, list=39%, signal=138%	
GLYCOLYSIS / GLUCONEOGENESIS	GLYCOLYSIS / GLUCONEOGENESIS	Details ...	45	0.25300828	2.0061219	0.0040816325	0.016610585	0.219	2050	tags=93%, list=68%, signal=291%	
GALACTOSE METABOLISM	GALACTOSE METABOLISM	Details ...	37	0.26569733	1.8981848	0.006048387	0.03243735	0.395	1400	tags=73%, list=47%, signal=135%	
PHOSPHOTRANSFERASE SYSTEM (PTS)	PHOSPHOTRANSFERASE SYSTEM (PTS)	Details ...	42	0.25128877	1.8880302	0.015748031	0.03246707	0.414	1469	tags=74%, list=49%, signal=143%	
