NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
FLAGELLAR ASSEMBLY	FLAGELLAR ASSEMBLY	Details ...	33	-0.65590477	-4.4469476	0.0	0.0	0.0	600	tags=85%, list=20%, signal=105%	
LIPOPOLYSACCHARIDE BIOSYNTHESIS	LIPOPOLYSACCHARIDE BIOSYNTHESIS	Details ...	22	-0.4861009	-2.7845535	0.0	3.3606557E-4	0.001	871	tags=77%, list=29%, signal=108%	
BACTERIAL CHEMOTAXIS	BACTERIAL CHEMOTAXIS	Details ...	19	-0.49829507	-2.551316	0.0	0.0011687177	0.005	1199	tags=89%, list=40%, signal=148%	
UBIQUINONE AND OTHER TERPENOID-QUINONE BIOSYNTHESIS	UBIQUINONE AND OTHER TERPENOID-QUINONE BIOSYNTHESIS	Details ...	18	-0.47345266	-2.399901	0.0018975332	0.0039066365	0.02	1255	tags=89%, list=42%, signal=152%	
NITROTOLUENE DEGRADATION	NITROTOLUENE DEGRADATION	Details ...	13	-0.559129	-2.3897822	0.0	0.003584553	0.023	1330	tags=100%, list=44%, signal=179%	
OXIDATIVE PHOSPHORYLATION	OXIDATIVE PHOSPHORYLATION	Details ...	44	-0.30239427	-2.3439095	0.0	0.0032978945	0.025	743	tags=55%, list=25%, signal=71%	
BACTERIAL SECRETION SYSTEM	BACTERIAL SECRETION SYSTEM	Details ...	28	-0.36741218	-2.276676	0.0	0.0044047693	0.039	730	tags=61%, list=24%, signal=80%	
PENTOSE AND GLUCURONATE INTERCONVERSIONS	PENTOSE AND GLUCURONATE INTERCONVERSIONS	Details ...	22	-0.3896322	-2.1962883	0.0	0.0068747513	0.069	613	tags=59%, list=20%, signal=74%	
TWO-COMPONENT SYSTEM	TWO-COMPONENT SYSTEM	Details ...	109	-0.16335294	-1.9847523	0.0019120459	0.024722602	0.245	2087	tags=85%, list=70%, signal=271%	
TRYPTOPHAN METABOLISM	TRYPTOPHAN METABOLISM	Details ...	9	-0.47663656	-1.7559578	0.017716536	0.081108876	0.638	575	tags=67%, list=19%, signal=82%	
SULFUR METABOLISM	SULFUR METABOLISM	Details ...	23	-0.28949946	-1.6663507	0.03187251	0.12074803	0.821	1486	tags=78%, list=50%, signal=154%	
LYSINE DEGRADATION	LYSINE DEGRADATION	Details ...	12	-0.39501002	-1.6291258	0.045725647	0.13293214	0.877	1070	tags=75%, list=36%, signal=116%	
LYSOSOME	LYSOSOME	Details ...	7	-0.4960596	-1.627209	0.053949904	0.12405825	0.882	1087	tags=86%, list=36%, signal=134%	
METHANE METABOLISM	METHANE METABOLISM	Details ...	40	-0.20949964	-1.5812472	0.045454547	0.14215645	0.929	1330	tags=65%, list=44%, signal=115%	
BETA-ALANINE METABOLISM	BETA-ALANINE METABOLISM	Details ...	8	-0.44774246	-1.579604	0.06276151	0.13359247	0.932	536	tags=63%, list=18%, signal=76%	
