"","Jejunum"
"superpathway of L-aspartate and L-asparagine biosynthesis",-0.05831952107
"chorismate biosynthesis I",-0.1238962689
"chorismate biosynthesis from 3-dehydroquinate",-0.1183198114
"GDP-mannose biosynthesis",-0.1369836574
"methylerythritol phosphate pathway I",-0.09934789396
"methylerythritol phosphate pathway II",-0.09934789396
"pentose phosphate pathway (non-oxidative branch) I",-0.04787312348
"peptidoglycan biosynthesis II (staphylococci)",-0.2777392022
"L-isoleucine biosynthesis IV",-0.05790614128
"superpathway of L-isoleucine biosynthesis I",-0.03414574825
"pyrimidine deoxyribonucleosides salvage",-0.09768954945
"superpathway of aromatic amino acid biosynthesis",-0.1132045106
"superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)",-0.07674094778
