"","Duodenum","Jejunum"
"chorismate biosynthesis from 3-dehydroquinate",-0.100436146,-0.118319811
"chorismate biosynthesis I",-0.103845086,-0.123896269
"GDP-mannose biosynthesis",-0.164580438,-0.136983657
"L-isoleucine biosynthesis IV",-0.046264552,-0.057906141
"methylerythritol phosphate pathway I",-0.090239095,-0.099347894
"methylerythritol phosphate pathway II",-0.090239095,-0.099347894
"pentose phosphate pathway (non-oxidative branch) I",-0.04212868,-0.047873123
"peptidoglycan biosynthesis II (staphylococci)",-0.344445882,-0.277739202
"pyrimidine deoxyribonucleosides salvage",-0.078567666,-0.097689549
"superpathway of aromatic amino acid biosynthesis",-0.097188957,-0.113204511
"superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)",-0.072479091,-0.076740948
"superpathway of L-aspartate and L-asparagine biosynthesis",-0.05402111,-0.058319521
"superpathway of L-isoleucine biosynthesis I",-0.03323219,-0.034145748
