"","L1...Terminal.Pathway","L2A","L2B","L2C","L2D","L2E","L2F","L2G"
"1","(-)-4'-demethyl-epipodophyllotoxin biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"2","(-)-camphor biosynthesis","Monoterpenoid Biosynthesis (24 instances)",NA,NA,NA,NA,NA,NA
"3","(-)-camphor degradation","Terpenoid Degradation (22 instances)",NA,NA,NA,NA,NA,NA
"4","(-)-dehydrodiconiferyl alcohol degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"5","(-)-glycinol biosynthesis","Flavonoid Biosynthesis (128 instances)",NA,NA,NA,NA,NA,NA
"6","(-)-maackiain biosynthesis","Flavonoid Biosynthesis (128 instances)",NA,NA,NA,NA,NA,NA
"7","(-)-medicarpin biosynthesis","Flavonoid Biosynthesis (128 instances)",NA,NA,NA,NA,NA,NA
"8","(-)-microperfuranone biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"9","(+)-camphor biosynthesis","Monoterpenoid Biosynthesis (24 instances)",NA,NA,NA,NA,NA,NA
"10","(+)-camphor degradation","Terpenoid Degradation (22 instances)",NA,NA,NA,NA,NA,NA
"11","(+)-pisatin biosynthesis","Flavonoid Biosynthesis (128 instances)",NA,NA,NA,NA,NA,NA
"12","(+)-secoisolariciresinol diglucoside biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"13","(1'S,5'S)-averufin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"14","(1,3)-beta-D-xylan degradation","Polysaccharide Degradation (47 instances)",NA,NA,NA,NA,NA,NA
"15","(1,4)-beta-D-xylan degradation","Polysaccharide Degradation (47 instances)","Polysaccharide Degradation (47 instances)",NA,NA,NA,NA,NA
"16","(2-trimethylamino)ethylphosphonate degradation","Phosphonate Metabolism (13 instances)",NA,NA,NA,NA,NA,NA
"17","(2S,3E)-2-amino-4-methoxy-but-3-enoate biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"18","(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis (2 instances)","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA,NA
"19","(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis I","Sesquiterpenoid Biosynthesis (41 instances)",NA,NA,NA,NA,NA,NA
"20","(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis II","Sesquiterpenoid Biosynthesis (41 instances)",NA,NA,NA,NA,NA,NA
"21","(3R)-linalool biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Terpenoid Biosynthesis (203 instances)","Monoterpenoid Biosynthesis (24 instances)",NA,NA,NA,NA
"22","(3S)-linalool biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Terpenoid Biosynthesis (203 instances)","Monoterpenoid Biosynthesis (24 instances)",NA,NA,NA,NA
"23","(4R)-carveol and (4R)-dihydrocarveol degradation","Terpenoid Degradation (22 instances)",NA,NA,NA,NA,NA,NA
"24","(4R)-carvone biosynthesis","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA,NA
"25","(4S)-carveol and (4S)-dihydrocarveol degradation","Terpenoid Degradation (22 instances)",NA,NA,NA,NA,NA,NA
"26","(4S)-carvone biosynthesis","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA,NA
"27","(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)","Unsaturated Fatty Acid Biosynthesis (60 instances)",NA,NA,NA,NA,NA,NA
"28","(4Z,7Z,10Z,13Z,16Z)-docosapentaenoate biosynthesis (6-desaturase)","Unsaturated Fatty Acid Biosynthesis (60 instances)",NA,NA,NA,NA,NA,NA
"29","(5R)-carbapenem carboxylate biosynthesis","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA,NA
"30","(5Z)-dodecenoate Biosynthesis (2 instances)","Fatty Acid Biosynthesis (92 instances)",NA,NA,NA,NA,NA,NA
"31","(5Z)-dodecenoate biosynthesis I","Unsaturated Fatty Acid Biosynthesis (60 instances)",NA,NA,NA,NA,NA,NA
"32","(5Z)-dodecenoate biosynthesis II","Unsaturated Fatty Acid Biosynthesis (60 instances)",NA,NA,NA,NA,NA,NA
"33","(5Z)-icosenoate biosynthesis","Fatty Acid Biosynthesis (92 instances)",NA,NA,NA,NA,NA,NA
"34","(7Z,10Z,13Z)-hexadecatrienoate biosynthesis","Unsaturated Fatty Acid Biosynthesis (60 instances)",NA,NA,NA,NA,NA,NA
"35","(8E,10E)-dodeca-8,10-dienol biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"36","(9Z)-tricosene biosynthesis","Olefin Biosynthesis (6 instances)",NA,NA,NA,NA,NA,NA
"37","(aminomethyl)phosphonate degradation","Phosphonate Metabolism (13 instances)",NA,NA,NA,NA,NA,NA
"38","(E,E)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"39","(Kdo)2-lipid A biosynthesis (4 instances)","Biosynthesis (1993 instances)","Cell Structure Biosynthesis (104 instances)",NA,NA,NA,NA,NA
