"","L1...Terminal.Pathway","L2A","L2B","L2C","L2D","L2E","L2F","L2G"
"1","(-)-4'-demethyl-epipodophyllotoxin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"2","(-)-camphor biosynthesis","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA,NA
"3","(-)-camphor degradation","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA,NA
"4","(-)-dehydrodiconiferyl alcohol degradation",NA,NA,NA,NA,NA,NA,NA
"5","(-)-glycinol biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"6","(-)-maackiain biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"7","(-)-medicarpin biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"8","(-)-microperfuranone biosynthesis",NA,NA,NA,NA,NA,NA,NA
"9","(+)-camphor biosynthesis","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA,NA
"10","(+)-camphor degradation","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA,NA
"11","(+)-pisatin biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"12","(+)-secoisolariciresinol diglucoside biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"13","(1'S,5'S)-averufin biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"14","(1,3)-beta-D-xylan degradation","Polymeric Compound Degradation (52 instances)",NA,NA,NA,NA,NA,NA
"15","(1,4)-beta-D-xylan degradation","Carbohydrate Degradation (134 instances)","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA
"16","(2-trimethylamino)ethylphosphonate degradation","Phosphorus Compound Metabolism (19 instances)",NA,NA,NA,NA,NA,NA
"17","(2S,3E)-2-amino-4-methoxy-but-3-enoate biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"18","(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis (2 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"19","(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis I","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA,NA
