"","L1...Terminal.Pathway","L2A","L2B","L2C","L2D","L2E","L2F","L2G"
"1","(-)-4'-demethyl-epipodophyllotoxin biosynthesis","Lignan Biosynthesis (13 instances)",NA,NA,NA,NA,NA,NA
"2","(-)-camphor biosynthesis","Camphor Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"3","(-)-camphor degradation","Camphor Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"4","(-)-dehydrodiconiferyl alcohol degradation","Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"5","(-)-glycinol biosynthesis","Isoflavonoid Biosynthesis (31 instances)",NA,NA,NA,NA,NA,NA
"6","(-)-maackiain biosynthesis","Isoflavonoid Biosynthesis (31 instances)",NA,NA,NA,NA,NA,NA
"7","(-)-medicarpin biosynthesis","Isoflavonoid Biosynthesis (31 instances)",NA,NA,NA,NA,NA,NA
"8","(-)-microperfuranone biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"9","(+)-camphor biosynthesis","Camphor Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"10","(+)-camphor degradation","Camphor Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"11","(+)-pisatin biosynthesis","Isoflavonoid Biosynthesis (31 instances)",NA,NA,NA,NA,NA,NA
"12","(+)-secoisolariciresinol diglucoside biosynthesis","Lignan Biosynthesis (13 instances)",NA,NA,NA,NA,NA,NA
"13","(1'S,5'S)-averufin biosynthesis","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA,NA
"14","(1,3)-beta-D-xylan degradation","Xylan Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"15","(1,4)-beta-D-xylan degradation","Glycan Degradation (11 instances)","Xylan Degradation (2 instances)",NA,NA,NA,NA,NA
"16","(2-trimethylamino)ethylphosphonate degradation","Phosphonate Compound Degradation (9 instances)",NA,NA,NA,NA,NA,NA
"17","(2S,3E)-2-amino-4-methoxy-but-3-enoate biosynthesis","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA,NA
"18","(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis (2 instances)","Sesquiterpenoid Biosynthesis (41 instances)",NA,NA,NA,NA,NA,NA
