L1 = Terminal Pathway,Splay,L2,L3,L4
"(1,4)-beta-D-xylan degradation",L2A,Glycan Degradation (11 instances),Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances)
(3R)-linalool biosynthesis,L2A,Aroma Compound Biosynthesis (13 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
(3S)-linalool biosynthesis,L2A,Aroma Compound Biosynthesis (13 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
(Kdo)2-lipid A biosynthesis (4 instances),L2A,Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances),NA
(Kdo)2-lipid A biosynthesis (E. coli),L2A,(Kdo)2-lipid A biosynthesis (4 instances),Lipopolysaccharide Biosynthesis (68 instances),Cell Structure Biosynthesis (104 instances)
(Kdo)2-lipid A biosynthesis (generic),L2A,(Kdo)2-lipid A biosynthesis (4 instances),Lipopolysaccharide Biosynthesis (68 instances),Cell Structure Biosynthesis (104 instances)
(Kdo)2-lipid A biosynthesis (P. gingivalis),L2A,(Kdo)2-lipid A biosynthesis (4 instances),Lipopolysaccharide Biosynthesis (68 instances),Cell Structure Biosynthesis (104 instances)
(Kdo)2-lipid A biosynthesis (P. putida),L2A,(Kdo)2-lipid A biosynthesis (4 instances),Lipopolysaccharide Biosynthesis (68 instances),Cell Structure Biosynthesis (104 instances)
"(S)-propane-1,2-diol degradation",L2A,Alcohol Degradation (20 instances),Degradation/Utilization/Assimilation (1104 instances),NA
"1,2-dichlorobenzene degradation",L2A,Chlorobenzene Degradation (6 instances),Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances)
"1,2,4-trichlorobenzene degradation",L2A,Chlorobenzene Degradation (6 instances),Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances)
"1,2,4,5-tetrachlorobenzene degradation",L2A,Chlorobenzene Degradation (6 instances),Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances)
"1,3-beta-D-glucan biosynthesis",L2A,Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances),Carbohydrate Biosynthesis (228 instances)
"1,3-dichlorobenzene degradation",L2A,Chlorobenzene Degradation (6 instances),Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances)
"1,3,5-trimethoxybenzene biosynthesis",L2A,Aroma Compound Biosynthesis (13 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
"1,4-dichlorobenzene degradation",L2A,Chlorobenzene Degradation (6 instances),Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances)
"10,13-epoxy-11-methyl-octadecadienoate biosynthesis",L2A,Branched Fatty Acid Biosynthesis (5 instances),Fatty Acid Biosynthesis (92 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
2-chlorobenzoate degradation,L2A,Chlorobenzoate Degradation (6 instances),Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances)
2-methylketone biosynthesis,L2A,Plant Hormone Biosynthesis (37 instances),Hormone Biosynthesis (68 instances),Secondary Metabolite Biosynthesis (911 instances)
2-nitrophenol degradation,L2A,2-Nitrophenol Degradation (1 instances),Nitrophenol Degradation (4 instances),Nitroaromatic Compound Degradation (20 instances)
2-Nitrophenol Degradation (1 instances),L2A,Nitrophenol Degradation (4 instances),Nitroaromatic Compound Degradation (20 instances),Aromatic Compound Degradation (227 instances)
"2,2'-dihydroxyketocarotenoids biosynthesis",L2A,C40 Carotenoid Biosynthesis (37 instances),Carotenoid Biosynthesis (43 instances),Terpenoid Biosynthesis (203 instances)
"2,4-dichlorophenoxyacetate degradation",L2A,Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
"2,4-dichlorotoluene degradation",L2A,Dichlorotoluene Degradation (3 instances),Chlorotoluene Degradation (5 instances),Chloroaromatic Compound Degradation (35 instances)
"2,4,5-trichlorophenoxyacetate degradation",L2A,Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
"2,4,6-trichlorophenol degradation",L2A,Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
"2,4,6-trinitrophenol and 2,4-dinitrophenol degradation",L2A,Nitrophenol Degradation (4 instances),Nitroaromatic Compound Degradation (20 instances),Aromatic Compound Degradation (227 instances)
"2,5-dichlorotoluene degradation",L2A,Dichlorotoluene Degradation (3 instances),Chlorotoluene Degradation (5 instances),Chloroaromatic Compound Degradation (35 instances)
"24-epi-campesterol, fucosterol, and clionasterol biosynthesis (diatoms)",L2A,Sterol Biosynthesis (28 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
3 Chlorotoluene Degradation (2 instances),L2A,Chlorotoluene Degradation (5 instances),Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances)
3-Chlorobenzoate Degradation (3 instances),L2A,Chlorobenzoate Degradation (6 instances),Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances)
3-chlorobenzoate degradation I (via chlorocatechol),L2A,3-Chlorobenzoate Degradation (3 instances),Chlorobenzoate Degradation (6 instances),Chloroaromatic Compound Degradation (35 instances)
3-chlorobenzoate degradation II (via protocatechuate),L2A,3-Chlorobenzoate Degradation (3 instances),Chlorobenzoate Degradation (6 instances),Chloroaromatic Compound Degradation (35 instances)
3-chlorobenzoate degradation III (via gentisate),L2A,3-Chlorobenzoate Degradation (3 instances),Chlorobenzoate Degradation (6 instances),Chloroaromatic Compound Degradation (35 instances)
3-Chlorocatechol Degradation (3 instances),L2A,Chlorocatechol Degradation (7 instances),Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances)
3-chlorocatechol degradation I (ortho),L2A,3-Chlorocatechol Degradation (3 instances),Chlorocatechol Degradation (7 instances),Chloroaromatic Compound Degradation (35 instances)
3-chlorocatechol degradation II (ortho),L2A,3-Chlorocatechol Degradation (3 instances),Chlorocatechol Degradation (7 instances),Chloroaromatic Compound Degradation (35 instances)
3-chlorocatechol degradation III (meta pathway),L2A,3-Chlorocatechol Degradation (3 instances),Chlorocatechol Degradation (7 instances),Chloroaromatic Compound Degradation (35 instances)
3-chlorotoluene degradation I,L2A,3 Chlorotoluene Degradation (2 instances),Chlorotoluene Degradation (5 instances),Chloroaromatic Compound Degradation (35 instances)
3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation,L2A,Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances),NA
3-phenylpropanoate degradation,L2A,Phenolic Compound Degradation (27 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
"3,4-dichlorobenzoate degradation",L2A,Chlorobenzoate Degradation (6 instances),Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances)
"3,4-dichlorotoluene degradation",L2A,Dichlorotoluene Degradation (3 instances),Chlorotoluene Degradation (5 instances),Chloroaromatic Compound Degradation (35 instances)
"3,4,6-trichlorocatechol degradation",L2A,Chlorocatechol Degradation (7 instances),Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances)
"3,5-dichlorocatechol degradation",L2A,Chlorocatechol Degradation (7 instances),Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances)
"3,5-dimethoxytoluene biosynthesis",L2A,Aroma Compound Biosynthesis (13 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
"3,5,6-trichloro-2-pyridinol degradation",L2A,Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis (2 instances),L2A,Thiamine Biosynthesis (20 instances),Enzyme Cofactor Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis I,L2A,4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis (2 instances),Thiamine Biosynthesis (20 instances),Enzyme Cofactor Biosynthesis (137 instances)
4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II,L2A,4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis (2 instances),Thiamine Biosynthesis (20 instances),Enzyme Cofactor Biosynthesis (137 instances)
4-aminobutanoate degradation V,L2A,4-Aminobutanoate Degradation (7 instances),Amine and Polyamine Degradation (62 instances),Degradation/Utilization/Assimilation (1104 instances)
4-chloro-2-methylphenoxyacetate degradation,L2A,Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
4-chlorobenzoate degradation,L2A,Chlorobenzoate Degradation (6 instances),Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances)
4-chlorocatechol degradation,L2A,Chlorocatechol Degradation (7 instances),Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances)
4-coumarate degradation (aerobic),L2A,Phenylpropanoid Derivative Degradation (10 instances),Phenolic Compound Degradation (27 instances),Aromatic Compound Degradation (227 instances)
4-coumarate degradation (anaerobic),L2A,Phenylpropanoid Derivative Degradation (10 instances),Phenolic Compound Degradation (27 instances),Aromatic Compound Degradation (227 instances)
4-hydroxycoumarin and dicoumarol biosynthesis,L2A,Phytoalexin Biosynthesis (38 instances),Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances)
4-Nitrophenol Degradation (2 instances),L2A,Nitrophenol Degradation (4 instances),Nitroaromatic Compound Degradation (20 instances),Aromatic Compound Degradation (227 instances)
4-nitrophenol degradation I,L2A,4-Nitrophenol Degradation (2 instances),Nitrophenol Degradation (4 instances),Nitroaromatic Compound Degradation (20 instances)
4-nitrophenol degradation II,L2A,4-Nitrophenol Degradation (2 instances),Nitrophenol Degradation (4 instances),Nitroaromatic Compound Degradation (20 instances)
"4,4'-diapolycopenedioate biosynthesis",L2A,C30 Carotenoid Biosynthesis (2 instances),Carotenoid Biosynthesis (43 instances),Terpenoid Biosynthesis (203 instances)
"4,5-dichlorocatechol degradation",L2A,Chlorocatechol Degradation (7 instances),Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances)
5-chloro-3-methyl-catechol degradation,L2A,Chloroaromatic Compound Degradation (35 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),L2A,Folate Biosynthesis (14 instances),Single Carbon Carrier Biosynthesis (23 instances),Carrier Biosynthesis (137 instances)
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,L2A,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),Folate Biosynthesis (14 instances),Single Carbon Carrier Biosynthesis (23 instances)
6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (Methanocaldococcus),L2A,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),Folate Biosynthesis (14 instances),Single Carbon Carrier Biosynthesis (23 instances)
6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),L2A,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),Folate Biosynthesis (14 instances),Single Carbon Carrier Biosynthesis (23 instances)
6-hydroxymethyl-dihydropterin diphosphate biosynthesis IV (Plasmodium),L2A,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),Folate Biosynthesis (14 instances),Single Carbon Carrier Biosynthesis (23 instances)
6-hydroxymethyl-dihydropterin diphosphate biosynthesis V (Pyrococcus),L2A,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),Folate Biosynthesis (14 instances),Single Carbon Carrier Biosynthesis (23 instances)
6-methoxymellein biosynthesis,L2A,Coumarin Phytoalexin Biosynthesis (1 instances),Phytoalexin Biosynthesis (38 instances),Toxin Biosynthesis (205 instances)
8-oxo-(d)GTP detoxification I,L2A,8-oxo-GTP and 8-oxo-dGTP Detoxification (2 instances),Detoxification (65 instances),NA
