"","L1...Terminal.Pathway","L3","L4","L2A","L2B","L2C","L2D","L2E","L2F","L2G"
"1","(1,4)-beta-D-xylan degradation","Polysaccharide Degradation (47 instances)","Carbohydrate Degradation (134 instances)","Glycan Degradation (11 instances)","Xylan Degradation (2 instances)",NA,NA,NA,NA,NA
"2","(3R)-linalool biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Aroma Compound Biosynthesis (13 instances)",NA,NA,NA,NA,NA,NA
"3","(3S)-linalool biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Aroma Compound Biosynthesis (13 instances)",NA,NA,NA,NA,NA,NA
"4","(Kdo)2-lipid A biosynthesis (4 instances)","Biosynthesis (1993 instances)",NA,"Fatty Acid and Lipid Biosynthesis (224 instances)",NA,NA,NA,NA,NA,NA
"5","(Kdo)2-lipid A biosynthesis (E. coli)","Lipopolysaccharide Biosynthesis (68 instances)","Cell Structure Biosynthesis (104 instances)","(Kdo)2-lipid A biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"6","(Kdo)2-lipid A biosynthesis (generic)","Lipopolysaccharide Biosynthesis (68 instances)","Cell Structure Biosynthesis (104 instances)","(Kdo)2-lipid A biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"7","(Kdo)2-lipid A biosynthesis (P. gingivalis)","Lipopolysaccharide Biosynthesis (68 instances)","Cell Structure Biosynthesis (104 instances)","(Kdo)2-lipid A biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"8","(Kdo)2-lipid A biosynthesis (P. putida)","Lipopolysaccharide Biosynthesis (68 instances)","Cell Structure Biosynthesis (104 instances)","(Kdo)2-lipid A biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"9","(S)-propane-1,2-diol degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Alcohol Degradation (20 instances)",NA,NA,NA,NA,NA,NA
"10","1,2-dichlorobenzene degradation","Chloroaromatic Compound Degradation (35 instances)","Aromatic Compound Degradation (227 instances)","Chlorobenzene Degradation (6 instances)",NA,NA,NA,NA,NA,NA
"11","1,2,4-trichlorobenzene degradation","Chloroaromatic Compound Degradation (35 instances)","Aromatic Compound Degradation (227 instances)","Chlorobenzene Degradation (6 instances)",NA,NA,NA,NA,NA,NA
"12","1,2,4,5-tetrachlorobenzene degradation","Chloroaromatic Compound Degradation (35 instances)","Aromatic Compound Degradation (227 instances)","Chlorobenzene Degradation (6 instances)",NA,NA,NA,NA,NA,NA
"13","1,3-beta-D-glucan biosynthesis","Glycan Biosynthesis (99 instances)","Carbohydrate Biosynthesis (228 instances)","Polysaccharide Biosynthesis (73 instances)",NA,NA,NA,NA,NA,NA
"14","1,3-dichlorobenzene degradation","Chloroaromatic Compound Degradation (35 instances)","Aromatic Compound Degradation (227 instances)","Chlorobenzene Degradation (6 instances)",NA,NA,NA,NA,NA,NA
"15","1,3,5-trimethoxybenzene biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Aroma Compound Biosynthesis (13 instances)",NA,NA,NA,NA,NA,NA
"16","1,4-dichlorobenzene degradation","Chloroaromatic Compound Degradation (35 instances)","Aromatic Compound Degradation (227 instances)","Chlorobenzene Degradation (6 instances)",NA,NA,NA,NA,NA,NA
"17","10,13-epoxy-11-methyl-octadecadienoate biosynthesis","Fatty Acid Biosynthesis (92 instances)","Fatty Acid and Lipid Biosynthesis (224 instances)","Branched Fatty Acid Biosynthesis (5 instances)","Unsaturated Fatty Acid Biosynthesis (60 instances)",NA,NA,NA,NA,NA
"18","2-chlorobenzoate degradation","Chloroaromatic Compound Degradation (35 instances)","Aromatic Compound Degradation (227 instances)","Chlorobenzoate Degradation (6 instances)",NA,NA,NA,NA,NA,NA
"19","2-methylketone biosynthesis","Hormone Biosynthesis (68 instances)","Secondary Metabolite Biosynthesis (911 instances)","Plant Hormone Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
