2021-08-13 05:06:57 INFO::Writing function arguments to log file
2021-08-13 05:06:57 DEBUG::Function arguments
2021-08-13 05:06:57 DEBUG::Output folder: LogCLR-MucosalColon-Maaslin-SeqRunSexSite_General-1-Line-MsID
2021-08-13 05:06:57 DEBUG::Min Abundance: 0.000000
2021-08-13 05:06:57 DEBUG::Min Prevalence: 0.100000
2021-08-13 05:06:57 DEBUG::Normalization: CLR
2021-08-13 05:06:57 DEBUG::Transform: LOG
2021-08-13 05:06:57 DEBUG::Analysis method: LM
2021-08-13 05:06:57 DEBUG::Max significance: 0.250000
2021-08-13 05:06:57 DEBUG::Random effects: Line,MouseID_Line
2021-08-13 05:06:57 DEBUG::Fixed effects: Sequencing_Run,Sex,Site
2021-08-13 05:06:57 DEBUG::Correction method: BH
2021-08-13 05:06:57 DEBUG::Standardize: TRUE
2021-08-13 05:06:57 DEBUG::Cores: 8
2021-08-13 05:06:57 INFO::Verifying options selected are valid
2021-08-13 05:06:57 INFO::Determining format of input files
2021-08-13 05:06:57 INFO::Input format is data samples as columns and metadata samples as rows
2021-08-13 05:06:57 DEBUG::Transformed data so samples are rows
2021-08-13 05:06:57 DEBUG::A total of 138 samples were found in both the data and metadata
2021-08-13 05:06:57 DEBUG::Reordering data/metadata to use same sample ordering
2021-08-13 05:06:57 INFO::Formula for random effects: expr ~ (1 | Line) + (1 | MouseID_Line)
2021-08-13 05:06:57 INFO::Formula for fixed effects: expr ~  Sequencing_Run + Sex + Site
2021-08-13 05:06:57 INFO::Running selected normalization method: CLR
2021-08-13 05:06:57 INFO::Filter data based on min abundance and min prevalence
2021-08-13 05:06:57 INFO::Total samples in data: 138
2021-08-13 05:06:57 INFO::Min samples required with min abundance for a feature not to be filtered: 13.800000
2021-08-13 05:06:57 INFO::Total filtered features: 51
2021-08-13 05:06:57 INFO::Filtered feature names: X9bc2935704d00be01387e4b91d0ec358, e9caa943f6467ffd09889cd0df61cb45, b3ef12a80d40902556c2fd4de5924438, c0d5395792eadbf5f62e8ffb14fa0262, a30dd65fa0f17c9ffe88b70cc66d024b, X99e3ef8d6af1702f3a43e8f3e4976956, X832fb872172e67da702355444f34bc1c, e5450be8d98da604aa4a1fa0ed722fe1, X5287908182825be751d21ae4e6f44c79, X5df1f0b75fac3063662bc77afb6c4bf8, X94adac1e5690b5aef26d6014e471f458, X97e775c94445b62cef898d8ab38f8cb7, X0c1914abfb8acde52c282afa8e27a1fd, b45093ff0a5e7aac10c4f9f4513e7613, X8fde870b4c3464dbd28fb743c07f36f1, e4cb1b90e54f9ffc8f098a80d459512e, X4aa01b032f6f21994f27fd7c9ef08933, a355ffad67ad78b1bdbd4ad765a6f5cf, X59cb2b356649752e276dd7f74cee4321, X55fa67427af49d0e149b71f3e492fc2f, X263274421870217476d2449c7184e666, c739108a8fb66e778057d21c15128eaf, X30f0b16d39680d27d771da5b475ce546, X3d54a53e5412fd82769620a4792a9b31, dae1fbaad10a121a9e71c35d8c230bc2, dbec9c5165f7fd71fcfcee0766f056e9, X3a863e8d613146295f1169d6d3e462e8, d5bac6e328e0b91ff267e366898fb100, X07f9cf5cd15f1e6c3b5f4c0b6b8addc4, X3eeb6fa3850d5ab2864e37931dc1781b, f6fdab15a19dca0441b10f8c0969cb4d, d727291c9abb47ba09d6fba2de9836d0, X6a0efe866edcb457cbf296d6f70a0e86, X7c7bb1ff540acdb32e9310a6f5147b66, X9682035e00a33066c8a20a5728864160, X548b9f02eb5f8d9c273fea608c89123c, X84b12c5f4618dbf894915076b08799fa, ce4ac6a458d20598f8330e3ffe655960, bc9b892d9d458357ca91a3d6489d621c, X9c84f3a63bb2ae197d33f6cf57d34377, X5b239ea4225a1366ac283394a91ec211, X05e5fd65c9186b5d17260e49ce648e3a, b472d29ebb2e4b918cf5f7e0d7b46ce9, a8f7a4c4fa926673d7a1b6e3bd4c8925, X52ea162f982093e6b9b3bcdc2fc0b119, X793c5551e5eee756319c35a9a48a7edf, cccad67fb5ce1b4f76ed38e69a6c2556, X26fdedbab1c7064845c123af942ae31e, e6d53e67eb96231b465269ad8c15fe3c, X07680e846679f3a15354d617a37f5aea, X44be4a73cb6fbe694ec6cbbdba4bd3b3
2021-08-13 05:06:57 INFO::Applying z-score to standardize continuous metadata
2021-08-13 05:06:57 INFO::Running selected transform method: LOG
2021-08-13 05:06:57 INFO::Running selected analysis method: LM
2021-08-13 05:06:57 INFO::Creating cluster of 8 R processes
2021-08-13 05:08:04 INFO::Counting total values for each feature
2021-08-13 05:08:04 INFO::Writing residuals to file LogCLR-MucosalColon-Maaslin-SeqRunSexSite_General-1-Line-MsID/residuals.rds
2021-08-13 05:08:04 INFO::Writing all results to file (ordered by increasing q-values): LogCLR-MucosalColon-Maaslin-SeqRunSexSite_General-1-Line-MsID/all_results.tsv
2021-08-13 05:08:04 INFO::Writing the significant results (those which are less than or equal to the threshold of 0.250000 ) to file (ordered by increasing q-values): LogCLR-MucosalColon-Maaslin-SeqRunSexSite_General-1-Line-MsID/significant_results.tsv
2021-08-13 05:08:04 INFO::Writing heatmap of significant results to file: LogCLR-MucosalColon-Maaslin-SeqRunSexSite_General-1-Line-MsID/heatmap.pdf
2021-08-13 05:08:04 INFO::Writing association plots (one for each significant association) to output folder: LogCLR-MucosalColon-Maaslin-SeqRunSexSite_General-1-Line-MsID
2021-08-13 05:08:04 INFO::Plotting associations from most to least significant, grouped by metadata
2021-08-13 05:08:04 INFO::Plotting data for metadata number 1, Site
2021-08-13 05:08:04 INFO::Creating boxplot for categorical data, Site vs b7e800ed490ab8e535a11f2bd8f6cacc
2021-08-13 05:08:04 INFO::Creating boxplot for categorical data, Site vs X759abfc82a4b189214d7e148d4aef180
2021-08-13 05:08:04 INFO::Creating boxplot for categorical data, Site vs X292a57429f3bed0adc53c07dc4c62c9f
2021-08-13 05:08:04 INFO::Creating boxplot for categorical data, Site vs e78a270ccd8d01d326e840cd85e1c1e2
2021-08-13 05:08:05 INFO::Creating boxplot for categorical data, Site vs X7cd17d18c05e35c6001cc253ac15c517
2021-08-13 05:08:05 INFO::Creating boxplot for categorical data, Site vs X84a1034f71767fa92491aebf1bdf7fdc
2021-08-13 05:08:05 INFO::Creating boxplot for categorical data, Site vs X298c6e520261d927af2fb9e7c1e4cebc
2021-08-13 05:08:05 INFO::Creating boxplot for categorical data, Site vs db1ea7350f45b6b1c577ee65fae969c4
2021-08-13 05:08:05 INFO::Creating boxplot for categorical data, Site vs c003202be6a53b07fbb26ecd2161fe2c
2021-08-13 05:08:05 INFO::Creating boxplot for categorical data, Site vs X977eb5e61f5d9a0c3618c4f129859cd3
2021-08-13 05:08:05 INFO::Creating boxplot for categorical data, Site vs db1ea7350f45b6b1c577ee65fae969c4
2021-08-13 05:08:05 INFO::Creating boxplot for categorical data, Site vs X17bccd87573679acdd1eda74fc49bde7
2021-08-13 05:08:05 INFO::Creating boxplot for categorical data, Site vs X0247032b5537cfe290e9fe3067f9257e
2021-08-13 05:08:05 INFO::Creating boxplot for categorical data, Site vs e6b0f68e8f6db48ea780944a44ac99a1
2021-08-13 05:08:06 INFO::Creating boxplot for categorical data, Site vs X204736c3bd4a4c1f840e9fc99a5155d2
2021-08-13 05:08:06 INFO::Creating boxplot for categorical data, Site vs d013db1a71d477496cb864ee431c3420
2021-08-13 05:08:06 INFO::Creating boxplot for categorical data, Site vs X55b5e18dcec6eaff69b53b2c4cbb0a16
2021-08-13 05:08:06 INFO::Creating boxplot for categorical data, Site vs X76d6be90e19a660c9a84b35fa31d801c
2021-08-13 05:08:06 INFO::Creating boxplot for categorical data, Site vs X2f65298490e0fe48b880145471ec54eb
2021-08-13 05:08:06 INFO::Creating boxplot for categorical data, Site vs X4c8288bfbd76958c0c094d87b97650f8
2021-08-13 05:08:06 INFO::Creating boxplot for categorical data, Site vs X44585e66f2af08e85803b2e5689b1eeb
2021-08-13 05:08:06 INFO::Creating boxplot for categorical data, Site vs b7e800ed490ab8e535a11f2bd8f6cacc
2021-08-13 05:08:06 INFO::Creating boxplot for categorical data, Site vs X48082d1ff66a9207ede6bf05e9846d6e
2021-08-13 05:08:06 INFO::Creating boxplot for categorical data, Site vs X65553cd263bb61cf36d1a75d750952f3
2021-08-13 05:08:07 INFO::Creating boxplot for categorical data, Site vs X4c8288bfbd76958c0c094d87b97650f8
2021-08-13 05:08:07 INFO::Creating boxplot for categorical data, Site vs X397aa1ad0378774f826b9825c958427e
2021-08-13 05:08:07 INFO::Creating boxplot for categorical data, Site vs dcd0c235615b718f89bb8cc76b5a627f
2021-08-13 05:08:07 INFO::Creating boxplot for categorical data, Site vs b3703a2157a018a94473b0861589dde0
2021-08-13 05:08:07 INFO::Creating boxplot for categorical data, Site vs X9b5ce504ace88223f14f8b0848d1b054
2021-08-13 05:08:07 INFO::Creating boxplot for categorical data, Site vs X9558d82710beac18e454f983c9db7cca
2021-08-13 05:08:07 INFO::Creating boxplot for categorical data, Site vs X691f2dbdac94ad2f7e2486ab73a772af
2021-08-13 05:08:07 INFO::Creating boxplot for categorical data, Site vs X44166d043ae4422d941e1e4c779151f8
2021-08-13 05:08:07 INFO::Creating boxplot for categorical data, Site vs c003202be6a53b07fbb26ecd2161fe2c
2021-08-13 05:08:07 INFO::Creating boxplot for categorical data, Site vs f80a7e9c950f857ec31ac4d0cc9c6a03
2021-08-13 05:08:08 INFO::Creating boxplot for categorical data, Site vs ad23727bc3e6dc84a4c52399fe4f0d39
2021-08-13 05:08:08 INFO::Creating boxplot for categorical data, Site vs X292a57429f3bed0adc53c07dc4c62c9f
2021-08-13 05:08:08 INFO::Creating boxplot for categorical data, Site vs X64864a4b76fc5cccc00f4e44f8dbcff4
2021-08-13 05:08:08 INFO::Creating boxplot for categorical data, Site vs X5fc2d4103e27f399113f1fc7c954ef66
2021-08-13 05:08:08 INFO::Creating boxplot for categorical data, Site vs X483176e085c4e4eeee22409a02f2c0ef
2021-08-13 05:08:08 INFO::Creating boxplot for categorical data, Site vs X9c9d2dfde9ad67dcb9628dc8c30ec99f
2021-08-13 05:08:08 INFO::Creating boxplot for categorical data, Site vs eca7ea65dbc52bdbc9ade7f98e109a1e
2021-08-13 05:08:08 INFO::Creating boxplot for categorical data, Site vs X79d4cbe747374bb267d78e572c82d82c
