NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
RIBOSOME	RIBOSOME	Details ...	54	0.5696847	4.9363446	0.0	0.0	0.0	811	tags=93%, list=37%, signal=143%	
OXIDATIVE PHOSPHORYLATION	OXIDATIVE PHOSPHORYLATION	Details ...	31	0.46660796	3.1099463	0.0	0.0	0.0	688	tags=77%, list=31%, signal=111%	
LIPOPOLYSACCHARIDE BIOSYNTHESIS	LIPOPOLYSACCHARIDE BIOSYNTHESIS	Details ...	17	0.50965077	2.5113828	0.0	0.0020269565	0.006	180	tags=59%, list=8%, signal=64%	
AMINOACYL-TRNA BIOSYNTHESIS	AMINOACYL-TRNA BIOSYNTHESIS	Details ...	28	0.3635269	2.3009608	0.0	0.0082273325	0.03	1170	tags=89%, list=53%, signal=189%	
HOMOLOGOUS RECOMBINATION	HOMOLOGOUS RECOMBINATION	Details ...	21	0.42094186	2.2826278	0.004	0.0069895587	0.032	860	tags=81%, list=39%, signal=132%	
PEPTIDOGLYCAN BIOSYNTHESIS	PEPTIDOGLYCAN BIOSYNTHESIS	Details ...	26	0.36546454	2.2180836	0.0	0.010738871	0.059	1147	tags=88%, list=52%, signal=183%	
DNA REPLICATION	DNA REPLICATION	Details ...	16	0.45423746	2.2076743	0.0	0.009662929	0.062	929	tags=88%, list=42%, signal=151%	
LYSOSOME	LYSOSOME	Details ...	6	0.7194788	2.1721902	0.0019646366	0.011568099	0.083	253	tags=83%, list=12%, signal=94%	
PHOTOSYNTHESIS	PHOTOSYNTHESIS	Details ...	8	0.61967963	2.125976	0.0	0.014447192	0.11	838	tags=100%, list=38%, signal=161%	
BACTERIAL SECRETION SYSTEM	BACTERIAL SECRETION SYSTEM	Details ...	21	0.36615366	2.0007503	0.0057034222	0.02511567	0.21	979	tags=81%, list=45%, signal=145%	
PYRIMIDINE METABOLISM	PYRIMIDINE METABOLISM	Details ...	49	0.24553572	1.9742935	0.008298756	0.026389254	0.241	1039	tags=71%, list=47%, signal=133%	
BIOTIN METABOLISM	BIOTIN METABOLISM	Details ...	10	0.48822722	1.8926241	0.010526316	0.04011798	0.361	249	tags=60%, list=11%, signal=67%	
UBIQUINONE AND OTHER TERPENOID-QUINONE BIOSYNTHESIS	UBIQUINONE AND OTHER TERPENOID-QUINONE BIOSYNTHESIS	Details ...	11	0.43454713	1.7963842	0.014141414	0.06418619	0.554	247	tags=55%, list=11%, signal=61%	
MISMATCH REPAIR	MISMATCH REPAIR	Details ...	18	0.34383142	1.7161263	0.022494888	0.09495153	0.722	835	tags=72%, list=38%, signal=116%	
