NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
FLAGELLAR ASSEMBLY	FLAGELLAR ASSEMBLY	Details ...	31	-0.7252544	-4.74787	0.0	0.0	0.0	626	tags=100%, list=29%, signal=138%	
BACTERIAL CHEMOTAXIS	BACTERIAL CHEMOTAXIS	Details ...	10	-0.74118185	-2.8862998	0.0	0.0	0.0	576	tags=100%, list=26%, signal=135%	
"VALINE, LEUCINE AND ISOLEUCINE BIOSYNTHESIS"	"VALINE, LEUCINE AND ISOLEUCINE BIOSYNTHESIS"	Details ...	9	-0.6912393	-2.5498242	0.0	0.0014947295	0.005	197	tags=78%, list=9%, signal=85%	
TWO-COMPONENT SYSTEM	TWO-COMPONENT SYSTEM	Details ...	73	-0.24863662	-2.4103405	0.0	0.0032042433	0.014	285	tags=37%, list=13%, signal=41%	
HISTIDINE METABOLISM	HISTIDINE METABOLISM	Details ...	16	-0.460209	-2.2446764	0.0020449897	0.009310271	0.049	918	tags=88%, list=42%, signal=149%	
SULFUR METABOLISM	SULFUR METABOLISM	Details ...	10	-0.5541457	-2.1254175	0.0	0.017590554	0.111	765	tags=90%, list=35%, signal=138%	
NITROGEN METABOLISM	NITROGEN METABOLISM	Details ...	17	-0.40119484	-1.9544601	0.005952381	0.046157807	0.301	1192	tags=94%, list=54%, signal=205%	
BIOSYNTHESIS OF AMINO ACIDS	BIOSYNTHESIS OF AMINO ACIDS	Details ...	103	-0.15555812	-1.8003395	0.01724138	0.08975815	0.562	123	tags=20%, list=6%, signal=21%	
2-OXOCARBOXYLIC ACID METABOLISM	2-OXOCARBOXYLIC ACID METABOLISM	Details ...	19	-0.33457607	-1.7715076	0.028513238	0.093555205	0.63	197	tags=42%, list=9%, signal=46%	
"PHENYLALANINE, TYROSINE AND TRYPTOPHAN BIOSYNTHESIS"	"PHENYLALANINE, TYROSINE AND TRYPTOPHAN BIOSYNTHESIS"	Details ...	19	-0.3163705	-1.652619	0.04208417	0.15585475	0.835	352	tags=47%, list=16%, signal=56%	
LYSINE DEGRADATION	LYSINE DEGRADATION	Details ...	10	-0.41136053	-1.6050593	0.044315994	0.17699364	0.888	1296	tags=100%, list=59%, signal=243%	
C5-BRANCHED DIBASIC ACID METABOLISM	C5-BRANCHED DIBASIC ACID METABOLISM	Details ...	7	-0.4835969	-1.5850743	0.06326531	0.17870553	0.912	197	tags=57%, list=9%, signal=63%	
FOLATE BIOSYNTHESIS	FOLATE BIOSYNTHESIS	Details ...	18	-0.28804597	-1.468713	0.070993915	0.28120396	0.98	471	tags=50%, list=21%, signal=63%	
THIAMINE METABOLISM	THIAMINE METABOLISM	Details ...	11	-0.36171985	-1.4346956	0.10183299	0.300291	0.99	1006	tags=82%, list=46%, signal=150%	
