"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","annotation","detailed_annotation","condensed_annotation","Hierarchy_L1","Hierarchy_L2","Map","Map2_ammonia","Map3_carbon_dioxide","X","X.1","X.2","X.3"
"1","MF0001","Type","Mucosal",-0.512577281449303,0.102029328260252,50,50,0.0000129898897729463,0.00110169070151853,"arabinoxylan degradation","arabinoxylan degradation","arabinoxylan degradation","carbohydrate degradation","polysaccharide degradation","polysaccharides","#N/A","#N/A",NA,NA,"ethanol production (CO2 pathway)","ethanol"
"2","MF0002","Type","Mucosal",-0.34702773486746,0.102809802348822,50,50,0.00173215027830385,0.0123305613031799,"fructan degradation","","fructan degradation","carbohydrate degradation","polysaccharide degradation","polysaccharides","#N/A","#N/A",NA,NA,"ethanol production (formate pathway)","ethanol"
"3","MF0004","Type","Mucosal",-0.210936244884704,0.0761671134745655,50,50,0.00871258422872622,0.0351854363083174,"pectin degradation II","","pectin degradation","carbohydrate degradation","polysaccharide degradation","polysaccharides","#N/A","#N/A",NA,NA,"D-galacturonate degradation","sugar acid"
"4","MF0005","Type","Mucosal",-0.307912794593546,0.0775936412155707,50,50,0.000317827371093925,0.00477907233462584,"starch degradation","","starch degradation","carbohydrate degradation","polysaccharide degradation","polysaccharides","#N/A","#N/A",NA,NA,"galactarate degradation","sugar acid"
"5","MF0006","Type","Mucosal",-0.319176200542365,0.0767490111647316,50,50,0.000180876085146171,0.00366254975890821,"lactose degradation","","lactose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"galactonate degradation","sugar acid"
"6","MF0008","Type","Mucosal",-0.403974613360509,0.101809741984629,50,49,0.000318604822308389,0.00477907233462584,"maltose degradation","","maltose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"7","MF0009","Type","Mucosal",-0.324990117851353,0.0883888558945583,50,50,0.000744091734956452,0.00708124983230225,"melibiose degradation","","melibiose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"8","MF0010","Type","Mucosal",-0.219586030105029,0.078928944896302,50,50,0.00843606586385834,0.0343994918720437,"sucrose degradation I","","sucrose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"9","MF0011","Type","Mucosal",-0.192035301485899,0.0639221091213402,50,50,0.00473637031842417,0.0243711764274003,"sucrose degradation II","","sucrose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"10","MF0013","Type","Mucosal",-0.264681222496914,0.0722798708438644,50,50,0.000774365338677148,0.00708124983230225,"allose degradation","","allose degradation","carbohydrate degradation","monosaccharide degradation","monosaccharides","#N/A","#N/A",NA,NA,"",""
