"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","annotation","detailed_annotation","condensed_annotation","Hierarchy_L1","Hierarchy_L2","Map","Map2_ammonia","Map3_carbon_dioxide","X","X.1","X.2","X.3"
"1","MF0001","Type","Mucosal",-0.511839267048762,0.103511143884552,269,160,1.51854819780361e-06,2.59321307624925e-05,"arabinoxylan degradation","arabinoxylan degradation","arabinoxylan degradation","carbohydrate degradation","polysaccharide degradation","polysaccharides","#N/A","#N/A",NA,NA,"ethanol production (CO2 pathway)","ethanol"
"2","MF0002","Type","Mucosal",-0.324106356794526,0.0490311001033098,269,269,2.8479725687319e-10,7.58699892310178e-09,"fructan degradation","","fructan degradation","carbohydrate degradation","polysaccharide degradation","polysaccharides","#N/A","#N/A",NA,NA,"ethanol production (formate pathway)","ethanol"
"3","MF0004","Type","Mucosal",1.22543253836549,0.241169065689927,269,146,7.18674924346835e-07,1.25957236740787e-05,"pectin degradation II","","pectin degradation","carbohydrate degradation","polysaccharide degradation","polysaccharides","#N/A","#N/A",NA,NA,"D-galacturonate degradation","sugar acid"
"4","MF0005","Type","Mucosal",-0.299239545761122,0.0617121998082198,269,269,2.34215472846553e-06,3.89968762289511e-05,"starch degradation","","starch degradation","carbohydrate degradation","polysaccharide degradation","polysaccharides","#N/A","#N/A",NA,NA,"galactarate degradation","sugar acid"
"5","MF0006","Type","Mucosal",-0.465874925372233,0.0390988030581614,269,269,1.45922989537273e-25,9.71847110318239e-23,"lactose degradation","","lactose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"galactonate degradation","sugar acid"
"6","MF0007","Type","Mucosal",-0.263263613711284,0.0706064924563506,269,255,0.000244679771061452,0.00271594545878211,"lactose and galactose degradation","","lactose and galactose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"glucarate degradation","sugar acid"
"7","MF0008","Type","Mucosal",-0.425412561774638,0.0696770701247367,269,257,4.55541197510759e-09,1.04617392255919e-07,"maltose degradation","","maltose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"8","MF0009","Type","Mucosal",-0.451262678402686,0.0418024731495763,269,269,4.89243494653533e-22,8.14590418598132e-20,"melibiose degradation","","melibiose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"9","MF0010","Type","Mucosal",-0.326321800913954,0.0414183572529698,269,269,1.49159339266029e-13,6.20875749694847e-12,"sucrose degradation I","","sucrose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"10","MF0011","Type","Mucosal",-0.40005560374828,0.0466557518261543,269,269,1.76456397018002e-15,9.03999695492228e-14,"sucrose degradation II","","sucrose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"11","MF0012","Type","Mucosal",0.365250311133063,0.0926563342204088,269,109,0.000108585329947991,0.00131486963173386,"trehalose degradation","","trehalose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"12","MF0015","Type","Mucosal",-0.310450384137895,0.0471580112140615,269,269,3.32647630798514e-10,8.5208970043004e-09,"fructose degradation","","fructose degradation","carbohydrate degradation","monosaccharide degradation","monosaccharides","#N/A","#N/A",NA,NA,"",""
"13","MF0017","Type","Mucosal",-0.398110219450724,0.0413054466472193,269,269,1.44353834377859e-18,1.72065156162964e-16,"galactose degradation","","galactose degradation","carbohydrate degradation","monosaccharide degradation","monosaccharides","#N/A","#N/A",NA,NA,"",""
"14","MF0018","Type","Mucosal",-0.369531621404348,0.0482990897808563,269,269,6.18277599589965e-13,2.28762711848287e-11,"mannose degradation","","mannose degradation","carbohydrate degradation","monosaccharide degradation","monosaccharides","#N/A","#N/A",NA,NA,"",""
