,metadata,feature,value,coef,stderr,N,N.not.0,pval,qval,Site
1,Type,MF0006,Mucosal,-0.431815668,0.067062135,86,86,9.183E-08,2.83856E-05,Duodenum
2,Type,MF0047,Mucosal,-0.44318698,0.069026951,86,84,1.09597E-07,2.83856E-05,Duodenum
3,Type,MF0094,Mucosal,-1.122544248,0.217709137,86,52,5.85691E-06,0.00097912,Duodenum
4,Type,MF0009,Mucosal,-0.384164496,0.075373304,86,86,7.56077E-06,0.00097912,Duodenum
5,Type,MF0080,Mucosal,-1.651277942,0.327879013,86,32,9.70274E-06,0.001005204,Duodenum
6,Type,MF0087,Mucosal,-0.540058333,0.109215263,86,65,1.31824E-05,0.001138079,Duodenum
7,Type,MF0061,Mucosal,-0.315344438,0.065544858,86,86,2.06916E-05,0.001339779,Duodenum
8,Type,MF0067,Mucosal,-0.272944999,0.06343761,86,86,9.98473E-05,0.004876545,Duodenum
9,Type,MF0034,Mucosal,-0.909092505,0.214546835,86,71,0.000108873,0.004876545,Duodenum
10,Type,MF0017,Mucosal,-0.265971759,0.063323316,86,86,0.000138313,0.005511247,Duodenum
11,Type,MF0068,Mucosal,-0.248665121,0.060658342,86,86,0.000189297,0.006537065,Duodenum
12,Type,MF0019,Mucosal,0.5340195,0.13968718,86,12,0.0004293,0.012940453,Duodenum
13,Type,MF0041,Mucosal,-0.331393886,0.087125638,86,71,0.000449668,0.012940453,Duodenum
14,Type,MF0073,Mucosal,-0.401235808,0.109682373,86,84,0.000680708,0.014934696,Duodenum
15,Type,MF0026,Mucosal,-1.174622689,0.328032374,86,80,0.000813767,0.016734156,Duodenum
16,Type,MF0018,Mucosal,-0.23544052,0.065382198,86,86,0.000852839,0.016734156,Duodenum
17,Type,MF0011,Mucosal,-0.26204143,0.073513025,86,86,0.000929493,0.01719563,Duodenum
18,Type,MF0044,Mucosal,-0.206197353,0.060453116,86,86,0.00144462,0.023122109,Duodenum
19,Type,MF0071,Mucosal,-0.220206201,0.065648064,86,86,0.00166196,0.024597008,Duodenum
20,Type,MF0001,Mucosal,-0.714973786,0.213603417,86,60,0.001655737,0.024597008,Duodenum
21,Type,MF0086,Mucosal,-0.21674577,0.065872989,86,86,0.00206658,0.029735788,Duodenum
22,Type,MF0095,Mucosal,-0.644898263,0.197673532,86,63,0.002131332,0.029838644,Duodenum
23,Type,MF0103,Mucosal,-0.812777297,0.252769653,86,73,0.002402925,0.032755666,Duodenum
