NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
FLAGELLAR ASSEMBLY	FLAGELLAR ASSEMBLY	Details ...	32	-0.8121547	-5.347708	0.0	0.0	0.0	611	tags=100%, list=20%, signal=123%	
BACTERIAL CHEMOTAXIS	BACTERIAL CHEMOTAXIS	Details ...	19	-0.74466014	-3.8703928	0.0	0.0	0.0	809	tags=100%, list=26%, signal=134%	
ABC TRANSPORTERS	ABC TRANSPORTERS	Details ...	131	-0.22962539	-3.0961668	0.0	0.0	0.0	1287	tags=63%, list=41%, signal=104%	
SULFUR METABOLISM	SULFUR METABOLISM	Details ...	24	-0.48130742	-2.80245	0.0	0.0	0.0	1107	tags=83%, list=36%, signal=128%	
TWO-COMPONENT SYSTEM	TWO-COMPONENT SYSTEM	Details ...	108	-0.22448075	-2.710968	0.0	0.0	0.0	1400	tags=67%, list=45%, signal=117%	
PORPHYRIN AND CHLOROPHYLL METABOLISM	PORPHYRIN AND CHLOROPHYLL METABOLISM	Details ...	39	-0.32534868	-2.4368477	0.0	0.001469114	0.014	1314	tags=74%, list=42%, signal=127%	
NITROTOLUENE DEGRADATION	NITROTOLUENE DEGRADATION	Details ...	14	-0.5220863	-2.4018872	0.0	0.0015323942	0.017	1050	tags=86%, list=34%, signal=129%	
"PHENYLALANINE, TYROSINE AND TRYPTOPHAN BIOSYNTHESIS"	"PHENYLALANINE, TYROSINE AND TRYPTOPHAN BIOSYNTHESIS"	Details ...	33	-0.27201796	-1.865536	0.009861933	0.044515334	0.448	1708	tags=82%, list=55%, signal=180%	
ASCORBATE AND ALDARATE METABOLISM	ASCORBATE AND ALDARATE METABOLISM	Details ...	11	-0.44439226	-1.7667673	0.015209125	0.06802346	0.639	1168	tags=82%, list=38%, signal=131%	
METHANE METABOLISM	METHANE METABOLISM	Details ...	45	-0.20390195	-1.636771	0.028571429	0.1202033	0.863	1518	tags=69%, list=49%, signal=133%	
NITROGEN METABOLISM	NITROGEN METABOLISM	Details ...	23	-0.27137986	-1.5516827	0.05788423	0.1639627	0.944	1867	tags=87%, list=60%, signal=216%	
INOSITOL PHOSPHATE METABOLISM	INOSITOL PHOSPHATE METABOLISM	Details ...	10	-0.39674085	-1.5225916	0.0501002	0.17214596	0.964	326	tags=50%, list=10%, signal=56%	
PHOSPHOTRANSFERASE SYSTEM (PTS)	PHOSPHOTRANSFERASE SYSTEM (PTS)	Details ...	42	-0.19166395	-1.4832602	0.078350514	0.1888879	0.981	2004	tags=83%, list=64%, signal=231%	
