NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
RIBOSOME	RIBOSOME	Details ...	55	0.74261475	6.45025	0.0	0.0	0.0	727	tags=96%, list=23%, signal=124%	
HOMOLOGOUS RECOMBINATION	HOMOLOGOUS RECOMBINATION	Details ...	22	0.59790325	3.3390126	0.0	0.0	0.0	697	tags=82%, list=22%, signal=105%	
AMINOACYL-TRNA BIOSYNTHESIS	AMINOACYL-TRNA BIOSYNTHESIS	Details ...	30	0.47209054	3.100078	0.0	0.0	0.0	929	tags=77%, list=30%, signal=108%	
PYRIMIDINE METABOLISM	PYRIMIDINE METABOLISM	Details ...	54	0.35996243	3.0235133	0.0	0.0	0.0	1375	tags=80%, list=44%, signal=140%	
DNA REPLICATION	DNA REPLICATION	Details ...	16	0.5920021	2.8752882	0.0	0.0	0.0	694	tags=81%, list=22%, signal=104%	
LYSINE BIOSYNTHESIS	LYSINE BIOSYNTHESIS	Details ...	21	0.49281397	2.7100403	0.0	0.0	0.0	994	tags=81%, list=32%, signal=118%	
BIOSYNTHESIS OF AMINO ACIDS	BIOSYNTHESIS OF AMINO ACIDS	Details ...	141	0.19036625	2.5846353	0.0	2.2360249E-4	0.001	2102	tags=86%, list=68%, signal=253%	
MISMATCH REPAIR	MISMATCH REPAIR	Details ...	20	0.47209454	2.470406	0.0	0.0012577183	0.007	717	tags=70%, list=23%, signal=90%	
PURINE METABOLISM	PURINE METABOLISM	Details ...	80	0.23411193	2.3904183	0.0	0.002026161	0.013	1233	tags=63%, list=40%, signal=101%	
ONE CARBON POOL BY FOLATE	ONE CARBON POOL BY FOLATE	Details ...	18	0.44908157	2.3191333	0.0	0.0038893677	0.027	1029	tags=78%, list=33%, signal=116%	
OXIDATIVE PHOSPHORYLATION	OXIDATIVE PHOSPHORYLATION	Details ...	44	0.29313365	2.2858768	0.0019569471	0.0039512673	0.03	1079	tags=64%, list=35%, signal=96%	
PHOTOSYNTHESIS	PHOTOSYNTHESIS	Details ...	8	0.6543051	2.234922	0.003937008	0.0057029533	0.046	1079	tags=100%, list=35%, signal=153%	
BACTERIAL SECRETION SYSTEM	BACTERIAL SECRETION SYSTEM	Details ...	30	0.342005	2.228813	0.0019193857	0.0055646948	0.048	915	tags=63%, list=29%, signal=89%	
PEPTIDOGLYCAN BIOSYNTHESIS	PEPTIDOGLYCAN BIOSYNTHESIS	Details ...	29	0.33927453	2.2218165	0.0	0.0051672165	0.048	1527	tags=83%, list=49%, signal=161%	
NUCLEOTIDE EXCISION REPAIR	NUCLEOTIDE EXCISION REPAIR	Details ...	7	0.65602845	2.1403103	0.0	0.009055093	0.09	1073	tags=100%, list=35%, signal=152%	
TERPENOID BACKBONE BIOSYNTHESIS	TERPENOID BACKBONE BIOSYNTHESIS	Details ...	21	0.38015053	2.1056616	0.001908397	0.01076805	0.116	1638	tags=90%, list=53%, signal=190%	
STREPTOMYCIN BIOSYNTHESIS	STREPTOMYCIN BIOSYNTHESIS	Details ...	10	0.53375286	2.0999217	0.007858546	0.010559394	0.121	1143	tags=90%, list=37%, signal=142%	
