OTU.ID	TL1a_DTT_268_Repeat	TL1a_DTT_269_Repeat	TL1a_DTT_127_Repeat	TL1a_DTT_157_Repeat	TL1a_DTT_130_Repeat	TL1a_DTT_196_Repeat	TL1a_DTT_90_Repeat	TL1a_DTT_198_Repeat	TL1a_DTT_88_Repeat	TL1a_DTT_89_Re_extracted	TL1a_DTT_197_Repeat	TL1a_DTT_270_Repeat	TL1a_DTT_284	TL1a_DTT_231	TL1a_DTT_267	TL1a_DTT_160	TL1a_DTT_234	TL1a_DTT_158	TL1a_DTT_129	TL1a_DTT_265	TL1a_DTT_285	TL1a_DTT_159	TL1a_DTT_287	TL1a_DTT_233	TL1a_DTT_195	TL1a_DTT_85	TL1a_DTT_86	TL1a_DTT_193	TL1a_DTT_286	TL1a_DTT_230	TL1a_DTT_128	TL1a_DTT_283	TL1a_DTT_194	TL1a_DTT_229	TL1a_DTT_87	TL1a_DTT_266	TL1a_DTT_232	TL1A_DTT_673	TL1A_DTT_675	TL1A_DTT_626	TL1A_DTT_629	TL1A_DTT_674	TL1A_DTT_627	TL1A_DTT_630	TL1A_DTT_628	taxonomy
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__	19780	5904	7257	2122	19285	40586	2527	21011	2181	5947	8407	27165	5784	5443	11381	6572	30937	484	5960	1543	17124	2832	4773	40235	8476	20459	13691	14449	8171	6179	7058	28195	21637	839	12458	6408	26548	1746	8410	5952	50	5943	2787	2021	6007	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae RC9 gut group	45	1	2112	1830	38	4	0	376	17	353	26	2024	22	113	6125	880	31	245	1185	1194	1335	3275	0	398	103	0	0	900	1768	284	1005	1744	1234	186	0	723	1	0	0	0	0	0	0	47	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__	221	478	3789	2604	288	131	471	2043	354	589	450	2555	6693	2814	5175	1240	431	1496	4885	1912	4301	2249	321	465	7021	725	878	2798	568	1420	3768	4315	1468	444	1777	2673	56	153	231	203	2	372	565	119	297	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia vadinBB60 group;f__;g__	51	0	1098	234	77	11	153	264	42	112	9	220	2069	2042	621	163	102	82	1896	174	505	317	77	490	306	1606	1448	217	211	1202	1652	532	304	159	5329	97	16	24	26	85	0	32	335	8	46	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae NK4A136 group	897	252	7134	1495	746	244	6717	8683	5213	434	91	20081	58500	97301	81593	1448	1018	1976	8361	6633	3823	1872	2948	4291	96339	21678	42360	13298	1859	10755	6060	4725	4656	2672	41039	11463	465	2267	4242	5075	3545	3698	10693	1600	1513	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	643	31	12238	8880	203	199	572	1902	218	10598	176	1431	1174	10996	12053	11990	552	3266	6587	1088	7660	14405	499	231	7159	6537	3123	17661	5211	1924	6780	5482	14669	35435	6369	7839	44	3920	633	691	18572	601	418	8790	2012	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__	85	33	965	401	49	15	326	369	287	222	2	359	788	1764	1451	199	91	126	1022	845	431	287	120	191	1265	601	814	424	354	1108	751	915	607	331	2021	956	18	33	80	101	11	75	391	29	88	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] fissicatena group	0	0	0	0	0	0	0	0	0	25	0	0	0	10	0	0	0	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0	0	57	0	11	0	4	0	0	8	0	0	13	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter	534	200	31	0	8	9	0	62	0	37	8	49	2	2	0	113	118	3	3	11	2	36	5	0	0	7	0	1	0	2	6	0	0	0	0	0	1859	48	0	0	0	3	0	15	0	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella	52	3	25	6	23	0	0	0	0	196	0	0	3	6	0	109	0	1	0	4	147	45	60	18	0	0	0	0	32	0	3	33	4	0	6	49	2	4	0	5	0	0	1	0	0	
