NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
FLAGELLAR ASSEMBLY	FLAGELLAR ASSEMBLY	Details ...	34	-0.54818803	-3.7671356	0.0	0.0	0.0	706	tags=76%, list=22%, signal=97%	
TWO-COMPONENT SYSTEM	TWO-COMPONENT SYSTEM	Details ...	113	-0.21093038	-2.615904	0.0	0.0016575059	0.004	843	tags=47%, list=27%, signal=62%	
LIPOPOLYSACCHARIDE BIOSYNTHESIS	LIPOPOLYSACCHARIDE BIOSYNTHESIS	Details ...	22	-0.44025064	-2.5294127	0.0	0.0025833712	0.009	1641	tags=95%, list=52%, signal=197%	
PHOSPHONATE AND PHOSPHINATE METABOLISM	PHOSPHONATE AND PHOSPHINATE METABOLISM	Details ...	12	-0.5661283	-2.4244025	0.0	0.0036506834	0.017	1119	tags=92%, list=35%, signal=141%	
LYSINE DEGRADATION	LYSINE DEGRADATION	Details ...	12	-0.46089295	-1.9492831	0.008048289	0.062296655	0.317	923	tags=75%, list=29%, signal=105%	
TRYPTOPHAN METABOLISM	TRYPTOPHAN METABOLISM	Details ...	10	-0.48702532	-1.8851249	0.012170386	0.0732519	0.418	364	tags=60%, list=11%, signal=68%	
PENTOSE AND GLUCURONATE INTERCONVERSIONS	PENTOSE AND GLUCURONATE INTERCONVERSIONS	Details ...	23	-0.32519585	-1.8575763	0.0140280565	0.071763955	0.46	1045	tags=65%, list=33%, signal=97%	
PHOSPHOTRANSFERASE SYSTEM (PTS)	PHOSPHOTRANSFERASE SYSTEM (PTS)	Details ...	44	-0.2267638	-1.7613728	0.020746889	0.10634883	0.653	2246	tags=93%, list=71%, signal=315%	
UBIQUINONE AND OTHER TERPENOID-QUINONE BIOSYNTHESIS	UBIQUINONE AND OTHER TERPENOID-QUINONE BIOSYNTHESIS	Details ...	19	-0.33576643	-1.7512053	0.023454158	0.099803336	0.671	2113	tags=100%, list=67%, signal=298%	
BACTERIAL SECRETION SYSTEM	BACTERIAL SECRETION SYSTEM	Details ...	30	-0.26295114	-1.7321652	0.036093418	0.09904385	0.707	232	tags=33%, list=7%, signal=36%	
INOSITOL PHOSPHATE METABOLISM	INOSITOL PHOSPHATE METABOLISM	Details ...	11	-0.4072923	-1.6497314	0.050314464	0.13532794	0.839	1308	tags=82%, list=41%, signal=139%	
TYROSINE METABOLISM	TYROSINE METABOLISM	Details ...	15	-0.35393557	-1.6405092	0.03469388	0.12832172	0.85	1843	tags=93%, list=58%, signal=222%	
BACTERIAL CHEMOTAXIS	BACTERIAL CHEMOTAXIS	Details ...	20	-0.29666665	-1.6024879	0.040384617	0.14179577	0.899	2078	tags=95%, list=66%, signal=274%	
ABC TRANSPORTERS	ABC TRANSPORTERS	Details ...	146	-0.116374925	-1.5970248	0.03984064	0.13441814	0.9	2146	tags=79%, list=68%, signal=233%	
BETA-ALANINE METABOLISM	BETA-ALANINE METABOLISM	Details ...	9	-0.43446165	-1.5858725	0.05894309	0.13321957	0.913	741	tags=67%, list=23%, signal=87%	
NITROTOLUENE DEGRADATION	NITROTOLUENE DEGRADATION	Details ...	13	-0.33861262	-1.48283	0.08385744	0.19715247	0.981	2102	tags=100%, list=66%, signal=296%	
STAPHYLOCOCCUS AUREUS INFECTION	STAPHYLOCOCCUS AUREUS INFECTION	Details ...	6	-0.4794564	-1.4416717	0.086	0.22077502	0.99	1654	tags=100%, list=52%, signal=209%	
SULFUR METABOLISM	SULFUR METABOLISM	Details ...	26	-0.23341161	-1.4246308	0.09919028	0.22568078	0.994	1096	tags=58%, list=35%, signal=87%	
"VALINE, LEUCINE AND ISOLEUCINE DEGRADATION"	"VALINE, LEUCINE AND ISOLEUCINE DEGRADATION"	Details ...	16	-0.294507	-1.4183437	0.1	0.21933272	0.994	459	tags=44%, list=14%, signal=51%	
CITRATE CYCLE (TCA CYCLE)	CITRATE CYCLE (TCA CYCLE)	Details ...	39	-0.18653825	-1.3740314	0.12145749	0.24866204	0.997	1449	tags=64%, list=46%, signal=117%	
PROPANOATE METABOLISM	PROPANOATE METABOLISM		40	-0.17963257	-1.338831	0.14139344	0.2716037	0.998	2054	tags=83%, list=65%, signal=231%	
LYSOSOME	LYSOSOME		7	-0.40251118	-1.2781812	0.18067227	0.33119065	1.0	1445	tags=86%, list=46%, signal=157%	
ARGININE AND PROLINE METABOLISM	ARGININE AND PROLINE METABOLISM		54	-0.14651977	-1.2705595	0.18343195	0.3273546	1.0	2010	tags=78%, list=63%, signal=209%	
DEGRADATION OF AROMATIC COMPOUNDS	DEGRADATION OF AROMATIC COMPOUNDS		10	-0.31993672	-1.2435646	0.20618556	0.34670475	1.0	1843	tags=90%, list=58%, signal=214%	
CARBON FIXATION PATHWAYS IN PROKARYOTES	CARBON FIXATION PATHWAYS IN PROKARYOTES		49	-0.15051429	-1.2312595	0.1959596	0.34800228	1.0	2119	tags=82%, list=67%, signal=242%	
CHLOROALKANE AND CHLOROALKENE DEGRADATION	CHLOROALKANE AND CHLOROALKENE DEGRADATION		11	-0.30389363	-1.2248844	0.21721311	0.34243137	1.0	2211	tags=100%, list=70%, signal=329%	
BUTANOATE METABOLISM	BUTANOATE METABOLISM		36	-0.1740587	-1.2174349	0.22198732	0.33849066	1.0	1833	tags=75%, list=58%, signal=176%	
OTHER GLYCAN DEGRADATION	OTHER GLYCAN DEGRADATION		9	-0.3231748	-1.2050021	0.23214285	0.3409279	1.0	1445	tags=78%, list=46%, signal=143%	
NAPHTHALENE DEGRADATION	NAPHTHALENE DEGRADATION		5	-0.41958925	-1.2030058	0.1987705	0.33177608	1.0	1843	tags=100%, list=58%, signal=239%	
PEROXISOME	PEROXISOME		7	-0.34302878	-1.150605	0.26086956	0.38346478	1.0	2086	tags=100%, list=66%, signal=292%	
VITAMIN B6 METABOLISM	VITAMIN B6 METABOLISM		9	-0.3083061	-1.1227579	0.28973842	0.40770963	1.0	1492	tags=78%, list=47%, signal=147%	
GLUTATHIONE METABOLISM	GLUTATHIONE METABOLISM		14	-0.25199166	-1.1179063	0.30846775	0.40146685	1.0	1470	tags=71%, list=46%, signal=133%	
AMINOBENZOATE DEGRADATION	AMINOBENZOATE DEGRADATION		10	-0.27626583	-1.0637338	0.3647059	0.46159467	1.0	1030	tags=60%, list=32%, signal=89%	
FRUCTOSE AND MANNOSE METABOLISM	FRUCTOSE AND MANNOSE METABOLISM		43	-0.13433635	-1.026035	0.4028056	0.5047195	1.0	1940	tags=74%, list=61%, signal=189%	
FATTY ACID DEGRADATION	FATTY ACID DEGRADATION		13	-0.23386371	-1.0136689	0.43436295	0.5093395	1.0	1945	tags=85%, list=61%, signal=218%	
FOLATE BIOSYNTHESIS	FOLATE BIOSYNTHESIS		22	-0.17936346	-0.98962003	0.44813278	0.53043365	1.0	445	tags=32%, list=14%, signal=37%	
ASCORBATE AND ALDARATE METABOLISM	ASCORBATE AND ALDARATE METABOLISM		11	-0.24279836	-0.9671447	0.47034764	0.5472763	1.0	2404	tags=100%, list=76%, signal=412%	
SULFUR RELAY SYSTEM	SULFUR RELAY SYSTEM		13	-0.2198046	-0.9557419	0.49209487	0.5492726	1.0	1014	tags=54%, list=32%, signal=79%	
BIOTIN METABOLISM	BIOTIN METABOLISM		12	-0.2273063	-0.9441235	0.5088757	0.55237913	1.0	2189	tags=92%, list=69%, signal=295%	
BETA-LACTAM RESISTANCE	BETA-LACTAM RESISTANCE		17	-0.19018303	-0.93228096	0.54141414	0.5546016	1.0	1639	tags=71%, list=52%, signal=145%	
NITROGEN METABOLISM	NITROGEN METABOLISM		24	-0.13721126	-0.80801857	0.7022133	0.7196147	1.0	2211	tags=83%, list=70%, signal=273%	
SPHINGOLIPID METABOLISM	SPHINGOLIPID METABOLISM		6	-0.20048463	-0.603866	0.9252525	0.93801373	1.0	1480	tags=67%, list=47%, signal=125%	
