NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
2-OXOCARBOXYLIC ACID METABOLISM	44	29		
ABC TRANSPORTERS	284	146		
ADIPOCYTOKINE SIGNALING PATHWAY	4		Rejected!	
ADRENERGIC SIGNALING IN CARDIOMYOCYTES	5		Rejected!	
AFRICAN TRYPANOSOMIASIS	5		Rejected!	
"ALANINE, ASPARTATE AND GLUTAMATE METABOLISM"	53	34		
ALCOHOLISM	5		Rejected!	
ALDOSTERONE-REGULATED SODIUM REABSORPTION	2		Rejected!	
ALPHA-LINOLENIC ACID METABOLISM	5		Rejected!	
ALZHEIMER'S DISEASE	22		Rejected!	
AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM	102	57		
AMINOACYL-TRNA BIOSYNTHESIS	41	30		
AMINOBENZOATE DEGRADATION	47	10		
AMOEBIASIS	4		Rejected!	
AMPHETAMINE ADDICTION	5		Rejected!	
AMPK SIGNALING PATHWAY	13		Rejected!	
AMYOTROPHIC LATERAL SCLEROSIS (ALS)	3		Rejected!	
ANTIGEN PROCESSING AND PRESENTATION	3		Rejected!	
APOPTOSIS	3		Rejected!	
ARACHIDONIC ACID METABOLISM	10		Rejected!	
ARGININE AND PROLINE METABOLISM	101	54		
ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY (ARVC)	2		Rejected!	
ASCORBATE AND ALDARATE METABOLISM	27	11		
ATRAZINE DEGRADATION	12		Rejected!	
AXON GUIDANCE	2		Rejected!	
BACTERIAL CHEMOTAXIS	26	20		
BACTERIAL INVASION OF EPITHELIAL CELLS	19		Rejected!	
BACTERIAL SECRETION SYSTEM	74	30		
BASAL TRANSCRIPTION FACTORS	6		Rejected!	
BASE EXCISION REPAIR	22	13		
BENZOATE DEGRADATION	65	9		
BETA-ALANINE METABOLISM	26	9		
BETA-LACTAM RESISTANCE	23	17		
BETALAIN BIOSYNTHESIS	3		Rejected!	
BILE SECRETION	9		Rejected!	
"BIOSYNTHESIS OF 12-, 14- AND 16-MEMBERED MACROLIDES"	11		Rejected!	
BIOSYNTHESIS OF AMINO ACIDS	185	139		
BIOSYNTHESIS OF SIDEROPHORE GROUP NONRIBOSOMAL PEPTIDES	27		Rejected!	
BIOSYNTHESIS OF TYPE II POLYKETIDE BACKBONE	5		Rejected!	
BIOSYNTHESIS OF TYPE II POLYKETIDE PRODUCTS	3		Rejected!	
BIOSYNTHESIS OF UNSATURATED FATTY ACIDS	15		Rejected!	
BIOTIN METABOLISM	16	12		
