NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
RIBOSOME	RIBOSOME	Details ...	55	0.7239749	6.267131	0.0	0.0	0.0	568	tags=89%, list=18%, signal=107%	
BIOSYNTHESIS OF AMINO ACIDS	BIOSYNTHESIS OF AMINO ACIDS	Details ...	139	0.32354164	4.27974	0.0	0.0	0.0	820	tags=57%, list=26%, signal=73%	
HOMOLOGOUS RECOMBINATION	HOMOLOGOUS RECOMBINATION	Details ...	22	0.60188293	3.392418	0.0	0.0	0.0	842	tags=86%, list=27%, signal=117%	
AMINOACYL-TRNA BIOSYNTHESIS	AMINOACYL-TRNA BIOSYNTHESIS	Details ...	30	0.52346075	3.305089	0.0	0.0	0.0	680	tags=73%, list=21%, signal=92%	
MISMATCH REPAIR	MISMATCH REPAIR	Details ...	20	0.5925397	3.127187	0.0	0.0	0.0	827	tags=85%, list=26%, signal=114%	
DNA REPLICATION	DNA REPLICATION	Details ...	16	0.62900287	3.0752213	0.0	0.0	0.0	987	tags=94%, list=31%, signal=135%	
PHOTOSYNTHESIS	PHOTOSYNTHESIS	Details ...	8	0.8934219	3.0561237	0.0	0.0	0.0	344	tags=100%, list=11%, signal=112%	
PYRIMIDINE METABOLISM	PYRIMIDINE METABOLISM	Details ...	55	0.31545305	2.7306373	0.0	1.6304349E-4	0.001	976	tags=62%, list=31%, signal=88%	
"VALINE, LEUCINE AND ISOLEUCINE BIOSYNTHESIS"	"VALINE, LEUCINE AND ISOLEUCINE BIOSYNTHESIS"	Details ...	13	0.60710025	2.6832485	0.0	1.4492754E-4	0.001	277	tags=69%, list=9%, signal=76%	
2-OXOCARBOXYLIC ACID METABOLISM	2-OXOCARBOXYLIC ACID METABOLISM	Details ...	29	0.40816125	2.595854	0.0	4.0177625E-4	0.003	138	tags=45%, list=4%, signal=46%	
NUCLEOTIDE EXCISION REPAIR	NUCLEOTIDE EXCISION REPAIR	Details ...	7	0.7714196	2.5849183	0.0	4.74342E-4	0.004	729	tags=100%, list=23%, signal=130%	
PURINE METABOLISM	PURINE METABOLISM	Details ...	79	0.24521172	2.5445259	0.0	4.3481353E-4	0.004	1127	tags=59%, list=36%, signal=90%	
CELL CYCLE - CAULOBACTER	CELL CYCLE - CAULOBACTER	Details ...	12	0.5975301	2.5021405	0.0	5.675261E-4	0.006	1282	tags=100%, list=40%, signal=167%	
PORPHYRIN AND CHLOROPHYLL METABOLISM	PORPHYRIN AND CHLOROPHYLL METABOLISM	Details ...	42	0.3021861	2.3190062	0.0	0.0016763894	0.02	1469	tags=76%, list=46%, signal=140%	
PENTOSE PHOSPHATE PATHWAY	PENTOSE PHOSPHATE PATHWAY	Details ...	33	0.32764366	2.239041	0.0	0.003970255	0.049	1853	tags=91%, list=58%, signal=217%	
GLYCOLYSIS / GLUCONEOGENESIS	GLYCOLYSIS / GLUCONEOGENESIS	Details ...	47	0.24765463	1.9911807	0.003929273	0.020199504	0.246	1856	tags=83%, list=59%, signal=197%	
RNA POLYMERASE	RNA POLYMERASE	Details ...	5	0.7045814	1.9243495	0.003976143	0.02722513	0.326	939	tags=100%, list=30%, signal=142%	
C5-BRANCHED DIBASIC ACID METABOLISM	C5-BRANCHED DIBASIC ACID METABOLISM	Details ...	8	0.53866225	1.9170899	0.004048583	0.026673263	0.336	277	tags=63%, list=9%, signal=68%	
TERPENOID BACKBONE BIOSYNTHESIS	TERPENOID BACKBONE BIOSYNTHESIS	Details ...	22	0.3347003	1.9056927	0.0125	0.027409462	0.363	1539	tags=82%, list=49%, signal=158%	
HISTIDINE METABOLISM	HISTIDINE METABOLISM	Details ...	19	0.34542084	1.8567133	0.006451613	0.03509427	0.46	579	tags=53%, list=18%, signal=64%	
