"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","annotation","detailed_annotation","condensed_annotation","Hierarchy_L1","Hierarchy_L2","Map","Map2_ammonia","Map3_carbon_dioxide","X","X.1","X.2","X.3"
"1","MF0001","Type","Mucosal",-0.574842006178356,0.143981110845602,53,53,0.000265963094859693,0.00242950979652158,"arabinoxylan degradation","arabinoxylan degradation","arabinoxylan degradation","carbohydrate degradation","polysaccharide degradation","polysaccharides","#N/A","#N/A",NA,NA,"ethanol production (CO2 pathway)","ethanol"
"2","MF0005","Type","Mucosal",-0.927136854700475,0.103649090059957,53,53,0.000000000039793609436631,0.00000000185703510704278,"starch degradation","","starch degradation","carbohydrate degradation","polysaccharide degradation","polysaccharides","#N/A","#N/A",NA,NA,"galactarate degradation","sugar acid"
"3","MF0006","Type","Mucosal",-0.587994109061727,0.0778112696300068,53,53,0.00000000304385680573836,0.0000000799012411506319,"lactose degradation","","lactose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"galactonate degradation","sugar acid"
"4","MF0008","Type","Mucosal",-0.409100332202843,0.0817293805898651,53,47,0.0000115229675934972,0.000146655951189965,"maltose degradation","","maltose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"5","MF0009","Type","Mucosal",-0.400045089390904,0.108328078195749,53,53,0.000655036974342257,0.00466297507158895,"melibiose degradation","","melibiose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"6","MF0010","Type","Mucosal",-0.331487267558371,0.099389342075716,53,53,0.00182830402477055,0.0104988725482056,"sucrose degradation I","","sucrose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"7","MF0011","Type","Mucosal",-0.428101238851535,0.0955750527591052,53,53,0.0000591110867149413,0.000689629345007649,"sucrose degradation II","","sucrose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"8","MF0017","Type","Mucosal",-0.489921474279228,0.0876882760132162,53,53,0.00000173183232063012,0.0000250817094711948,"galactose degradation","","galactose degradation","carbohydrate degradation","monosaccharide degradation","monosaccharides","#N/A","#N/A",NA,NA,"",""
"9","MF0018","Type","Mucosal",-0.804658552720785,0.0808732052517449,53,53,0.00000000000200410326746178,0.000000000487108734795701,"mannose degradation","","mannose degradation","carbohydrate degradation","monosaccharide degradation","monosaccharides","#N/A","#N/A",NA,NA,"",""
"10","MF0019","Type","Mucosal",-0.665938015877731,0.158309899023357,53,52,0.000139047509874722,0.00142438912554593,"rhamnose degradation","","rhamnose degradation","carbohydrate degradation","monosaccharide degradation","monosaccharides","#N/A","#N/A",NA,NA,"",""
"11","MF0021","Type","Mucosal",-0.362637437445703,0.0949570845171574,53,53,0.000444388909895886,0.00345635818807911,"xylose degradation","","xylose degradation","carbohydrate degradation","monosaccharide degradation","monosaccharides","#N/A","#N/A",NA,NA,"",""
"12","MF0022","Type","Mucosal",-0.511271304672976,0.111773766242463,53,53,0.0000440767569227622,0.000528921083073146,"galacturonate degradation I","","D-galacturonate degradation","carbohydrate degradation","sugar acid degradation","sugar acid","#N/A","#N/A",NA,NA,"",""
"13","MF0025","Type","Mucosal",-0.959253951274316,0.0989465920815624,53,52,0.00000000000453692756634674,0.000000000487108734795701,"tryptophan degradation","tryptophan degradation","tryptophan degradation","amino acid degradation","aromatic amino acid degradation","proteolytic fermentation","ammonia","#N/A",NA,NA,"",""
"14","MF0026","Type","Mucosal",4.45647855936292,1.18089839642936,53,14,0.000458795439618662,0.00350352881163342,"tyrosine degradation I","tyrosine degradation (hydroxyphenylacetaldehyde pathway)","tyrosine degradation","amino acid degradation","aromatic amino acid degradation","proteolytic fermentation","#N/A","carbon dioxide",NA,NA,"",""
