"","Site","metadata","value","coef","stderr","N","N.not.0","pval","qval","Pathway","L2","L2A","L2B","L2C","L3","Site","metadata","value","coef","stderr","N","N.not.0","pval","qval","Pathway","L2","L2A","L3","Site.1","metadata.1","value.1","coef.1","stderr.1","N.1","N.not.0.1","pval.1","qval.1","Terminal.Pathway","L2.1","L2A.1","L2B","L2C","L3.1"
"1CMET2-PWY","Proximal_Colon","Type","Mucosal",-0.06299823991,0.01614867464,95,95,0.0001882747687,0.00164152064,"folate transformations III (E. coli)","Folate Transformations (3 instances)","","","","Folate Biosynthesis (14 instances)","Cecum","Type","Mucosal",-0.05744456051,0.01757642358,95,95,0.001550409735,0.01823923153,"folate transformations III (E. coli)","Folate Transformations (3 instances)","","Folate Biosynthesis (14 instances)","Distal_Colon","Type","Mucosal",-0.1670598002,0.01549233679,89,89,0,0,"folate transformations III (E. coli)","Folate Transformations (3 instances)","","","","Folate Biosynthesis (14 instances)"
"ANAEROFRUCAT-PWY","Proximal_Colon","Type","Mucosal",-0.08325526006,0.01444744452,95,95,0.0000001234494236,0.000004259352622,"homolactic fermentation","Fermentation to Lactate (8 instances)","","","","Fermentation to Short-Chain Fatty Acids (40 instances)","Cecum","Type","Mucosal",-0.06850777277,0.01534984598,95,95,0.0000240660033,0.0014611502,"homolactic fermentation","Fermentation to Lactate (8 instances)","","Fermentation to Short-Chain Fatty Acids (40 instances)","Distal_Colon","Type","Mucosal",-0.1503193579,0.0154178384,89,89,0,0,"homolactic fermentation","Fermentation to Lactate (8 instances)","","","","Fermentation to Short-Chain Fatty Acids (40 instances)"
"ANAGLYCOLYSIS-PWY","Proximal_Colon","Type","Mucosal",-0.07866024026,0.01580727443,95,95,0.000003247335634,0.00005033370233,"glycolysis III (from glucose)","Glycolysis (5 instances)","","","","Generation of Precursor Metabolites and Energy (240 instances)","Cecum","Type","Mucosal",-0.0613509808,0.01623881682,95,95,0.0002881634992,0.00720408748,"glycolysis III (from glucose)","Glycolysis (5 instances)","","Generation of Precursor Metabolites and Energy (240 instances)","Distal_Colon","Type","Mucosal",-0.15269551,0.01673458524,89,89,0,0,"glycolysis III (from glucose)","Glycolysis (5 instances)","","","","Generation of Precursor Metabolites and Energy (240 instances)"
"ASPASN-PWY","Proximal_Colon","Type","Mucosal",-0.0724760624,0.01597147301,95,95,0.00001814199637,0.000208011657,"superpathway of L-aspartate and L-asparagine biosynthesis","Amino Acid Biosynthesis (124 instances)","","","","Biosynthesis (1993 instances)","Cecum","Type","Mucosal",-0.0652433607,0.01870928747,95,95,0.0007681358337,0.01125716308,"superpathway of L-aspartate and L-asparagine biosynthesis","Amino Acid Biosynthesis (124 instances)","","Biosynthesis (1993 instances)","Distal_Colon","Type","Mucosal",-0.1758865633,0.01617588224,89,89,0,0,"superpathway of L-aspartate and L-asparagine biosynthesis","Amino Acid Biosynthesis (124 instances)","","","","Biosynthesis (1993 instances)"
"CALVIN-PWY","Proximal_Colon","Type","Mucosal",-0.04435489167,0.01406011564,95,95,0.002207495424,0.01579208265,"Calvin-Benson-Bassham cycle","Sugar Biosynthesis (107 instances)","Autotrophic CO2 Fixation (12 instances)","","","Carbohydrate Biosynthesis (228 instances)","Cecum","Type","Mucosal",-0.04715797506,0.01563227585,95,95,0.003349806319,0.03094759921,"Calvin-Benson-Bassham cycle","Autotrophic CO2 Fixation (12 instances)","Sugar Biosynthesis (107 instances)","CO2 Fixation (15 instances)","Distal_Colon","Type","Mucosal",-0.1306095987,0.01429527077,89,89,0,0,"Calvin-Benson-Bassham cycle","Sugar Biosynthesis (107 instances)","Autotrophic CO2 Fixation (12 instances)","","","Carbohydrate Biosynthesis (228 instances)"
"COA-PWY","Proximal_Colon","Type","Mucosal",-0.09888830126,0.01830504513,95,95,0.0000005669257627,0.00001248728588,"coenzyme A biosynthesis I (prokaryotic)","Coenzyme A Biosynthesis (8 instances)","","","","Carrier Biosynthesis (137 instances)","Cecum","Type","Mucosal",-0.06915832917,0.01939854472,95,95,0.0005924016329,0.009324840518,"coenzyme A biosynthesis I (prokaryotic)","Coenzyme A Biosynthesis (8 instances)","","Carrier Biosynthesis (137 instances)","Distal_Colon","Type","Mucosal",-0.1764671331,0.01987649834,89,89,0,0,"coenzyme A biosynthesis I (prokaryotic)","Coenzyme A Biosynthesis (8 instances)","","","","Carrier Biosynthesis (137 instances)"
"COLANSYN-PWY","Proximal_Colon","Type","Mucosal",-0.1191931352,0.02147566872,95,83,0.000001291475,0.00002573725179,"colanic acid building blocks biosynthesis","Carbohydrate Biosynthesis (228 instances)","","","","Biosynthesis (1993 instances)","Cecum","Type","Mucosal",-0.09380183025,0.02848979161,95,77,0.001890308873,0.020867046,"colanic acid building blocks biosynthesis","Carbohydrate Biosynthesis (228 instances)","","Biosynthesis (1993 instances)","Distal_Colon","Type","Mucosal",-0.2372610454,0.02736874969,89,67,0,0.0000000003605606585,"colanic acid building blocks biosynthesis","Carbohydrate Biosynthesis (228 instances)","","","","Biosynthesis (1993 instances)"
"DAPLYSINESYN-PWY","Proximal_Colon","Type","Mucosal",-0.05224121987,0.01705478031,95,95,0.002916094531,0.02068450104,"L-lysine biosynthesis I","L-lysine Biosynthesis (6 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Cecum","Type","Mucosal",-0.07173909721,0.01776920696,95,95,0.0001159610691,0.004846713359,"L-lysine biosynthesis I","L-lysine Biosynthesis (6 instances)","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Distal_Colon","Type","Mucosal",-0.1527804288,0.0186106672,89,89,0,0,"L-lysine biosynthesis I","L-lysine Biosynthesis (6 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)"
"DTDPRHAMSYN-PWY","Proximal_Colon","Type","Mucosal",-0.08648826942,0.02957031374,95,91,0.004419400806,0.02983095544,"dTDP-beta-L-rhamnose biosynthesis","dTDP-sugar Biosynthesis (22 instances)","","","","Sugar Nucleotide Biosynthesis (92 instances)","Cecum","Type","Mucosal",-0.08110833213,0.02374217918,95,90,0.0009797151464,0.01343157862,"dTDP-beta-L-rhamnose biosynthesis","dTDP-sugar Biosynthesis (22 instances)","","Sugar Nucleotide Biosynthesis (92 instances)","Distal_Colon","Type","Mucosal",-0.191717499,0.02456000727,89,83,0,0.0000000002413002621,"dTDP-beta-L-rhamnose biosynthesis","dTDP-sugar Biosynthesis (22 instances)","","","","Sugar Nucleotide Biosynthesis (92 instances)"
"FASYN-ELONG-PWY","Proximal_Colon","Type","Mucosal",-0.1252184104,0.0178010288,95,95,0.0000000004318609021,0.00000004518344688,"fatty acid elongation -- saturated","Fatty Acid Biosynthesis (92 instances)","","","","Fatty Acid and Lipid Biosynthesis (224 instances)","Cecum","Type","Mucosal",-0.05684358759,0.01914740604,95,95,0.003858400399,0.0341629202,"fatty acid elongation -- saturated","Fatty Acid Biosynthesis (92 instances)","","Fatty Acid and Lipid Biosynthesis (224 instances)","Distal_Colon","Type","Mucosal",-0.1649031592,0.01953520488,89,89,0,0,"fatty acid elongation -- saturated","Fatty Acid Biosynthesis (92 instances)","","","","Fatty Acid and Lipid Biosynthesis (224 instances)"
"FERMENTATION-PWY","Proximal_Colon","Type","Mucosal",-0.1630273278,0.01635655783,95,90,0,0.0000000001589599265,"mixed acid fermentation","Pyruvate Fermentation to Ethanol (7 instances)","Fermentation to Short-Chain Fatty Acids (40 instances)","","","Fermentation of Pyruvate (37 instances)","Cecum","Type","Mucosal",-0.08209657735,0.02111708199,95,91,0.0001974275994,0.00559310838,"mixed acid fermentation","Fermentation to Short-Chain Fatty Acids (40 instances)","Pyruvate Fermentation to Ethanol (7 instances)","Fermentation (81 instances)","Distal_Colon","Type","Mucosal",-0.1944910194,0.02246000997,89,83,0,0,"mixed acid fermentation","Pyruvate Fermentation to Ethanol (7 instances)","Fermentation to Short-Chain Fatty Acids (40 instances)","","","Fermentation of Pyruvate (37 instances)"
"FOLSYN-PWY","Proximal_Colon","Type","Mucosal",-0.06052024575,0.01328918417,95,93,0.00003803535038,0.0003745363326,"superpathway of tetrahydrofolate biosynthesis and salvage","Folate Biosynthesis (14 instances)","","","","Single Carbon Carrier Biosynthesis (23 instances)","Cecum","Type","Mucosal",-0.06460073376,0.01626652585,95,93,0.0001472018563,0.005004863115,"superpathway of tetrahydrofolate biosynthesis and salvage","Folate Biosynthesis (14 instances)","","Single Carbon Carrier Biosynthesis (23 instances)","Distal_Colon","Type","Mucosal",-0.1421197624,0.01612974804,89,86,0,0.0000000002421559015,"superpathway of tetrahydrofolate biosynthesis and salvage","Folate Biosynthesis (14 instances)","","","","Single Carbon Carrier Biosynthesis (23 instances)"
"GLCMANNANAUT-PWY","Proximal_Colon","Type","Mucosal",-0.09444347578,0.01959220626,95,94,0.000006040045619,0.00008315421742,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation","Amine and Polyamine Degradation (62 instances)","","","","Degradation/Utilization/Assimilation (1104 instances)","Cecum","Type","Mucosal",-0.09308692806,0.02516050592,95,93,0.0003782436062,0.008037676633,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation","Amine and Polyamine Degradation (62 instances)","","Degradation/Utilization/Assimilation (1104 instances)","Distal_Colon","Type","Mucosal",-0.168857023,0.0214947729,89,89,0,0.0000000001533354988,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation","Amine and Polyamine Degradation (62 instances)","","","","Degradation/Utilization/Assimilation (1104 instances)"
