feature,value,coef,stderr,N,N.not.0,pval,qval,Pathways,L2,L2A,L2B,L2C,L3
1CMET2-PWY,Mucosal,-0.1630542561,0.01730215102,91,90,2.41E-12,1.13E-10,N10-formyl-tetrahydrofolate biosynthesis,Folate Biosynthesis (14 instances),,,,Single Carbon Carrier Biosynthesis (23 instances)
ANAEROFRUCAT-PWY,Mucosal,-0.1330523946,0.01336036571,91,91,4.92E-13,3.07E-11,homolactic fermentation,Fermentation to Lactate (8 instances),,,,Fermentation to Short-Chain Fatty Acids (40 instances)
ANAGLYCOLYSIS-PWY,Mucosal,-0.1189710952,0.01658331743,91,91,5.04E-09,9.56E-08,glycolysis III (from glucose),Glycolysis (5 instances),,,,Generation of Precursor Metabolites and Energy (240 instances)
ARGSYN-PWY,Mucosal,-0.1996908051,0.01784027168,91,87,8.34E-15,1.73E-12,L-arginine biosynthesis I (via L-ornithine),L-arginine Biosynthesis (4 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
ARGSYNBSUB-PWY,Mucosal,-0.2210894868,0.01928641414,91,84,3.83E-15,1.12E-12,L-arginine biosynthesis II (acetyl cycle),L-arginine Biosynthesis (4 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
ARO-PWY,Mucosal,-0.2065159072,0.02291037099,91,82,1.10E-11,3.44E-10,chorismate biosynthesis I,Chorismate Biosynthesis (3 instances),,,,Aromatic Compound Biosynthesis (51 instances)
ASPASN-PWY,Mucosal,-0.156005149,0.01880961187,91,90,1.06E-10,2.90E-09,superpathway of L-aspartate and L-asparagine biosynthesis,Amino Acid Biosynthesis (124 instances),,,,Biosynthesis (1993 instances)
BRANCHED-CHAIN-AA-SYN-PWY,Mucosal,-0.1883499707,0.01898624449,91,87,5.76E-13,3.36E-11,superpathway of branched chain amino acid biosynthesis,Amino Acid Biosynthesis (124 instances),,,,Biosynthesis (1993 instances)
CALVIN-PWY,Mucosal,-0.1357433515,0.01332712412,91,91,1.85E-13,1.62E-11,Calvin-Benson-Bassham cycle,Autotrophic CO2 Fixation (12 instances),Sugar Biosynthesis (107 instances),,,CO2 Fixation (15 instances)
COA-PWY,Mucosal,-0.1296891493,0.01884456709,91,91,1.37E-08,2.00E-07,coenzyme A biosynthesis I (prokaryotic),Coenzyme A Biosynthesis (8 instances),,,,Carrier Biosynthesis (137 instances)
COBALSYN-PWY,Mucosal,-0.3060089037,0.04666303683,91,67,1.49E-07,1.43E-06,superpathway of adenosylcobalamin salvage from cobinamide I,Adenosylcobalamin Salvage from Cobinamide (5 instances),,,,Cobinamide Salvage (7 instances)
COLANSYN-PWY,Mucosal,-0.1941419349,0.04516102868,91,62,0.0001141433247,0.0007335387192,colanic acid building blocks biosynthesis,Carbohydrate Biosynthesis (228 instances),,,,Biosynthesis (1993 instances)
COMPLETE-ARO-PWY,Mucosal,-0.1977684611,0.02186481673,91,83,9.69E-12,3.14E-10,superpathway of aromatic amino acid biosynthesis,Amino Acid Biosynthesis (124 instances),,,,Biosynthesis (1993 instances)
DAPLYSINESYN-PWY,Mucosal,-0.1679201291,0.01898507533,91,90,1.53E-11,4.61E-10,L-lysine biosynthesis I,L-lysine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
DENOVOPURINE2-PWY,Mucosal,-0.1116336326,0.01736149156,91,91,6.77E-08,7.04E-07,superpathway of purine nucleotides de novo biosynthesis II,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
DTDPRHAMSYN-PWY,Mucosal,-0.2028280475,0.02945222421,91,84,1.37E-08,2.00E-07,dTDP-beta-L-rhamnose biosynthesis,dTDP-sugar Biosynthesis (22 instances),,,,Sugar Nucleotide Biosynthesis (92 instances)
FASYN-ELONG-PWY,Mucosal,-0.1000265074,0.01736635613,91,91,6.93E-07,5.97E-06,fatty acid elongation -- saturated,Fatty Acid Biosynthesis (92 instances),,,,Fatty Acid and Lipid Biosynthesis (224 instances)
FERMENTATION-PWY,Mucosal,-0.1140263831,0.02263394236,91,84,8.33E-06,6.22E-05,mixed acid fermentation,Fermentation to Short-Chain Fatty Acids (40 instances),Pyruvate Fermentation to Ethanol (7 instances),,,Fermentation (81 instances)
FOLSYN-PWY,Mucosal,-0.1620923922,0.01982217323,91,88,2.66E-12,1.13E-10,superpathway of tetrahydrofolate biosynthesis and salvage,Folate Biosynthesis (14 instances),,,,Single Carbon Carrier Biosynthesis (23 instances)
GALACT-GLUCUROCAT-PWY,Mucosal,-0.2272635141,0.05249525552,91,45,0.0001292165631,0.0008243450814,superpathway of hexuronide and hexuronate degradation,Superpathways (382 instances),,,,NA
