Pathway,Site,coef
folate transformations III (E. coli),Proximal_Colon,-0.06299823991
homolactic fermentation,Proximal_Colon,-0.08325526006
glycolysis III (from glucose),Proximal_Colon,-0.07866024026
superpathway of L-aspartate and L-asparagine biosynthesis,Proximal_Colon,-0.0724760624
Calvin-Benson-Bassham cycle,Proximal_Colon,-0.04435489167
coenzyme A biosynthesis I (prokaryotic),Proximal_Colon,-0.09888830126
colanic acid building blocks biosynthesis,Proximal_Colon,-0.1191931352
L-lysine biosynthesis I,Proximal_Colon,-0.05224121987
dTDP-beta-L-rhamnose biosynthesis,Proximal_Colon,-0.08648826942
fatty acid elongation -- saturated,Proximal_Colon,-0.1252184104
mixed acid fermentation,Proximal_Colon,-0.1630273278
superpathway of tetrahydrofolate biosynthesis and salvage,Proximal_Colon,-0.06052024575
"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",Proximal_Colon,-0.09444347578
gluconeogenesis I,Proximal_Colon,-0.1054183325
glycogen degradation I,Proximal_Colon,-0.04754541911
glycogen biosynthesis I (from ADP-D-Glucose),Proximal_Colon,-0.07315932666
glycolysis I (from glucose 6-phosphate),Proximal_Colon,-0.07527866106
superpathway of glycolysis and the Entner-Doudoroff pathway,Proximal_Colon,-0.07893793397
O-antigen building blocks biosynthesis (E. coli),Proximal_Colon,-0.1362549797
acetylene degradation (anaerobic),Proximal_Colon,-0.09220406755
superpathway of N-acetylneuraminate degradation,Proximal_Colon,-0.07323629083
peptidoglycan biosynthesis I (meso-diaminopimelate containing),Proximal_Colon,-0.08986499709
superpathway of phospholipid biosynthesis I (bacteria),Proximal_Colon,-0.07356124747
polyisoprenoid biosynthesis (E. coli),Proximal_Colon,-0.1514175695
"superpathway of histidine, purine, and pyrimidine biosynthesis",Proximal_Colon,-0.1855876516
L-lysine biosynthesis III,Proximal_Colon,-0.07852022812
urea cycle,Proximal_Colon,-0.419703302
L-lysine biosynthesis VI,Proximal_Colon,-0.07842268668
pyruvate fermentation to acetate and lactate II,Proximal_Colon,-0.08494765194
superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),Proximal_Colon,-0.05961212543
L-arginine biosynthesis III (via N-acetyl-L-citrulline),Proximal_Colon,-0.3440262343
glycolysis II (from fructose 6-phosphate),Proximal_Colon,-0.09115684568
CDP-diacylglycerol biosynthesis I,Proximal_Colon,-0.07619018562
UMP biosynthesis I,Proximal_Colon,-0.08349925697
inosine 5'-phosphate degradation,Proximal_Colon,-0.1223078507
cis-vaccenate biosynthesis,Proximal_Colon,-0.06611591257
5-aminoimidazole ribonucleotide biosynthesis I,Proximal_Colon,-0.07335593754
5-aminoimidazole ribonucleotide biosynthesis II,Proximal_Colon,-0.07406897737
inosine-5'-phosphate biosynthesis I,Proximal_Colon,-0.07901543104
superpathway of adenosine nucleotides de novo biosynthesis II,Proximal_Colon,-0.09440392369
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,Proximal_Colon,-0.08654277532
S-adenosyl-L-methionine salvage I,Proximal_Colon,-0.09618113892
sucrose degradation III (sucrose invertase),Proximal_Colon,-0.07161375072
superpathway of 5-aminoimidazole ribonucleotide biosynthesis,Proximal_Colon,-0.07406897737
D-galactose degradation I (Leloir pathway),Proximal_Colon,-0.08982150445
peptidoglycan biosynthesis III (mycobacteria),Proximal_Colon,-0.08876353907
UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),Proximal_Colon,-0.08807005618
UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),Proximal_Colon,-0.08943653673
Kdo transfer to lipid IVA III (Chlamydia),Proximal_Colon,-0.3778760973
peptidoglycan biosynthesis IV (Enterococcus faecium),Proximal_Colon,-0.1569174293
adenine and adenosine salvage III,Proximal_Colon,-0.07892200326
superpathway of tetrahydrofolate biosynthesis,Proximal_Colon,-0.05818764503
starch degradation V,Proximal_Colon,-0.04822670875
superpathway of glucose and xylose degradation,Proximal_Colon,-0.261491867
superpathway of pyrimidine nucleobases salvage,Proximal_Colon,-0.08639541583
superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,Proximal_Colon,-0.312991393
adenosine ribonucleotides de novo biosynthesis,Proximal_Colon,-0.0807322004
adenosine deoxyribonucleotides de novo biosynthesis II,Proximal_Colon,-0.1151357502
guanosine ribonucleotides de novo biosynthesis,Proximal_Colon,-0.09214712417
guanosine deoxyribonucleotides de novo biosynthesis II,Proximal_Colon,-0.1151357502
superpathway of adenosine nucleotides de novo biosynthesis I,Proximal_Colon,-0.08883190969
taxadiene biosynthesis (engineered),Proximal_Colon,-0.1123720675
6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),Proximal_Colon,-0.08491442494
gondoate biosynthesis (anaerobic),Proximal_Colon,-0.06703844445
purine ribonucleosides degradation,Proximal_Colon,-0.06603292528
superpathway of purine deoxyribonucleosides degradation,Proximal_Colon,-0.08626876176
superpathway of pyrimidine deoxyribonucleosides degradation,Proximal_Colon,-0.08161470874
CDP-diacylglycerol biosynthesis II,Proximal_Colon,-0.07619018562
peptidoglycan maturation (meso-diaminopimelate containing),Proximal_Colon,-0.06660968167
phosphatidylglycerol biosynthesis I (plastidic),Proximal_Colon,-0.07427387179
phosphatidylglycerol biosynthesis II (non-plastidic),Proximal_Colon,-0.07427387179
poly(glycerol phosphate) wall teichoic acid biosynthesis,Proximal_Colon,-0.3150155079
superpathway of L-threonine biosynthesis,Proximal_Colon,-0.07316566945
tRNA charging,Proximal_Colon,-0.07761268524
UDP-N-acetyl-D-glucosamine biosynthesis I,Proximal_Colon,-0.1053782723
folate transformations III (E. coli),Cecum,-0.05744456051
homolactic fermentation,Cecum,-0.06850777277
glycolysis III (from glucose),Cecum,-0.0613509808
superpathway of L-aspartate and L-asparagine biosynthesis,Cecum,-0.0652433607
Calvin-Benson-Bassham cycle,Cecum,-0.04715797506
coenzyme A biosynthesis I (prokaryotic),Cecum,-0.06915832917
colanic acid building blocks biosynthesis,Cecum,-0.09380183025
L-lysine biosynthesis I,Cecum,-0.07173909721
dTDP-beta-L-rhamnose biosynthesis,Cecum,-0.08110833213
fatty acid elongation -- saturated,Cecum,-0.05684358759
mixed acid fermentation,Cecum,-0.08209657735
superpathway of tetrahydrofolate biosynthesis and salvage,Cecum,-0.06460073376
"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",Cecum,-0.09308692806
gluconeogenesis I,Cecum,-0.06740583789
glycogen degradation I,Cecum,-0.05212319812
glycogen biosynthesis I (from ADP-D-Glucose),Cecum,-0.06806223969
glycolysis I (from glucose 6-phosphate),Cecum,-0.06222728611
superpathway of glycolysis and the Entner-Doudoroff pathway,Cecum,-0.1010364712
O-antigen building blocks biosynthesis (E. coli),Cecum,-0.1147955281
acetylene degradation (anaerobic),Cecum,-0.08020004903
superpathway of N-acetylneuraminate degradation,Cecum,-0.08682508735
peptidoglycan biosynthesis I (meso-diaminopimelate containing),Cecum,-0.06655600527
superpathway of phospholipid biosynthesis I (bacteria),Cecum,-0.05773417228
polyisoprenoid biosynthesis (E. coli),Cecum,-0.07618731919
"superpathway of histidine, purine, and pyrimidine biosynthesis",Cecum,-0.1675366385
L-lysine biosynthesis III,Cecum,-0.062541659
urea cycle,Cecum,-0.2190783913
L-lysine biosynthesis VI,Cecum,-0.06384113912
pyruvate fermentation to acetate and lactate II,Cecum,-0.07046654242
superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),Cecum,-0.05789159804
L-arginine biosynthesis III (via N-acetyl-L-citrulline),Cecum,-0.1800872747
glycolysis II (from fructose 6-phosphate),Cecum,-0.06646796443
CDP-diacylglycerol biosynthesis I,Cecum,-0.06127348396
UMP biosynthesis I,Cecum,-0.0665574458
inosine 5'-phosphate degradation,Cecum,-0.09830257626
cis-vaccenate biosynthesis,Cecum,-0.05291790049
5-aminoimidazole ribonucleotide biosynthesis I,Cecum,-0.05366752506
5-aminoimidazole ribonucleotide biosynthesis II,Cecum,-0.05609262852
inosine-5'-phosphate biosynthesis I,Cecum,-0.05798985132
superpathway of adenosine nucleotides de novo biosynthesis II,Cecum,-0.06630782957
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,Cecum,-0.1333183828
S-adenosyl-L-methionine salvage I,Cecum,-0.07684843296
sucrose degradation III (sucrose invertase),Cecum,-0.05919874501
superpathway of 5-aminoimidazole ribonucleotide biosynthesis,Cecum,-0.05609262852
D-galactose degradation I (Leloir pathway),Cecum,-0.07487021487
peptidoglycan biosynthesis III (mycobacteria),Cecum,-0.06614438082
UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),Cecum,-0.06639492298
UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),Cecum,-0.0660425695
Kdo transfer to lipid IVA III (Chlamydia),Cecum,-0.212736179
peptidoglycan biosynthesis IV (Enterococcus faecium),Cecum,-0.1304721041
adenine and adenosine salvage III,Cecum,-0.07637117355
superpathway of tetrahydrofolate biosynthesis,Cecum,-0.07027564359
starch degradation V,Cecum,-0.05273304687
superpathway of glucose and xylose degradation,Cecum,-0.1705658147
superpathway of pyrimidine nucleobases salvage,Cecum,-0.06349058902
superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,Cecum,-0.2308272185
adenosine ribonucleotides de novo biosynthesis,Cecum,-0.06184486049
adenosine deoxyribonucleotides de novo biosynthesis II,Cecum,-0.07141389099
guanosine ribonucleotides de novo biosynthesis,Cecum,-0.06809498759
guanosine deoxyribonucleotides de novo biosynthesis II,Cecum,-0.07141389099
superpathway of adenosine nucleotides de novo biosynthesis I,Cecum,-0.06404932917
taxadiene biosynthesis (engineered),Cecum,-0.09036779514
6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),Cecum,-0.1275466708
gondoate biosynthesis (anaerobic),Cecum,-0.05360830155
purine ribonucleosides degradation,Cecum,-0.08883318572
superpathway of purine deoxyribonucleosides degradation,Cecum,-0.09159311357
superpathway of pyrimidine deoxyribonucleosides degradation,Cecum,-0.08763426723
CDP-diacylglycerol biosynthesis II,Cecum,-0.06127348396
peptidoglycan maturation (meso-diaminopimelate containing),Cecum,-0.06829515097
phosphatidylglycerol biosynthesis I (plastidic),Cecum,-0.05865422958
phosphatidylglycerol biosynthesis II (non-plastidic),Cecum,-0.05865422958
poly(glycerol phosphate) wall teichoic acid biosynthesis,Cecum,-0.236156083
superpathway of L-threonine biosynthesis,Cecum,-0.05745943947
tRNA charging,Cecum,-0.06280540207
UDP-N-acetyl-D-glucosamine biosynthesis I,Cecum,-0.0601597772
folate transformations III (E. coli),Distal_Colon,-0.1670598002
homolactic fermentation,Distal_Colon,-0.1503193579
glycolysis III (from glucose),Distal_Colon,-0.15269551
superpathway of L-aspartate and L-asparagine biosynthesis,Distal_Colon,-0.1758865633
Calvin-Benson-Bassham cycle,Distal_Colon,-0.1306095987
coenzyme A biosynthesis I (prokaryotic),Distal_Colon,-0.1764671331
colanic acid building blocks biosynthesis,Distal_Colon,-0.2372610454
L-lysine biosynthesis I,Distal_Colon,-0.1527804288
dTDP-beta-L-rhamnose biosynthesis,Distal_Colon,-0.191717499
fatty acid elongation -- saturated,Distal_Colon,-0.1649031592
mixed acid fermentation,Distal_Colon,-0.1944910194
superpathway of tetrahydrofolate biosynthesis and salvage,Distal_Colon,-0.1421197624
"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",Distal_Colon,-0.168857023
gluconeogenesis I,Distal_Colon,-0.1634432976
glycogen degradation I,Distal_Colon,-0.1595471028
glycogen biosynthesis I (from ADP-D-Glucose),Distal_Colon,-0.1698766187
glycolysis I (from glucose 6-phosphate),Distal_Colon,-0.1464173747
superpathway of glycolysis and the Entner-Doudoroff pathway,Distal_Colon,-0.1426584008
O-antigen building blocks biosynthesis (E. coli),Distal_Colon,-0.1974557295
acetylene degradation (anaerobic),Distal_Colon,-0.1442016492
superpathway of N-acetylneuraminate degradation,Distal_Colon,-0.1335021249
peptidoglycan biosynthesis I (meso-diaminopimelate containing),Distal_Colon,-0.1688711829
superpathway of phospholipid biosynthesis I (bacteria),Distal_Colon,-0.1520131188
polyisoprenoid biosynthesis (E. coli),Distal_Colon,-0.1840972352
"superpathway of histidine, purine, and pyrimidine biosynthesis",Distal_Colon,-0.2497267962
L-lysine biosynthesis III,Distal_Colon,-0.1594304803
urea cycle,Distal_Colon,-0.3452285733
L-lysine biosynthesis VI,Distal_Colon,-0.1601909878
pyruvate fermentation to acetate and lactate II,Distal_Colon,-0.1610604069
superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),Distal_Colon,-0.1758101603
L-arginine biosynthesis III (via N-acetyl-L-citrulline),Distal_Colon,-0.3117394287
glycolysis II (from fructose 6-phosphate),Distal_Colon,-0.1516226156
CDP-diacylglycerol biosynthesis I,Distal_Colon,-0.1575202424
UMP biosynthesis I,Distal_Colon,-0.1648537353
inosine 5'-phosphate degradation,Distal_Colon,-0.17866776
cis-vaccenate biosynthesis,Distal_Colon,-0.1517627626
5-aminoimidazole ribonucleotide biosynthesis I,Distal_Colon,-0.1583006307
5-aminoimidazole ribonucleotide biosynthesis II,Distal_Colon,-0.160701012
inosine-5'-phosphate biosynthesis I,Distal_Colon,-0.1685910718
superpathway of adenosine nucleotides de novo biosynthesis II,Distal_Colon,-0.1571184141
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,Distal_Colon,-0.2220939679
S-adenosyl-L-methionine salvage I,Distal_Colon,-0.1779185416
sucrose degradation III (sucrose invertase),Distal_Colon,-0.1509022831
superpathway of 5-aminoimidazole ribonucleotide biosynthesis,Distal_Colon,-0.160701012
D-galactose degradation I (Leloir pathway),Distal_Colon,-0.1689931222
peptidoglycan biosynthesis III (mycobacteria),Distal_Colon,-0.1694009858
UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),Distal_Colon,-0.1706887848
UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),Distal_Colon,-0.1674134043
Kdo transfer to lipid IVA III (Chlamydia),Distal_Colon,-0.4559052535
peptidoglycan biosynthesis IV (Enterococcus faecium),Distal_Colon,-0.2559876799
adenine and adenosine salvage III,Distal_Colon,-0.1652817663
superpathway of tetrahydrofolate biosynthesis,Distal_Colon,-0.1471979097
starch degradation V,Distal_Colon,-0.1657853357
superpathway of glucose and xylose degradation,Distal_Colon,-0.3334898705
superpathway of pyrimidine nucleobases salvage,Distal_Colon,-0.1591187726
superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,Distal_Colon,-0.4194090748
adenosine ribonucleotides de novo biosynthesis,Distal_Colon,-0.1587565054
adenosine deoxyribonucleotides de novo biosynthesis II,Distal_Colon,-0.1491892944
guanosine ribonucleotides de novo biosynthesis,Distal_Colon,-0.1668970607
guanosine deoxyribonucleotides de novo biosynthesis II,Distal_Colon,-0.1491892944
superpathway of adenosine nucleotides de novo biosynthesis I,Distal_Colon,-0.1532661971
taxadiene biosynthesis (engineered),Distal_Colon,-0.2835195328
6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),Distal_Colon,-0.2261277355
gondoate biosynthesis (anaerobic),Distal_Colon,-0.1487669254
purine ribonucleosides degradation,Distal_Colon,-0.1661342814
superpathway of purine deoxyribonucleosides degradation,Distal_Colon,-0.1649079977
superpathway of pyrimidine deoxyribonucleosides degradation,Distal_Colon,-0.170386525
CDP-diacylglycerol biosynthesis II,Distal_Colon,-0.1575202424
peptidoglycan maturation (meso-diaminopimelate containing),Distal_Colon,-0.1432265569
phosphatidylglycerol biosynthesis I (plastidic),Distal_Colon,-0.1538487307
phosphatidylglycerol biosynthesis II (non-plastidic),Distal_Colon,-0.1538487307
poly(glycerol phosphate) wall teichoic acid biosynthesis,Distal_Colon,-0.2923899024
