Pathways,Site,coef,L2,L3
homolactic fermentation,Duodenum-Mucosa,-0.1090913407,Fermentation to Lactate (8 instances),Fermentation to Short-Chain Fatty Acids (40 instances)
glycolysis III (from glucose),Duodenum-Mucosa,-0.1125611256,Glycolysis (5 instances),Generation of Precursor Metabolites and Energy (240 instances)
L-arginine biosynthesis I (via L-ornithine),Duodenum-Mucosa,-0.160360427,L-arginine Biosynthesis (4 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
L-arginine biosynthesis II (acetyl cycle),Duodenum-Mucosa,-0.1690227084,L-arginine Biosynthesis (4 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
chorismate biosynthesis I,Duodenum-Mucosa,-0.1024980896,Chorismate Biosynthesis (3 instances),Aromatic Compound Biosynthesis (51 instances)
superpathway of L-aspartate and L-asparagine biosynthesis,Duodenum-Mucosa,-0.106954504,Amino Acid Biosynthesis (124 instances),Biosynthesis (1993 instances)
superpathway of branched chain amino acid biosynthesis,Duodenum-Mucosa,-0.1253481346,Amino Acid Biosynthesis (124 instances),Biosynthesis (1993 instances)
Calvin-Benson-Bassham cycle,Duodenum-Mucosa,-0.1032025986,Autotrophic CO2 Fixation (12 instances),CO2 Fixation (15 instances)
coenzyme A biosynthesis I (prokaryotic),Duodenum-Mucosa,-0.1299985077,Coenzyme A Biosynthesis (8 instances),Carrier Biosynthesis (137 instances)
superpathway of adenosylcobalamin salvage from cobinamide I,Duodenum-Mucosa,-0.2482129692,Adenosylcobalamin Salvage from Cobinamide (5 instances),Cobinamide Salvage (7 instances)
superpathway of aromatic amino acid biosynthesis,Duodenum-Mucosa,-0.1036769737,Amino Acid Biosynthesis (124 instances),Biosynthesis (1993 instances)
L-lysine biosynthesis I,Duodenum-Mucosa,-0.1260124545,L-lysine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
superpathway of purine nucleotides de novo biosynthesis II,Duodenum-Mucosa,-0.1148267871,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances)
dTDP-beta-L-rhamnose biosynthesis,Duodenum-Mucosa,-0.1648799745,dTDP-sugar Biosynthesis (22 instances),Sugar Nucleotide Biosynthesis (92 instances)
fatty acid elongation -- saturated,Duodenum-Mucosa,-0.09284651749,Fatty Acid Biosynthesis (92 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
mixed acid fermentation,Duodenum-Mucosa,-0.08322548565,Fermentation to Short-Chain Fatty Acids (40 instances),Fermentation (81 instances)
superpathway of tetrahydrofolate biosynthesis and salvage,Duodenum-Mucosa,-0.1182926038,Folate Biosynthesis (14 instances),Single Carbon Carrier Biosynthesis (23 instances)
"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",Duodenum-Mucosa,-0.109237722,Amine and Polyamine Degradation (62 instances),Degradation/Utilization/Assimilation (1104 instances)
gluconeogenesis I,Duodenum-Mucosa,-0.1125902911,Gluconeogenesis (3 instances),Sugar Biosynthesis (107 instances)
L-ornithine biosynthesis I,Duodenum-Mucosa,-0.2035536119,L-Ornithine Biosynthesis (3 instances),Other Amino Acid Biosynthesis (24 instances)
glycogen degradation I,Duodenum-Mucosa,-0.1337994883,Glycan Degradation (11 instances),Polysaccharide Degradation (47 instances)
glycogen biosynthesis I (from ADP-D-Glucose),Duodenum-Mucosa,-0.1345819533,Glycogen and Starch Biosynthesis (4 instances),Polysaccharide Biosynthesis (73 instances)
glycolysis I (from glucose 6-phosphate),Duodenum-Mucosa,-0.1071190922,Glycolysis (5 instances),Generation of Precursor Metabolites and Energy (240 instances)
superpathway of glycolysis and the Entner-Doudoroff pathway,Duodenum-Mucosa,-0.1059833215,Generation of Precursor Metabolites and Energy (240 instances),NA
heme b biosynthesis II (oxygen-independent),Duodenum-Mucosa,-0.1424422161,Heme b Biosynthesis (8 instances),Heme Biosynthesis (13 instances)
L-histidine biosynthesis,Duodenum-Mucosa,-0.17001178,L-histidine Biosynthesis (2 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
L-isoleucine biosynthesis I (from threonine),Duodenum-Mucosa,-0.1234900677,L-isoleucine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
methylerythritol phosphate pathway I,Duodenum-Mucosa,-0.1149405889,Methylerythritol Phosphate Pathways (2 instances),Isopentenyl Diphosphate Biosynthesis (6 instances)
pentose phosphate pathway (non-oxidative branch) I,Duodenum-Mucosa,-0.11141749,Pentose Phosphate Pathways (6 instances),Generation of Precursor Metabolites and Energy (240 instances)
O-antigen building blocks biosynthesis (E. coli),Duodenum-Mucosa,-0.1354144382,Metabolic Clusters (69 instances),NA
heterolactic fermentation,Duodenum-Mucosa,-0.1810379611,Fermentation to Lactate (8 instances),Fermentation to Short-Chain Fatty Acids (40 instances)
Bifidobacterium shunt,Duodenum-Mucosa,-0.153630261,Fermentation to Acetate (21 instances),Carboxylate Degradation (101 instances)
