Heatmap-Pathway,Cecum,Proximal_Colon,Distal_Colon
5-aminoimidazole ribonucleotide biosynthesis I,-0.053667525,-0.073355938,-0.158300631
5-aminoimidazole ribonucleotide biosynthesis II,-0.056092629,-0.074068977,-0.160701012
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,-0.133318383,-0.086542775,-0.222093968
6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),-0.127546671,-0.084914425,-0.226127736
acetylene degradation (anaerobic),-0.080200049,-0.092204068,-0.144201649
adenine and adenosine salvage III,-0.076371174,-0.078922003,-0.165281766
adenosine deoxyribonucleotides de novo biosynthesis II,-0.071413891,-0.11513575,-0.149189294
adenosine ribonucleotides de novo biosynthesis,-0.06184486,-0.0807322,-0.158756505
Calvin-Benson-Bassham cycle,-0.047157975,-0.044354892,-0.130609599
CDP-diacylglycerol biosynthesis I,-0.061273484,-0.076190186,-0.157520242
CDP-diacylglycerol biosynthesis II,-0.061273484,-0.076190186,-0.157520242
cis-vaccenate biosynthesis,-0.0529179,-0.066115913,-0.151762763
coenzyme A biosynthesis I (prokaryotic),-0.069158329,-0.098888301,-0.176467133
colanic acid building blocks biosynthesis,-0.09380183,-0.119193135,-0.237261045
D-galactose degradation I (Leloir pathway),-0.074870215,-0.089821504,-0.168993122
dTDP-beta-L-rhamnose biosynthesis,-0.081108332,-0.086488269,-0.191717499
fatty acid elongation -- saturated,-0.056843588,-0.12521841,-0.164903159
folate transformations III (E. coli),-0.057444561,-0.06299824,-0.1670598
gluconeogenesis I,-0.067405838,-0.105418333,-0.163443298
glycogen biosynthesis I (from ADP-D-Glucose),-0.06806224,-0.073159327,-0.169876619
glycogen degradation I,-0.052123198,-0.047545419,-0.159547103
glycolysis I (from glucose 6-phosphate),-0.062227286,-0.075278661,-0.146417375
glycolysis II (from fructose 6-phosphate),-0.066467964,-0.091156846,-0.151622616
glycolysis III (from glucose),-0.061350981,-0.07866024,-0.15269551
gondoate biosynthesis (anaerobic),-0.053608302,-0.067038444,-0.148766925
guanosine deoxyribonucleotides de novo biosynthesis II,-0.071413891,-0.11513575,-0.149189294
guanosine ribonucleotides de novo biosynthesis,-0.068094988,-0.092147124,-0.166897061
homolactic fermentation,-0.068507773,-0.08325526,-0.150319358
inosine 5'-phosphate degradation,-0.098302576,-0.122307851,-0.17866776
inosine-5'-phosphate biosynthesis I,-0.057989851,-0.079015431,-0.168591072
Kdo transfer to lipid IVA III (Chlamydia),-0.212736179,-0.377876097,-0.455905254
L-arginine biosynthesis III (via N-acetyl-L-citrulline),-0.180087275,-0.344026234,-0.311739429
L-lysine biosynthesis I,-0.071739097,-0.05224122,-0.152780429
L-lysine biosynthesis III,-0.062541659,-0.078520228,-0.15943048
L-lysine biosynthesis VI,-0.063841139,-0.078422687,-0.160190988
mixed acid fermentation,-0.082096577,-0.163027328,-0.194491019
O-antigen building blocks biosynthesis (E. coli),-0.114795528,-0.13625498,-0.19745573
peptidoglycan biosynthesis I (meso-diaminopimelate containing),-0.066556005,-0.089864997,-0.168871183
peptidoglycan biosynthesis III (mycobacteria),-0.066144381,-0.088763539,-0.169400986
peptidoglycan biosynthesis IV (Enterococcus faecium),-0.130472104,-0.156917429,-0.25598768
peptidoglycan maturation (meso-diaminopimelate containing),-0.068295151,-0.066609682,-0.143226557
phosphatidylglycerol biosynthesis I (plastidic),-0.05865423,-0.074273872,-0.153848731
phosphatidylglycerol biosynthesis II (non-plastidic),-0.05865423,-0.074273872,-0.153848731
poly(glycerol phosphate) wall teichoic acid biosynthesis,-0.236156083,-0.315015508,-0.292389902
polyisoprenoid biosynthesis (E. coli),-0.076187319,-0.15141757,-0.184097235
purine ribonucleosides degradation,-0.088833186,-0.066032925,-0.166134281
pyruvate fermentation to acetate and lactate II,-0.070466542,-0.084947652,-0.161060407
S-adenosyl-L-methionine salvage I,-0.076848433,-0.096181139,-0.177918542
starch degradation V,-0.052733047,-0.048226709,-0.165785336
sucrose degradation III (sucrose invertase),-0.059198745,-0.071613751,-0.150902283
superpathway of 5-aminoimidazole ribonucleotide biosynthesis,-0.056092629,-0.074068977,-0.160701012
superpathway of adenosine nucleotides de novo biosynthesis I,-0.064049329,-0.08883191,-0.153266197
superpathway of adenosine nucleotides de novo biosynthesis II,-0.06630783,-0.094403924,-0.157118414
superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),-0.057891598,-0.059612125,-0.17581016
superpathway of glucose and xylose degradation,-0.170565815,-0.261491867,-0.333489871
superpathway of glycolysis and the Entner-Doudoroff pathway,-0.101036471,-0.078937934,-0.142658401
"superpathway of histidine, purine, and pyrimidine biosynthesis",-0.167536639,-0.185587652,-0.249726796
superpathway of L-aspartate and L-asparagine biosynthesis,-0.065243361,-0.072476062,-0.175886563
superpathway of L-threonine biosynthesis,-0.057459439,-0.073165669,-0.16253101
"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",-0.093086928,-0.094443476,-0.168857023
superpathway of N-acetylneuraminate degradation,-0.086825087,-0.073236291,-0.133502125
superpathway of phospholipid biosynthesis I (bacteria),-0.057734172,-0.073561247,-0.152013119
superpathway of purine deoxyribonucleosides degradation,-0.091593114,-0.086268762,-0.164907998
superpathway of pyrimidine deoxyribonucleosides degradation,-0.087634267,-0.081614709,-0.170386525
superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,-0.230827219,-0.312991393,-0.419409075
superpathway of pyrimidine nucleobases salvage,-0.063490589,-0.086395416,-0.159118773
superpathway of tetrahydrofolate biosynthesis,-0.070275644,-0.058187645,-0.14719791
superpathway of tetrahydrofolate biosynthesis and salvage,-0.064600734,-0.060520246,-0.142119762
taxadiene biosynthesis (engineered),-0.090367795,-0.112372068,-0.283519533
tRNA charging,-0.062805402,-0.077612685,-0.167711193
UDP-N-acetyl-D-glucosamine biosynthesis I,-0.060159777,-0.105378272,-0.17444751
UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),-0.06604257,-0.089436537,-0.167413404
UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),-0.066394923,-0.088070056,-0.170688785
UMP biosynthesis I,-0.066557446,-0.083499257,-0.164853735
urea cycle,-0.219078391,-0.419703302,-0.345228573
