feature,Site ,metadata,value,coef,stderr,N,N.not.0,pval,qval,Pathway,L2,L2A,L3 
1CMET2-PWY,Cecum,Type,Mucosal,-0.05744456051,0.01757642358,95,95,0.001550409735,0.01823923153,folate transformations III (E. coli),Folate Transformations (3 instances),,Folate Biosynthesis (14 instances)
ANAEROFRUCAT-PWY,Cecum,Type,Mucosal,-0.06850777277,0.01534984598,95,95,0.0000240660033,0.0014611502,homolactic fermentation,Fermentation to Lactate (8 instances),,Fermentation to Short-Chain Fatty Acids (40 instances)
ANAGLYCOLYSIS-PWY,Cecum,Type,Mucosal,-0.0613509808,0.01623881682,95,95,0.0002881634992,0.00720408748,glycolysis III (from glucose),Glycolysis (5 instances),,Generation of Precursor Metabolites and Energy (240 instances)
ASPASN-PWY,Cecum,Type,Mucosal,-0.0652433607,0.01870928747,95,95,0.0007681358337,0.01125716308,superpathway of L-aspartate and L-asparagine biosynthesis,Amino Acid Biosynthesis (124 instances),,Biosynthesis (1993 instances)
CALVIN-PWY,Cecum,Type,Mucosal,-0.04715797506,0.01563227585,95,95,0.003349806319,0.03094759921,Calvin-Benson-Bassham cycle,Autotrophic CO2 Fixation (12 instances),Sugar Biosynthesis (107 instances),CO2 Fixation (15 instances)
COA-PWY,Cecum,Type,Mucosal,-0.06915832917,0.01939854472,95,95,0.0005924016329,0.009324840518,coenzyme A biosynthesis I (prokaryotic),Coenzyme A Biosynthesis (8 instances),,Carrier Biosynthesis (137 instances)
COLANSYN-PWY,Cecum,Type,Mucosal,-0.09380183025,0.02848979161,95,77,0.001890308873,0.020867046,colanic acid building blocks biosynthesis,Carbohydrate Biosynthesis (228 instances),,Biosynthesis (1993 instances)
DAPLYSINESYN-PWY,Cecum,Type,Mucosal,-0.07173909721,0.01776920696,95,95,0.0001159610691,0.004846713359,L-lysine biosynthesis I,L-lysine Biosynthesis (6 instances),,Proteinogenic Amino Acid Biosynthesis (89 instances)
DTDPRHAMSYN-PWY,Cecum,Type,Mucosal,-0.08110833213,0.02374217918,95,90,0.0009797151464,0.01343157862,dTDP-beta-L-rhamnose biosynthesis,dTDP-sugar Biosynthesis (22 instances),,Sugar Nucleotide Biosynthesis (92 instances)
FASYN-ELONG-PWY,Cecum,Type,Mucosal,-0.05684358759,0.01914740604,95,95,0.003858400399,0.0341629202,fatty acid elongation -- saturated,Fatty Acid Biosynthesis (92 instances),,Fatty Acid and Lipid Biosynthesis (224 instances)
FERMENTATION-PWY,Cecum,Type,Mucosal,-0.08209657735,0.02111708199,95,91,0.0001974275994,0.00559310838,mixed acid fermentation,Fermentation to Short-Chain Fatty Acids (40 instances),Pyruvate Fermentation to Ethanol (7 instances),Fermentation (81 instances)
FOLSYN-PWY,Cecum,Type,Mucosal,-0.06460073376,0.01626652585,95,93,0.0001472018563,0.005004863115,superpathway of tetrahydrofolate biosynthesis and salvage,Folate Biosynthesis (14 instances),,Single Carbon Carrier Biosynthesis (23 instances)
GLCMANNANAUT-PWY,Cecum,Type,Mucosal,-0.09308692806,0.02516050592,95,93,0.0003782436062,0.008037676633,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",Amine and Polyamine Degradation (62 instances),,Degradation/Utilization/Assimilation (1104 instances)
GLUCONEO-PWY,Cecum,Type,Mucosal,-0.06740583789,0.01606547615,95,95,0.00006514036856,0.00307607296,gluconeogenesis I,Gluconeogenesis (3 instances),,Sugar Biosynthesis (107 instances)
GLUCUROCAT-PWY,Cecum,Type,Mucosal,-0.1053262883,0.03610525344,95,74,0.005534296277,0.0443787909,superpathway of beta-D-glucuronosides degradation,D-Glucuronate Degradation (4 instances),,Sugar Acid Degradation (19 instances)
GLYCOCAT-PWY,Cecum,Type,Mucosal,-0.05212319812,0.01735747807,95,95,0.003491686971,0.03157376517,glycogen degradation I,Glycan Degradation (11 instances),Glycogen Degradation (3 instances),Polysaccharide Degradation (47 instances)
GLYCOGENSYNTH-PWY,Cecum,Type,Mucosal,-0.06806223969,0.01854542398,95,95,0.0004170328483,0.008534419305,glycogen biosynthesis I (from ADP-D-Glucose),Glycogen and Starch Biosynthesis (4 instances),,Polysaccharide Biosynthesis (73 instances)
GLYCOLYSIS,Cecum,Type,Mucosal,-0.06222728611,0.01458744899,95,95,0.00005039305782,0.002677131197,glycolysis I (from glucose 6-phosphate),Glycolysis (5 instances),,Generation of Precursor Metabolites and Energy (240 instances)
GLYCOLYSIS-E-D,Cecum,Type,Mucosal,-0.1010364712,0.01973268754,95,90,0.000006871048158,0.0005309446304,superpathway of glycolysis and the Entner-Doudoroff pathway,Generation of Precursor Metabolites and Energy (240 instances),,NA
OANTIGEN-PWY,Cecum,Type,Mucosal,-0.1147955281,0.03750435519,95,90,0.002940734486,0.02777360348,O-antigen building blocks biosynthesis (E. coli),Metabolic Clusters (69 instances),Sugar Nucleotide Biosynthesis (92 instances),NA
P161-PWY,Cecum,Type,Mucosal,-0.08020004903,0.02068234892,95,94,0.0005165444652,0.008723114418,acetylene degradation (anaerobic),Fermentation to Acetate (21 instances),Pyruvate Fermentation to Ethanol (7 instances),Carboxylate Degradation (101 instances)
P164-PWY,Cecum,Type,Mucosal,-0.2018491165,0.05346864186,95,60,0.0003114741443,0.007564372076,purine nucleobases degradation I (anaerobic),Fermentation (81 instances),Purine Nucleotide Degradation (16 instances),Generation of Precursor Metabolites and Energy (240 instances)
P4-PWY,Cecum,Type,Mucosal,-0.112147105,0.02946463934,95,70,0.0004217007186,0.008534419305,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",Amino Acid Biosynthesis (124 instances),,Biosynthesis (1993 instances)
P441-PWY,Cecum,Type,Mucosal,-0.08682508735,0.0177635733,95,94,0.000004628808884,0.0003934487551,superpathway of N-acetylneuraminate degradation,Carboxylate Degradation (101 instances),,Degradation/Utilization/Assimilation (1104 instances)
PEPTIDOGLYCANSYN-PWY,Cecum,Type,Mucosal,-0.06655600527,0.01838393681,95,95,0.0004927129576,0.008723114418,peptidoglycan biosynthesis I (meso-diaminopimelate containing),Cell Wall Biosynthesis (26 instances),,Cell Structure Biosynthesis (104 instances)
PHOSLIPSYN-PWY,Cecum,Type,Mucosal,-0.05773417228,0.01699232228,95,95,0.001025361804,0.01361808646,superpathway of phospholipid biosynthesis I (bacteria),Phospholipid Biosynthesis (38 instances),,Fatty Acid and Lipid Biosynthesis (224 instances)
POLYISOPRENSYN-PWY,Cecum,Type,Mucosal,-0.07618731919,0.02280129662,95,92,0.001227855573,0.01499276142,polyisoprenoid biosynthesis (E. coli),All-trans Polyprenyl Biosynthesis (13 instances),,Polyprenyl Biosynthesis (18 instances)
PRPP-PWY,Cecum,Type,Mucosal,-0.1675366385,0.03035302736,95,69,0.000001649087224,0.0002302644459,"superpathway of histidine, purine, and pyrimidine biosynthesis",Superpathways (382 instances),,NA
PWY-2942,Cecum,Type,Mucosal,-0.062541659,0.01689854086,95,95,0.0003751478503,0.008037676633,L-lysine biosynthesis III,L-lysine Biosynthesis (6 instances),,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-4984,Cecum,Type,Mucosal,-0.2190783913,0.06865087597,95,24,0.004501570277,0.03751308565,urea cycle,Nitrogen Compound Metabolism (33 instances),,Inorganic Nutrient Metabolism (142 instances)
PWY-5097,Cecum,Type,Mucosal,-0.06384113912,0.01717706569,95,95,0.0003556862827,0.008037676633,L-lysine biosynthesis VI,L-lysine Biosynthesis (6 instances),,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-5100,Cecum,Type,Mucosal,-0.07046654242,0.01892614649,95,95,0.0003478210285,0.008037676633,pyruvate fermentation to acetate and lactate II,Pyruvate Fermentation to Acetate (11 instances),pyruvate fermentation to lactate (4 instances),Fermentation to Acetate (21 instances)
PWY-5121,Cecum,Type,Mucosal,-0.05789159804,0.02055670744,95,93,0.006010134081,0.04730198119,superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),Diterpenoid Biosynthesis (44 instances),Geranylgeranyl Diphosphate Biosynthesis (3 instances),Terpenoid Biosynthesis (203 instances)
PWY-5154,Cecum,Type,Mucosal,-0.1800872747,0.04035772097,95,63,0.00005395416059,0.002697708029,L-arginine biosynthesis III (via N-acetyl-L-citrulline),L-arginine Biosynthesis (4 instances),,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-5188,Cecum,Type,Mucosal,-0.103065433,0.02728149766,95,82,0.0004994150817,0.008723114418,tetrapyrrole biosynthesis I (from glutamate),Tetrapyrrole Biosynthesis (39 instances),,Biosynthesis (1993 instances)
PWY-5189,Cecum,Type,Mucosal,-0.1027793956,0.02782413622,95,82,0.0006445873386,0.009961804324,tetrapyrrole biosynthesis II (from glycine),Tetrapyrrole Biosynthesis (39 instances),,Biosynthesis (1993 instances)
PWY-5484,Cecum,Type,Mucosal,-0.06646796443,0.01529678297,95,95,0.00003751122528,0.002125636099,glycolysis II (from fructose 6-phosphate),Glycolysis (5 instances),,Generation of Precursor Metabolites and Energy (240 instances)
PWY-5667,Cecum,Type,Mucosal,-0.06127348396,0.01741962009,95,95,0.0006937362125,0.01034518913,CDP-diacylglycerol biosynthesis I,CDP-diacylglycerol Biosynthesis (3 instances),,Phospholipid Biosynthesis (38 instances)
PWY-5686,Cecum,Type,Mucosal,-0.0665574458,0.01796289194,95,95,0.0003697295289,0.008037676633,UMP biosynthesis I,UMP Biosynthesis (3 instances),,Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances)
PWY-5695,Cecum,Type,Mucosal,-0.09830257626,0.01487239945,95,95,0.000000002919444946,0.000002481528204,inosine 5'-phosphate degradation,Purine Nucleotide Degradation (16 instances),,Nucleoside and Nucleotide Degradation (40 instances)
PWY-5918,Cecum,Type,Mucosal,1.592558458,0.1276928052,95,6,0.0000005438445561,0.0002302644459,superpathway of heme b biosynthesis from glutamate,Heme b Biosynthesis (8 instances),,Heme Biosynthesis (13 instances)
PWY-5973,Cecum,Type,Mucosal,-0.05291790049,0.01723240603,95,95,0.002845581522,0.02717690217,cis-vaccenate biosynthesis,Unsaturated Fatty Acid Biosynthesis (60 instances),,Fatty Acid Biosynthesis (92 instances)
PWY-6121,Cecum,Type,Mucosal,-0.05366752506,0.01733454345,95,95,0.002637044287,0.02606380981,5-aminoimidazole ribonucleotide biosynthesis I,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),,Purine Nucleotide Biosynthesis (33 instances)
PWY-6122,Cecum,Type,Mucosal,-0.05609262852,0.01817271498,95,95,0.002712869738,0.02620385542,5-aminoimidazole ribonucleotide biosynthesis II,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),,Purine Nucleotide Biosynthesis (33 instances)
