"","value","coef","stderr","N","N.not.0","pval","qval","Pathways","L2","L2A","L2B","L2C","L3","value","coef","stderr","N","N.not.0","pval","qval","Pathway","L2","L2A","L2B","L2C","L3","X","Order","Terminal.Pathway","L1...Terminal.Pathway","L2.1","L2A.1","L2B.1","L2C.1","L3.1","L4","X.1","X.2","X.3","X.4","X.5","X.6","ID","Name","value.1","coef.1","stderr.1","N.1","N.not.0.1","pval.1","qval.1","Pathways","L2.2","L2A.2","L2B.2","L2C.2","L3.2"
"ANAEROFRUCAT-PWY","Mucosal",-0.1330523946,0.01336036571,91,91,0.000000000000492,0.0000000000307,"homolactic fermentation","Fermentation to Lactate (8 instances)","","","","Fermentation to Short-Chain Fatty Acids (40 instances)","Mucosal",-0.1095934301,0.01435230786,86,86,0.00000000153,0.0000000574,"homolactic fermentation","Fermentation to Lactate (8 instances)","","",NA,"Fermentation to Short-Chain Fatty Acids (40 instances)",NA,118,"lipid IVA biosynthesis (E. coli)","lipid IVA biosynthesis (E. coli)","Lipid IVA Biosynthesis (5 instances)","",NA,NA,"Lipopolysaccharide Biosynthesis (68 instances)","Cell Structure Biosynthesis (104 instances)",NA,NA,NA,NA,NA,NA,"TRPSYN-PWY","L-tryptophan biosynthesis","Mucosal",-0.1090913407,0.01522220902,92,92,0.000000000276,0.0000000387,"homolactic fermentation","Fermentation to Lactate (8 instances)","","","","Fermentation to Short-Chain Fatty Acids (40 instances)"
"ANAGLYCOLYSIS-PWY","Mucosal",-0.1189710952,0.01658331743,91,91,0.00000000504,0.0000000956,"glycolysis III (from glucose)","Glycolysis (5 instances)","","","","Generation of Precursor Metabolites and Energy (240 instances)","Mucosal",-0.09585305641,0.01560112722,86,86,0.000000225,0.00000318,"glycolysis III (from glucose)","Glycolysis (5 instances)","","",NA,"Generation of Precursor Metabolites and Energy (240 instances)",NA,120,"methylerythritol phosphate pathway I","methylerythritol phosphate pathway I","Methylerythritol Phosphate Pathways (2 instances)","",NA,NA,"Isopentenyl Diphosphate Biosynthesis (6 instances)","Hemiterpene Biosynthesis (10 instances)",NA,NA,NA,NA,NA,NA,"VALSYN-PWY","L-valine biosynthesis","Mucosal",-0.1125611256,0.01682911465,92,92,0.0000000242,0.000000551,"glycolysis III (from glucose)","Glycolysis (5 instances)","","","","Generation of Precursor Metabolites and Energy (240 instances)"
"ARGSYN-PWY","Mucosal",-0.1996908051,0.01784027168,91,87,0.00000000000000834,0.00000000000173,"L-arginine biosynthesis I (via L-ornithine)","L-arginine Biosynthesis (4 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Mucosal",-0.1732639493,0.01831847115,86,83,0.00000000000339,0.00000000113,"L-arginine biosynthesis I (via L-ornithine)","L-arginine Biosynthesis (4 instances)","","",NA,"Proteinogenic Amino Acid Biosynthesis (89 instances)",NA,121,"methylerythritol phosphate pathway II","methylerythritol phosphate pathway II","Methylerythritol Phosphate Pathways (2 instances)","",NA,NA,"Isopentenyl Diphosphate Biosynthesis (6 instances)","Hemiterpene Biosynthesis (10 instances)",NA,NA,NA,NA,NA,NA,"NAGLIPASYN-PWY","lipid IV<sub>A</sub> biosynthesis (E. coli)","Mucosal",-0.160360427,0.0185037157,92,90,0.0000000000323,0.0000000121,"L-arginine biosynthesis I (via L-ornithine)","L-arginine Biosynthesis (4 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)"
"ARGSYNBSUB-PWY","Mucosal",-0.2210894868,0.01928641414,91,84,0.00000000000000383,0.00000000000112,"L-arginine biosynthesis II (acetyl cycle)","L-arginine Biosynthesis (4 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Mucosal",-0.1853184343,0.01888497839,86,81,0.00000000000131,0.00000000113,"L-arginine biosynthesis II (acetyl cycle)","L-arginine Biosynthesis (4 instances)","","",NA,"Proteinogenic Amino Acid Biosynthesis (89 instances)",NA,122,"mevalonate pathway I (eukaryotes and bacteria)","mevalonate pathway I (eukaryotes and bacteria)","Mevalonate Pathways (4 instances)","",NA,NA,"Isopentenyl Diphosphate Biosynthesis (6 instances)","Hemiterpene Biosynthesis (10 instances)",NA,NA,NA,NA,NA,NA,"NONMEVIPP-PWY","methylerythritol phosphate pathway I","Mucosal",-0.1690227084,0.0192149934,92,88,0.0000000000218,0.0000000121,"L-arginine biosynthesis II (acetyl cycle)","L-arginine Biosynthesis (4 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)"
"ARO-PWY","Mucosal",-0.2065159072,0.02291037099,91,82,0.000000000011,0.000000000344,"chorismate biosynthesis I","Chorismate Biosynthesis (3 instances)","","","","Aromatic Compound Biosynthesis (51 instances)","Mucosal",-0.18092628,0.02828861957,86,77,0.0000001,0.00000187,"chorismate biosynthesis I","Chorismate Biosynthesis (3 instances)","","",NA,"Aromatic Compound Biosynthesis (51 instances)",NA,125,"mixed acid fermentation","mixed acid fermentation","Fermentation to Short-Chain Fatty Acids (40 instances)","Pyruvate Fermentation to Ethanol (7 instances)",NA,NA,"Fermentation (81 instances)","Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA,NA,"PWY-7560","methylerythritol phosphate pathway II","Mucosal",-0.1024980896,0.02554188381,92,87,0.0002173373169,0.001523172362,"chorismate biosynthesis I","Chorismate Biosynthesis (3 instances)","","","","Aromatic Compound Biosynthesis (51 instances)"
"ASPASN-PWY","Mucosal",-0.156005149,0.01880961187,91,90,0.000000000106,0.0000000029,"superpathway of L-aspartate and L-asparagine biosynthesis","Amino Acid Biosynthesis (124 instances)","","","","Biosynthesis (1993 instances)","Mucosal",-0.1455087026,0.01918698476,86,85,0.00000000204,0.0000000734,"superpathway of L-aspartate and L-asparagine biosynthesis","Amino Acid Biosynthesis (124 instances)","","",NA,"Biosynthesis (1993 instances)",NA,126,"NAD de novo biosynthesis I (from aspartate)","NAD de novo biosynthesis I (from aspartate)","NAD Biosynthesis (12 instances)","",NA,NA,"NAD Metabolism (19 instances)","Electron Carrier Biosynthesis (99 instances)",NA,NA,NA,NA,NA,NA,"PWY-922","mevalonate pathway I (eukaryotes and bacteria)","Mucosal",-0.106954504,0.01925438001,92,91,0.000000318,0.00000361,"superpathway of L-aspartate and L-asparagine biosynthesis","Amino Acid Biosynthesis (124 instances)","","","","Biosynthesis (1993 instances)"
"BRANCHED-CHAIN-AA-SYN-PWY","Mucosal",-0.1883499707,0.01898624449,91,87,0.000000000000576,0.0000000000336,"superpathway of branched chain amino acid biosynthesis","Amino Acid Biosynthesis (124 instances)","","","","Biosynthesis (1993 instances)","Mucosal",-0.1595533308,0.01887370931,86,82,0.000000000142,0.0000000122,"superpathway of branched chain amino acid biosynthesis","Amino Acid Biosynthesis (124 instances)","","",NA,"Biosynthesis (1993 instances)",NA,129,"NAD salvage pathway I (PNC VI cycle)","NAD salvage pathway I (PNC VI cycle)","NAD Biosynthesis (12 instances)","",NA,NA,"NAD Metabolism (19 instances)","Electron Carrier Biosynthesis (99 instances)",NA,NA,NA,NA,NA,NA,"FERMENTATION-PWY","mixed acid fermentation","Mucosal",-0.1253481346,0.01979567734,92,90,0.0000000938,0.00000123,"superpathway of branched chain amino acid biosynthesis","Amino Acid Biosynthesis (124 instances)","","","","Biosynthesis (1993 instances)"
"CALVIN-PWY","Mucosal",-0.1357433515,0.01332712412,91,91,0.000000000000185,0.0000000000162,"Calvin-Benson-Bassham cycle","Autotrophic CO2 Fixation (12 instances)","Sugar Biosynthesis (107 instances)","","","CO2 Fixation (15 instances)","Mucosal",-0.1129532555,0.01560897218,86,86,0.00000000451,0.000000134,"Calvin-Benson-Bassham cycle","Autotrophic CO2 Fixation (12 instances)","Sugar Biosynthesis (107 instances)","",NA,"CO2 Fixation (15 instances)",NA,132,"nitrate reduction VI (assimilatory)","nitrate reduction VI (assimilatory)","Nitrate Reduction (11 instances)","",NA,NA,"Nitrogen Compound Metabolism (33 instances)","Inorganic Nutrient Metabolism (142 instances)",NA,NA,NA,NA,NA,NA,"PYRIDNUCSYN-PWY","NAD <i>de novo</i> biosynthesis I (from aspartate)","Mucosal",-0.1032025986,0.01504537699,92,92,0.0000000011,0.0000000854,"Calvin-Benson-Bassham cycle","Autotrophic CO2 Fixation (12 instances)","Sugar Biosynthesis (107 instances)","","","CO2 Fixation (15 instances)"
"COA-PWY","Mucosal",-0.1296891493,0.01884456709,91,91,0.0000000137,0.0000002,"coenzyme A biosynthesis I (prokaryotic)","Coenzyme A Biosynthesis (8 instances)","","","","Carrier Biosynthesis (137 instances)","Mucosal",-0.1076020492,0.01746747164,86,86,0.000000209,0.00000311,"coenzyme A biosynthesis I (prokaryotic)","Coenzyme A Biosynthesis (8 instances)","","",NA,"Carrier Biosynthesis (137 instances)",NA,134,"O-antigen building blocks biosynthesis (E. coli)","O-antigen building blocks biosynthesis (E. coli)","Metabolic Clusters (69 instances)","Sugar Nucleotide Biosynthesis (92 instances)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PYRIDNUCSAL-PWY","NAD salvage pathway I (PNC VI cycle)","Mucosal",-0.1299985077,0.01876368255,92,92,0.0000000107,0.00000029,"coenzyme A biosynthesis I (prokaryotic)","Coenzyme A Biosynthesis (8 instances)","","","","Carrier Biosynthesis (137 instances)"
"COBALSYN-PWY","Mucosal",-0.3060089037,0.04666303683,91,67,0.000000149,0.00000143,"superpathway of adenosylcobalamin salvage from cobinamide I","Adenosylcobalamin Salvage from Cobinamide (5 instances)","","","","Cobinamide Salvage (7 instances)","Mucosal",-0.2013615683,0.05609188736,86,58,0.0008968616988,0.005295169756,"superpathway of adenosylcobalamin salvage from cobinamide I","Adenosylcobalamin Salvage from Cobinamide (5 instances)","","",NA,"Cobinamide Salvage (7 instances)",NA,136,"oleate biosynthesis IV (anaerobic)","oleate biosynthesis IV (anaerobic)","Oleate Biosynthesis (4 instances)","",NA,NA,"Unsaturated Fatty Acid Biosynthesis (60 instances)","Fatty Acid Biosynthesis (92 instances)",NA,NA,NA,NA,NA,NA,"PWY490-3","nitrate reduction VI (assimilatory)","Mucosal",-0.2482129692,0.05351094925,92,64,0.0000364,0.0002887855612,"superpathway of adenosylcobalamin salvage from cobinamide I","Adenosylcobalamin Salvage from Cobinamide (5 instances)","","","","Cobinamide Salvage (7 instances)"
