feature,value,coef,stderr,N,N.not.0,pval,qval,Pathway,L2,L2A,L2B,L2C,L3,,Order,Terminal Pathway,L1 = Terminal Pathway,L2,L2A,L2B,L2C,L3,L4,,,,,,,ID,Name
1CMET2-PWY,Mucosal,-0.1386189976,0.01655374352,86,86,1.25E-10,1.20E-08,folate transformations III (E. coli),Folate Transformations (3 instances),,,,Folate Biosynthesis (14 instances),,117,L-valine biosynthesis,L-valine biosynthesis,L-valine Biosynthesis (1 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances),Amino Acid Biosynthesis (124 instances),,,,,,,RHAMCAT-PWY,L-rhamnose degradation I
ANAEROFRUCAT-PWY,Mucosal,-0.1095934301,0.01435230786,86,86,1.53E-09,5.74E-08,homolactic fermentation,Fermentation to Lactate (8 instances),,,,Fermentation to Short-Chain Fatty Acids (40 instances),,118,lipid IVA biosynthesis (E. coli),lipid IVA biosynthesis (E. coli),Lipid IVA Biosynthesis (5 instances),,,,Lipopolysaccharide Biosynthesis (68 instances),Cell Structure Biosynthesis (104 instances),,,,,,,TRPSYN-PWY,L-tryptophan biosynthesis
ANAGLYCOLYSIS-PWY,Mucosal,-0.09585305641,0.01560112722,86,86,2.25E-07,3.18E-06,glycolysis III (from glucose),Glycolysis (5 instances),,,,Generation of Precursor Metabolites and Energy (240 instances),,120,methylerythritol phosphate pathway I,methylerythritol phosphate pathway I,Methylerythritol Phosphate Pathways (2 instances),,,,Isopentenyl Diphosphate Biosynthesis (6 instances),Hemiterpene Biosynthesis (10 instances),,,,,,,VALSYN-PWY,L-valine biosynthesis
ARGSYN-PWY,Mucosal,-0.1732639493,0.01831847115,86,83,3.39E-12,1.13E-09,L-arginine biosynthesis I (via L-ornithine),L-arginine Biosynthesis (4 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances),,121,methylerythritol phosphate pathway II,methylerythritol phosphate pathway II,Methylerythritol Phosphate Pathways (2 instances),,,,Isopentenyl Diphosphate Biosynthesis (6 instances),Hemiterpene Biosynthesis (10 instances),,,,,,,NAGLIPASYN-PWY,lipid IV<sub>A</sub> biosynthesis (E. coli)
ARGSYNBSUB-PWY,Mucosal,-0.1853184343,0.01888497839,86,81,1.31E-12,1.13E-09,L-arginine biosynthesis II (acetyl cycle),L-arginine Biosynthesis (4 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances),,122,mevalonate pathway I (eukaryotes and bacteria),mevalonate pathway I (eukaryotes and bacteria),Mevalonate Pathways (4 instances),,,,Isopentenyl Diphosphate Biosynthesis (6 instances),Hemiterpene Biosynthesis (10 instances),,,,,,,NONMEVIPP-PWY,methylerythritol phosphate pathway I
ARO-PWY,Mucosal,-0.18092628,0.02828861957,86,77,1.00E-07,1.87E-06,chorismate biosynthesis I,Chorismate Biosynthesis (3 instances),,,,Aromatic Compound Biosynthesis (51 instances),,125,mixed acid fermentation,mixed acid fermentation,Fermentation to Short-Chain Fatty Acids (40 instances),Pyruvate Fermentation to Ethanol (7 instances),,,Fermentation (81 instances),Generation of Precursor Metabolites and Energy (240 instances),,,,,,,PWY-7560,methylerythritol phosphate pathway II
ASPASN-PWY,Mucosal,-0.1455087026,0.01918698476,86,85,2.04E-09,7.34E-08,superpathway of L-aspartate and L-asparagine biosynthesis,Amino Acid Biosynthesis (124 instances),,,,Biosynthesis (1993 instances),,126,NAD de novo biosynthesis I (from aspartate),NAD de novo biosynthesis I (from aspartate),NAD Biosynthesis (12 instances),,,,NAD Metabolism (19 instances),Electron Carrier Biosynthesis (99 instances),,,,,,,PWY-922,mevalonate pathway I (eukaryotes and bacteria)
BRANCHED-CHAIN-AA-SYN-PWY,Mucosal,-0.1595533308,0.01887370931,86,82,1.42E-10,1.22E-08,superpathway of branched chain amino acid biosynthesis,Amino Acid Biosynthesis (124 instances),,,,Biosynthesis (1993 instances),,129,NAD salvage pathway I (PNC VI cycle),NAD salvage pathway I (PNC VI cycle),NAD Biosynthesis (12 instances),,,,NAD Metabolism (19 instances),Electron Carrier Biosynthesis (99 instances),,,,,,,FERMENTATION-PWY,mixed acid fermentation
CALVIN-PWY,Mucosal,-0.1129532555,0.01560897218,86,86,4.51E-09,1.34E-07,Calvin-Benson-Bassham cycle,Autotrophic CO2 Fixation (12 instances),Sugar Biosynthesis (107 instances),,,CO2 Fixation (15 instances),,132,nitrate reduction VI (assimilatory),nitrate reduction VI (assimilatory),Nitrate Reduction (11 instances),,,,Nitrogen Compound Metabolism (33 instances),Inorganic Nutrient Metabolism (142 instances),,,,,,,PYRIDNUCSYN-PWY,NAD <i>de novo</i> biosynthesis I (from aspartate)
COA-PWY,Mucosal,-0.1076020492,0.01746747164,86,86,2.09E-07,3.11E-06,coenzyme A biosynthesis I (prokaryotic),Coenzyme A Biosynthesis (8 instances),,,,Carrier Biosynthesis (137 instances),,134,O-antigen building blocks biosynthesis (E. coli),O-antigen building blocks biosynthesis (E. coli),Metabolic Clusters (69 instances),Sugar Nucleotide Biosynthesis (92 instances),,,NA,NA,,,,,,,PYRIDNUCSAL-PWY,NAD salvage pathway I (PNC VI cycle)
COBALSYN-PWY,Mucosal,-0.2013615683,0.05609188736,86,58,0.0008968616988,0.005295169756,superpathway of adenosylcobalamin salvage from cobinamide I,Adenosylcobalamin Salvage from Cobinamide (5 instances),,,,Cobinamide Salvage (7 instances),,136,oleate biosynthesis IV (anaerobic),oleate biosynthesis IV (anaerobic),Oleate Biosynthesis (4 instances),,,,Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances),,,,,,,PWY490-3,nitrate reduction VI (assimilatory)
COLANSYN-PWY,Mucosal,-0.1824593081,0.03209640514,86,64,1.29E-06,1.34E-05,colanic acid building blocks biosynthesis,Carbohydrate Biosynthesis (228 instances),,,,Biosynthesis (1993 instances),,137,palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate),palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate),Palmitoleate Biosynthesis (4 instances),,,,Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances),,,,,,,PWY-7664,oleate biosynthesis IV (anaerobic)
COMPLETE-ARO-PWY,Mucosal,-0.1743270691,0.0255105149,86,79,2.38E-08,5.86E-07,superpathway of aromatic amino acid biosynthesis,Amino Acid Biosynthesis (124 instances),,,,Biosynthesis (1993 instances),,138,partial TCA cycle (obligate autotrophs),partial TCA cycle (obligate autotrophs),TCA cycle (9 instances),,,,Generation of Precursor Metabolites and Energy (240 instances),NA,,,,,,,PWY-5971,palmitate biosynthesis (type II fatty acid synthase)
DAPLYSINESYN-PWY,Mucosal,-0.1487453714,0.01664335663,86,85,3.01E-11,4.32E-09,L-lysine biosynthesis I,L-lysine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances),,139,pentose phosphate pathway,pentose phosphate pathway,Pentose Phosphate Pathways (6 instances),,,,Generation of Precursor Metabolites and Energy (240 instances),NA,,,,,,,PWY-6282,palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)
DENOVOPURINE2-PWY,Mucosal,-0.08549517591,0.01608751725,86,86,3.82E-06,3.46E-05,superpathway of purine nucleotides de novo biosynthesis II,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances),,141,pentose phosphate pathway (non-oxidative branch) I,pentose phosphate pathway (non-oxidative branch) I,Pentose Phosphate Pathways (6 instances),,,,Generation of Precursor Metabolites and Energy (240 instances),NA,,,,,,,PWY-5913,partial TCA cycle (obligate autotrophs)
DTDPRHAMSYN-PWY,Mucosal,-0.1981585661,0.0335352992,86,78,9.68E-08,1.85E-06,dTDP-beta-L-rhamnose biosynthesis,dTDP-sugar Biosynthesis (22 instances),,,,Sugar Nucleotide Biosynthesis (92 instances),,142,peptidoglycan biosynthesis I (meso-diaminopimelate containing),peptidoglycan biosynthesis I (meso-diaminopimelate containing),Cell Wall Biosynthesis (26 instances),,,,Cell Structure Biosynthesis (104 instances),Biosynthesis (1993 instances),,,,,,,PENTOSE-P-PWY,pentose phosphate pathway
