feature,Site ,metadata,value,coef,stderr,N,N.not.0,pval,qval,Terminal Pathway ,L2,L2A,L2B,L2C,L3
1CMET2-PWY,Distal_Colon,Type,Mucosal,-0.1670598002,0.01549233679,89,89,0,0,folate transformations III (E. coli),Folate Transformations (3 instances),,,,Folate Biosynthesis (14 instances)
ANAEROFRUCAT-PWY,Distal_Colon,Type,Mucosal,-0.1503193579,0.0154178384,89,89,0,0,homolactic fermentation,Fermentation to Lactate (8 instances),,,,Fermentation to Short-Chain Fatty Acids (40 instances)
ANAGLYCOLYSIS-PWY,Distal_Colon,Type,Mucosal,-0.15269551,0.01673458524,89,89,0,0,glycolysis III (from glucose),Glycolysis (5 instances),,,,Generation of Precursor Metabolites and Energy (240 instances)
ARGORNPROST-PWY,Distal_Colon,Type,Mucosal,-0.3191229048,0.1049692772,89,2,0.006108024992,0.03021094996,L-arginine degradation,Proteinogenic Amino Acid Degradation (113 instances),,,,Amino Acid Degradation (127 instances)
ARGSYN-PWY,Distal_Colon,Type,Mucosal,-0.1635332776,0.01829524411,89,86,0,0,L-arginine biosynthesis I (via L-ornithine),L-arginine Biosynthesis (4 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
ARGSYNBSUB-PWY,Distal_Colon,Type,Mucosal,-0.1579098729,0.01877624482,89,86,0,0.0000000008000475278,L-arginine biosynthesis II (acetyl cycle),L-arginine Biosynthesis (4 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
ARO-PWY,Distal_Colon,Type,Mucosal,-0.1556790513,0.01778210848,89,88,0,0.0000000003248082082,chorismate biosynthesis I,Chorismate Biosynthesis (3 instances),,,,Aromatic Compound Biosynthesis (51 instances)
ASPASN-PWY,Distal_Colon,Type,Mucosal,-0.1758865633,0.01617588224,89,89,0,0,superpathway of L-aspartate and L-asparagine biosynthesis,Amino Acid Biosynthesis (124 instances),,,,Biosynthesis (1993 instances)
BRANCHED-CHAIN-AA-SYN-PWY,Distal_Colon,Type,Mucosal,-0.1562448361,0.01624813154,89,89,0,0,superpathway of branched chain amino acid biosynthesis,Amino Acid Biosynthesis (124 instances),,,,Biosynthesis (1993 instances)
CALVIN-PWY,Distal_Colon,Type,Mucosal,-0.1306095987,0.01429527077,89,89,0,0,Calvin-Benson-Bassham cycle,Sugar Biosynthesis (107 instances),Autotrophic CO2 Fixation (12 instances),,,Carbohydrate Biosynthesis (228 instances)
COA-PWY,Distal_Colon,Type,Mucosal,-0.1764671331,0.01987649834,89,89,0,0,coenzyme A biosynthesis I (prokaryotic),Coenzyme A Biosynthesis (8 instances),,,,Carrier Biosynthesis (137 instances)
COBALSYN-PWY,Distal_Colon,Type,Mucosal,-0.148689259,0.03108290543,89,64,0.00002026021026,0.0001230509829,superpathway of adenosylcobalamin salvage from cobinamide I,Adenosylcobalamin Salvage from Cobinamide (5 instances),,,,Cobinamide Salvage (7 instances)
COLANSYN-PWY,Distal_Colon,Type,Mucosal,-0.2372610454,0.02736874969,89,67,0,0.0000000003605606585,colanic acid building blocks biosynthesis,Carbohydrate Biosynthesis (228 instances),,,,Biosynthesis (1993 instances)
COMPLETE-ARO-PWY,Distal_Colon,Type,Mucosal,-0.1526032991,0.01702925597,89,88,0,0.000000000179544441,superpathway of aromatic amino acid biosynthesis,Amino Acid Biosynthesis (124 instances),,,,Biosynthesis (1993 instances)
DAPLYSINESYN-PWY,Distal_Colon,Type,Mucosal,-0.1527804288,0.0186106672,89,89,0,0,L-lysine biosynthesis I,L-lysine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
DENOVOPURINE2-PWY,Distal_Colon,Type,Mucosal,-0.1600470948,0.02125352977,89,89,0,0.0000000005791117259,superpathway of purine nucleotides de novo biosynthesis II,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
DTDPRHAMSYN-PWY,Distal_Colon,Type,Mucosal,-0.191717499,0.02456000727,89,83,0,0.0000000002413002621,dTDP-beta-L-rhamnose biosynthesis,dTDP-sugar Biosynthesis (22 instances),,,,Sugar Nucleotide Biosynthesis (92 instances)
FASYN-ELONG-PWY,Distal_Colon,Type,Mucosal,-0.1649031592,0.01953520488,89,89,0,0,fatty acid elongation -- saturated,Fatty Acid Biosynthesis (92 instances),,,,Fatty Acid and Lipid Biosynthesis (224 instances)
FERMENTATION-PWY,Distal_Colon,Type,Mucosal,-0.1944910194,0.02246000997,89,83,0,0,mixed acid fermentation,Pyruvate Fermentation to Ethanol (7 instances),Fermentation to Short-Chain Fatty Acids (40 instances),,,Fermentation of Pyruvate (37 instances)
FOLSYN-PWY,Distal_Colon,Type,Mucosal,-0.1421197624,0.01612974804,89,86,0,0.0000000002421559015,superpathway of tetrahydrofolate biosynthesis and salvage,Folate Biosynthesis (14 instances),,,,Single Carbon Carrier Biosynthesis (23 instances)
GALACT-GLUCUROCAT-PWY,Distal_Colon,Type,Mucosal,-0.249231107,0.06410878172,89,61,0.0003162947972,0.00175341948,superpathway of hexuronide and hexuronate degradation,Superpathways (382 instances),,,,NA
GALACTUROCAT-PWY,Distal_Colon,Type,Mucosal,-0.2053901162,0.03985865872,89,68,0.000005179186637,0.0000321654749,D-galacturonate degradation I,D-Galacturonate Degradation (3 instances),,,,Sugar Acid Degradation (19 instances)
GLCMANNANAUT-PWY,Distal_Colon,Type,Mucosal,-0.168857023,0.0214947729,89,89,0,0.0000000001533354988,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",Amine and Polyamine Degradation (62 instances),,,,Degradation/Utilization/Assimilation (1104 instances)
GLUCONEO-PWY,Distal_Colon,Type,Mucosal,-0.1634432976,0.01521568783,89,89,0,0,gluconeogenesis I,Gluconeogenesis (3 instances),,,,Sugar Biosynthesis (107 instances)
GLUCUROCAT-PWY,Distal_Colon,Type,Mucosal,-0.1945208581,0.05207694604,89,62,0.0005127839186,0.002786575768,superpathway of beta-D-glucuronosides degradation,D-Glucuronate Degradation (4 instances),,,,Sugar Acid Degradation (19 instances)
GLUTORN-PWY,Distal_Colon,Type,Mucosal,-0.1764804232,0.02243037848,89,81,0.0000000005831655794,0.000000004965925449,L-ornithine biosynthesis I,L-Ornithine Biosynthesis (3 instances),,,,Other Amino Acid Biosynthesis (24 instances)
GLYCOCAT-PWY,Distal_Colon,Type,Mucosal,-0.1595471028,0.01553741812,89,89,0,0,glycogen degradation I,Glycan Degradation (11 instances),Glycogen Degradation (3 instances),,,Polysaccharide Degradation (47 instances)
GLYCOGENSYNTH-PWY,Distal_Colon,Type,Mucosal,-0.1698766187,0.0191047641,89,89,0,0,glycogen biosynthesis I (from ADP-D-Glucose),Glycogen and Starch Biosynthesis (4 instances),,,,Polysaccharide Biosynthesis (73 instances)
GLYCOLYSIS,Distal_Colon,Type,Mucosal,-0.1464173747,0.01453526724,89,89,0,0,glycolysis I (from glucose 6-phosphate),Glycolysis (5 instances),,,,Generation of Precursor Metabolites and Energy (240 instances)
GLYCOLYSIS-E-D,Distal_Colon,Type,Mucosal,-0.1426584008,0.02477270425,89,84,0.0000001352686021,0.0000009468802144,superpathway of glycolysis and the Entner-Doudoroff pathway,Generation of Precursor Metabolites and Energy (240 instances),,,,NA
GOLPDLCAT-PWY,Distal_Colon,Type,Mucosal,-0.83530727,0.2468580385,89,8,0.002914696916,0.01477018192,"superpathway of glycerol degradation to 1,3-propanediol",Glycerol Degradation (7 instances),,,,Alcohol Degradation (20 instances)
HEMESYN2-PWY,Distal_Colon,Type,Mucosal,-0.1050419228,0.03535683421,89,51,0.005795653724,0.02883861431,heme b biosynthesis II (oxygen-independent),Heme b Biosynthesis (8 instances),,,,Heme Biosynthesis (13 instances)
HISTSYN-PWY,Distal_Colon,Type,Mucosal,-0.1848964732,0.02139309684,89,83,0,0.0000000004113371895,L-histidine biosynthesis,L-histidine Biosynthesis (2 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
ILEUSYN-PWY,Distal_Colon,Type,Mucosal,-0.146971393,0.01561195218,89,89,0,0,L-isoleucine biosynthesis I (from threonine),L-isoleucine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
LACTOSECAT-PWY,Distal_Colon,Type,Mucosal,-0.2601974357,0.06775991723,89,65,0.0002564512942,0.001441012034,lactose and galactose degradation I,Galactose Degradation (5 instances),Lactose Degradation (3 instances),,,Sugar Degradation (77 instances)
METH-ACETATE-PWY,Distal_Colon,Type,Mucosal,-0.0563716864,0.0004645408811,89,1,0,0,methanogenesis from acetate,Methanogenesis (15 instances),,,,Anaerobic Respiration (40 instances)
