OTU.ID	TL1a_DTT_173_Repeat	TL1a_DTT_76_Repeat	TL1a_DTT_172_Re_extracted	TL1a_DTT_169_Re_extracted	TL1a_DTT_245_Repeat	TL1a_DTT_244_Repeat	TL1a_DTT_142_Repeat	TL1a_DTT_78	TL1a_DTT_139	TL1a_DTT_171	TL1a_DTT_209	TL1a_DTT_74	TL1a_DTT_141	TL1a_DTT_210	TL1a_DTT_241	TL1a_DTT_243	TL1a_DTT_205	TL1a_DTT_206	TL1a_DTT_64	TL1a_DTT_62	TL1a_DTT_65	TL1a_DTT_242	TL1a_DTT_73	TL1a_DTT_63	TL1a_DTT_207	TL1a_DTT_75	TL1a_DTT_246	TL1a_DTT_97	TL1a_DTT_66	TL1a_DTT_140	TL1a_DTT_99	TL1a_DTT_77	TL1a_DTT_98	TL1a_DTT_170	TL1a_DTT_208	TL1A_DTT_642	TL1A_DTT_640	TL1A_DTT_638	TL1A_DTT_641	TL1A_DTT_639	TL1A_DTT_687	TL1A_DTT_689	taxonomy
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__	40	296	16341	21907	567	872	3310	28	17	32	5	18	14	438	322	27	18	89	11	4	6	17	44	11	158	10	8838	16	38	38	217	11	44	275	5534	5007	3186	44	2172	8	0	543	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae RC9 gut group	0	0	105	2460	189	9	0	0	2	0	11	4	0	1	68	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	66	68	8	5	0	8	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__	263	223	436	2113	417	171	0	62	521	768	208	582	677	297	735	391	954	428	499	640	766	360	613	326	496	517	1037	430	698	296	533	180	431	997	105	126	101	16	83	18	0	30	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia vadinBB60 group;f__;g__	0	0	17	214	38	4	71	0	0	0	0	6	0	0	119	3	0	0	0	0	0	6	0	0	19	0	286	0	0	0	34	0	0	33	8	36	14	0	2	0	0	3	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae NK4A136 group	120	128	368	959	784	260	215	57	391	204	39	289	47	172	4796	534	23	331	137	4126	68	6432	75	132	294	62	2695	234	73	37	1940	69	96	1063	1114	2378	2660	12124	1562	6878	8209	1930	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	2876	5857	11127	9566	5046	8025	695	5201	47724	42270	1869	35838	59860	6936	47083	62136	125246	28929	3023	63419	4069	54439	35884	31989	46795	18296	11680	42462	2576	37601	48865	7595	35817	36552	1837	4825	5089	2842	4346	16917	4997	1624	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__	9	80	122	252	21	46	0	53	50	84	17	13	24	52	168	90	304	91	164	34	21	59	40	20	158	12	352	121	30	27	109	8	53	120	29	42	31	7	35	18	7	5	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] fissicatena group	15	272	44	4	37	29	0	275	400	315	22	366	380	0	64	97	105	42	393	335	99	72	601	178	84	255	55	327	75	376	414	441	508	221	8	8	4	2	4	15	2	5	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter	151	0	25	0	3626	13386	99	0	29	0	3361	0	20	20098	120	85	1667	298	0	0	3	99	0	3	311	0	2088	0	0	55	0	0	0	0	15588	7	2	0	5	0	0	15	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella	0	3	57	36	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	
