"","Taxon","Difference","P.value","FDR","Change","Feature","Taxon.2","Difference.2","P.value.2","FDR.2","Change.2","Feature.2","Taxon.1","Difference.1","P.value.1","FDR.1","Change.1","Feature.1","Taxon","Difference","P.value","FDR","Change","Feature","Taxon.2","Difference.2","P.value.2","FDR.2","Change.2","Feature.2","Taxon.1","Difference.1","P.value.1","FDR.1","Change.1","Feature.1"
"1",NA,-26.32234583,0.0002,0.0021,-1,"MF0010: tyrosine degradation (phenol pathway)",NA,-22.35412611,0.0128,0.0475,-1,"MF0010: tyrosine degradation (phenol pathway)",NA,-16.49109776,0.0053,0.0308,-1,"MF0010: tyrosine degradation (phenol pathway)",NA,-65.31151819,0,0,-1,"MF0010: tyrosine degradation (phenol pathway)",NA,-54.8679147,0.0001,0.0021,-1,"MF0010: tyrosine degradation (phenol pathway)",NA,-98.7867583,0,0,-1,"MF0010: tyrosine degradation (phenol pathway)"
"2",NA,80.55073933,0,0,1,"MF0015: glutamate degradation (methylaspartate pathway)",NA,84.88868979,0,0,1,"MF0015: glutamate degradation (methylaspartate pathway)",NA,148.1581825,0,0,1,"MF0015: glutamate degradation (methylaspartate pathway)",NA,19.95992246,0.0001,0.0003,1,"MF0015: glutamate degradation (methylaspartate pathway)",NA,19.78689643,0.0003,0.0039,1,"MF0015: glutamate degradation (methylaspartate pathway)",NA,247.9505518,0,0,1,"MF0015: glutamate degradation (methylaspartate pathway)"
"3",NA,-39.41737986,0.0067,0.0235,-1,"MF0021: leucine degradation",NA,-74.45440429,0,0,-1,"MF0021: leucine degradation",NA,-100.3279207,0,0.0002,-1,"MF0021: leucine degradation",NA,-47.46781761,0.0011,0.0024,-1,"MF0021: leucine degradation",NA,-66.3767897,0.0054,0.041,-1,"MF0021: leucine degradation",NA,-58.80334278,0.003,0.0102,-1,"MF0021: leucine degradation"
"4",NA,80.55073933,0,0,1,"MF0037: arginine degradation (AST/succinyltransferase pathway)",NA,84.88868979,0,0,1,"MF0037: arginine degradation (AST/succinyltransferase pathway)",NA,148.1581825,0,0,1,"MF0037: arginine degradation (AST/succinyltransferase pathway)",NA,19.95992246,0.0001,0.0003,1,"MF0037: arginine degradation (AST/succinyltransferase pathway)",NA,19.78689643,0.0003,0.0039,1,"MF0037: arginine degradation (AST/succinyltransferase pathway)",NA,247.9505518,0,0,1,"MF0037: arginine degradation (AST/succinyltransferase pathway)"
"5",NA,286.8472453,0,0,1,"MF0040: lysine degradation (cadaverine pathway)",NA,197.6747472,0,0,1,"MF0040: lysine degradation (cadaverine pathway)",NA,361.198946,0,0,1,"MF0040: lysine degradation (cadaverine pathway)",NA,389.3303338,0,0,1,"MF0040: lysine degradation (cadaverine pathway)",NA,220.2562914,0.0003,0.0039,1,"MF0040: lysine degradation (cadaverine pathway)",NA,516.3994996,0,0,1,"MF0040: lysine degradation (cadaverine pathway)"
"6",NA,101.7267033,0,0,1,"MF0070: galactonate degradation",NA,113.5600081,0,0,1,"MF0070: galactonate degradation",NA,204.1392811,0,0,1,"MF0070: galactonate degradation",NA,238.314474,0,0,1,"MF0070: galactonate degradation",NA,171.2786039,0,0.0013,1,"MF0070: galactonate degradation",NA,323.8803569,0,0,1,"MF0070: galactonate degradation"
"7",NA,311.8353501,0,0,1,"MF0075: sorbitol degradation (phosphotransferase)/sorbose degradation",NA,229.7305272,0,0,1,"MF0075: sorbitol degradation (phosphotransferase)/sorbose degradation",NA,378.0301846,0,0,1,"MF0075: sorbitol degradation (phosphotransferase)/sorbose degradation",NA,286.6013092,0,0,1,"MF0075: sorbitol degradation (phosphotransferase)/sorbose degradation",NA,259.5427696,0.0017,0.0162,1,"MF0075: sorbitol degradation (phosphotransferase)/sorbose degradation",NA,723.0250738,0,0,1,"MF0075: sorbitol degradation (phosphotransferase)/sorbose degradation"
"8",NA,79.37540297,0,0,1,"MF0095: NADH:ferredoxin oxidoreductase",NA,82.79795829,0,0,1,"MF0095: NADH:ferredoxin oxidoreductase",NA,147.0022617,0,0,1,"MF0095: NADH:ferredoxin oxidoreductase",NA,19.65887497,0.0009,0.0019,1,"MF0095: NADH:ferredoxin oxidoreductase",NA,18.45489464,0.0016,0.0162,1,"MF0095: NADH:ferredoxin oxidoreductase",NA,247.6053472,0,0,1,"MF0095: NADH:ferredoxin oxidoreductase"
"9",NA,-2867.142336,0.0003,0.0028,-1,"MF0121: propionate production (acrylate pathway)",NA,-2532.26417,0.0024,0.0174,-1,"MF0121: propionate production (acrylate pathway)",NA,-4822.206512,0.0003,0.0021,-1,"MF0121: propionate production (acrylate pathway)",NA,-747.5569484,0.0002,0.0006,-1,"MF0121: propionate production (acrylate pathway)",NA,-992.1683482,0.0003,0.004,-1,"MF0121: propionate production (acrylate pathway)",NA,-550.9580914,0.0108,0.0308,-1,"MF0121: propionate production (acrylate pathway)"
"10",NA,79.71163531,0,0,1,"MF0128: Propionate conversion to succinate",NA,84.41652711,0,0,1,"MF0128: Propionate conversion to succinate",NA,149.7187397,0,0,1,"MF0128: Propionate conversion to succinate",NA,22.09001418,0.0006,0.0013,1,"MF0128: Propionate conversion to succinate",NA,19.30793872,0.0003,0.0039,1,"MF0128: Propionate conversion to succinate",NA,247.0829569,0,0,1,"MF0128: Propionate conversion to succinate"
