metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Site	PWY.5509	Proximal_Colon	0.31903606325527	0.0294200515674993	138	92	1.91047634924256e-17	2.16265922734258e-14
Site	PWY.5509	Cecum	0.252919607272048	0.0294469489326308	138	92	5.26757670175236e-13	1.98763227546122e-10
Site	PWY.6269	Proximal_Colon	0.380666454763873	0.0447751637752373	138	92	5.06158778332105e-13	1.98763227546122e-10
Site	GLUTORN.PWY	Proximal_Colon	0.184058278139164	0.0223960725864923	138	126	1.37897430593464e-12	3.90249728579502e-10
Site	PWY.5104	Proximal_Colon	0.120764114487812	0.0149451528135504	138	138	2.91561036300854e-12	5.50078488487611e-10
Site	PWY.7111	Proximal_Colon	0.110552952479729	0.0136391175192107	138	138	2.52968099444627e-12	5.50078488487611e-10
Site	ARGSYNBSUB.PWY	Proximal_Colon	0.137625310833766	0.017143531608118	138	134	3.65419381719034e-12	5.90935343008495e-10
Site	COBALSYN.PWY	Proximal_Colon	0.238089395851485	0.029924632714062	138	109	4.66014600102482e-12	6.59410659145012e-10
Site	ILEUSYN.PWY	Proximal_Colon	0.117642840521952	0.0148440058951942	138	138	6.02932487395718e-12	6.65411979903122e-10
Site	PWY.5101	Proximal_Colon	0.115831052867181	0.0146465797329237	138	138	6.46601747255683e-12	6.65411979903122e-10
Site	VALSYN.PWY	Proximal_Colon	0.117642840521952	0.0148440058951942	138	138	6.02932487395718e-12	6.65411979903122e-10
Site	PWY.6163	Proximal_Colon	0.134290287102472	0.0171036325005869	138	136	8.15374015398512e-12	7.69169487859263e-10
Site	ARO.PWY	Proximal_Colon	0.135450121686384	0.0173532431662509	138	137	9.96947716925612e-12	8.57032266958573e-10
Site	COMPLETE.ARO.PWY	Proximal_Colon	0.13124505766883	0.0168429721744876	138	137	1.05993389906537e-11	8.57032266958573e-10
Site	BRANCHED.CHAIN.AA.SYN.PWY	Proximal_Colon	0.12124408496645	0.0155954987062056	138	138	1.21556890379302e-11	9.17349332729131e-10
Site	PYRIDNUCSAL.PWY	Proximal_Colon	0.184279792638136	0.0239695680666804	138	122	1.6756271329647e-11	1.18550619657253e-09
Site	ARGSYN.PWY	Proximal_Colon	0.126334045178248	0.0164583504556375	138	134	1.95123590944367e-11	1.24941002354497e-09
Site	PWY.5103	Proximal_Colon	0.127768107394886	0.0166990603980753	138	136	2.09706629393591e-11	1.24941002354497e-09
Site	PWY.7400	Proximal_Colon	0.126327250138058	0.01648492701589	138	134	2.07206229471178e-11	1.24941002354497e-09
Site	HISTSYN.PWY	Proximal_Colon	0.153765240326795	0.0202910248333636	138	128	2.92045918977522e-11	1.65297990141277e-09
Site	PWY.5505	Proximal_Colon	0.219496410498915	0.0278685442762318	138	113	3.47897166591929e-11	1.87533139324792e-09
Site	NONMEVIPP.PWY	Proximal_Colon	0.126375574537102	0.0169261662739065	138	136	5.11464421448276e-11	2.51729445686717e-09
Site	PWY.7560	Proximal_Colon	0.126375574537102	0.0169261662739065	138	136	5.11464421448276e-11	2.51729445686717e-09
Site	PWY.6897	Proximal_Colon	0.18160433293817	0.0249011486408404	138	117	1.06986526319375e-10	5.04619782473053e-09
Site	ARGSYNBSUB.PWY	Cecum	0.124573657257502	0.017143531608118	138	134	1.30968436495934e-10	5.86020700629952e-09
Site	GLYCOCAT.PWY	Proximal_Colon	0.109576714452158	0.0150900760116295	138	138	1.34598394137622e-10	5.86020700629952e-09
Site	ARGSYN.PWY	Cecum	0.117741659009971	0.0164583504556375	138	134	2.23388776051047e-10	7.43753219087603e-09
Site	BRANCHED.CHAIN.AA.SYN.PWY	Cecum	0.111873324974868	0.0155954987062056	138	138	2.02365943545723e-10	7.43753219087603e-09
Site	ILEUSYN.PWY	Cecum	0.106409173474685	0.0148440058951942	138	138	2.08909426108684e-10	7.43753219087603e-09
Site	PWY.6737	Proximal_Colon	0.114936192783036	0.0160305707349162	138	138	2.03466960712361e-10	7.43753219087603e-09
Site	PWY.7111	Cecum	0.0979768731246689	0.0136391175192107	138	138	1.92758518355637e-10	7.43753219087603e-09
Site	SER.GLYSYN.PWY	Proximal_Colon	0.103855615448164	0.0144884316631851	138	135	2.15240541418063e-10	7.43753219087603e-09
Site	TRPSYN.PWY	Proximal_Colon	0.153372104178255	0.0214705137401773	138	126	2.21232150234595e-10	7.43753219087603e-09
Site	VALSYN.PWY	Cecum	0.106409173474685	0.0148440058951942	138	138	2.08909426108684e-10	7.43753219087603e-09
Site	PWY.7400	Cecum	0.11777128996192	0.01648492701589	138	134	2.33690247895933e-10	7.55821030337702e-09
Site	PWY.5101	Cecum	0.104443557436501	0.0146465797329237	138	138	2.4683059712067e-10	7.76145099834995e-09
Site	PWY.5104	Cecum	0.106197047567271	0.0149451528135504	138	138	2.80833582295946e-10	8.36588460944764e-09
Site	PWY.5189	Proximal_Colon	0.282791004314642	0.0398892914584661	138	94	2.80361296470265e-10	8.36588460944764e-09
Site	GLUTORN.PWY	Cecum	0.158373833879583	0.0223960725864923	138	126	3.09202781992882e-10	8.97480895425493e-09
Site	PWY.5188	Proximal_Colon	0.263555792789766	0.0374127095181509	138	96	3.53270455458721e-10	9.99755388948181e-09
Site	DAPLYSINESYN.PWY	Proximal_Colon	0.106283569017772	0.0150982577021485	138	138	3.84106060783296e-10	1.06050746538217e-08
Site	PWY.6163	Cecum	0.118964669965961	0.0171036325005869	138	136	5.40765154126528e-10	1.45749084397912e-08
Site	COMPLETE.ARO.PWY	Cecum	0.116900074823126	0.0168429721744876	138	137	5.71817031579682e-10	1.50534158080977e-08
Site	PWY.5103	Cecum	0.115745320727902	0.0166990603980753	138	136	6.03910495651423e-10	1.55369700244866e-08
Site	ARO.PWY	Cecum	0.120055348862164	0.0173532431662509	138	137	6.34244134470215e-10	1.59547635604507e-08
Site	PWY.5121	Proximal_Colon	0.110542164017489	0.0160372364278166	138	133	7.4499044634139e-10	1.83332431577925e-08
Site	HISTSYN.PWY	Cecum	0.137994870938484	0.0202910248333636	138	128	1.08949113965461e-09	2.62405100018939e-08
Site	NONMEVIPP.PWY	Cecum	0.115036923622428	0.0169261662739065	138	136	1.14139923305072e-09	2.63686516696616e-08
Site	PWY.7560	Cecum	0.115036923622428	0.0169261662739065	138	136	1.14139923305072e-09	2.63686516696616e-08
Site	SER.GLYSYN.PWY	Cecum	0.0982369938119595	0.0144884316631851	138	135	1.27770813777611e-09	2.89273122392511e-08
