NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
BIOSYNTHESIS OF AMINO ACIDS	BIOSYNTHESIS OF AMINO ACIDS	Details ...	141	-0.15945248	-2.187748	0.003984064	0.08032364	0.067	1516	tags=67%, list=52%, signal=134%	
ARGININE AND PROLINE METABOLISM	ARGININE AND PROLINE METABOLISM	Details ...	52	-0.25932524	-2.185708	0.0041067763	0.041366152	0.069	1271	tags=69%, list=44%, signal=121%	
FLAGELLAR ASSEMBLY	FLAGELLAR ASSEMBLY	Details ...	33	-0.29070416	-2.0041423	0.001984127	0.09041177	0.201	574	tags=48%, list=20%, signal=60%	
2-OXOCARBOXYLIC ACID METABOLISM	2-OXOCARBOXYLIC ACID METABOLISM	Details ...	28	-0.29058555	-1.876837	0.0056926	0.14703067	0.384	1446	tags=79%, list=50%, signal=155%	
D-ALANINE METABOLISM	D-ALANINE METABOLISM	Details ...	5	-0.67725235	-1.8319175	0.014285714	0.16087459	0.49	941	tags=100%, list=32%, signal=148%	
CITRATE CYCLE (TCA CYCLE)	CITRATE CYCLE (TCA CYCLE)	Details ...	35	-0.2571628	-1.8104244	0.017475728	0.14762594	0.518	922	tags=57%, list=32%, signal=83%	
CARBON FIXATION PATHWAYS IN PROKARYOTES	CARBON FIXATION PATHWAYS IN PROKARYOTES	Details ...	48	-0.20688795	-1.678164	0.03422053	0.2644694	0.791	922	tags=52%, list=32%, signal=75%	
HISTIDINE METABOLISM	HISTIDINE METABOLISM	Details ...	19	-0.3135075	-1.646226	0.0392562	0.2704827	0.847	930	tags=63%, list=32%, signal=92%	
"VALINE, LEUCINE AND ISOLEUCINE BIOSYNTHESIS"	"VALINE, LEUCINE AND ISOLEUCINE BIOSYNTHESIS"	Details ...	12	-0.37900808	-1.636003	0.046413504	0.25190488	0.859	1324	tags=83%, list=46%, signal=153%	
"VALINE, LEUCINE AND ISOLEUCINE DEGRADATION"	"VALINE, LEUCINE AND ISOLEUCINE DEGRADATION"	Details ...	15	-0.3434707	-1.6160095	0.043396227	0.25195724	0.891	1331	tags=80%, list=46%, signal=147%	
LYSOSOME	LYSOSOME	Details ...	8	-0.46475467	-1.5974067	0.047325104	0.25135615	0.909	1558	tags=100%, list=54%, signal=215%	
PENTOSE AND GLUCURONATE INTERCONVERSIONS	PENTOSE AND GLUCURONATE INTERCONVERSIONS	Details ...	22	-0.26540405	-1.5086231	0.07554672	0.34629554	0.97	1611	tags=82%, list=56%, signal=183%	
BUTANOATE METABOLISM	BUTANOATE METABOLISM	Details ...	30	-0.23674557	-1.5073594	0.08317215	0.3213908	0.97	1159	tags=63%, list=40%, signal=104%	
GLUTATHIONE METABOLISM	GLUTATHIONE METABOLISM	Details ...	13	-0.33421198	-1.4508195	0.096	0.38250798	0.989	1491	tags=85%, list=51%, signal=173%	
SPHINGOLIPID METABOLISM	SPHINGOLIPID METABOLISM	Details ...	7	-0.4490501	-1.4398084	0.100603625	0.37563574	0.993	1603	tags=100%, list=55%, signal=223%	
ASCORBATE AND ALDARATE METABOLISM	ASCORBATE AND ALDARATE METABOLISM	Details ...	9	-0.38422245	-1.4317509	0.084980235	0.36438957	0.995	1469	tags=89%, list=51%, signal=179%	
PEROXISOME	PEROXISOME	Details ...	7	-0.4207254	-1.3653394	0.14285715	0.44545197	0.998	1685	tags=100%, list=58%, signal=238%	
PHOSPHONATE AND PHOSPHINATE METABOLISM	PHOSPHONATE AND PHOSPHINATE METABOLISM	Details ...	6	-0.4433702	-1.3065438	0.17364016	0.52828526	0.999	1619	tags=100%, list=56%, signal=226%	
BACTERIAL CHEMOTAXIS	BACTERIAL CHEMOTAXIS	Details ...	19	-0.24658158	-1.2990069	0.15810277	0.5151358	0.999	512	tags=42%, list=18%, signal=51%	
OTHER GLYCAN DEGRADATION	OTHER GLYCAN DEGRADATION	Details ...	9	-0.35345855	-1.284324	0.15968063	0.51516587	1.0	1558	tags=89%, list=54%, signal=191%	
