Pathway,Duodenum
chorismate biosynthesis from 3-dehydroquinate,-0.100436146
chorismate biosynthesis I,-0.103845086
GDP-mannose biosynthesis,-0.164580438
L-isoleucine biosynthesis IV,-0.046264552
L-lysine biosynthesis I,-0.044038123
methylerythritol phosphate pathway I,-0.090239095
methylerythritol phosphate pathway II,-0.090239095
partial TCA cycle (obligate autotrophs),-0.143316921
pentose phosphate pathway (non-oxidative branch) I,-0.04212868
peptidoglycan biosynthesis II (staphylococci),-0.344445882
pyrimidine deoxyribonucleosides salvage,-0.078567666
pyrimidine deoxyribonucleotides de novo biosynthesis III,-0.308277476
superpathway of aromatic amino acid biosynthesis,-0.097188957
superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),-0.072479091
superpathway of L-aspartate and L-asparagine biosynthesis,-0.05402111
superpathway of L-isoleucine biosynthesis I,-0.03323219
tRNA charging,-0.038129326
