,metadata,feature,value,coef,stderr,N,N.not.0,pval,qval,Site
37,Type,MF0075,Mucosal,-0.244912581,0.175441884,18,18,0.199669487,0.999335206,Duodenum
7,Type,MF0040,Mucosal,-0.999610043,0.354348482,18,4,0.024262872,0.773249317,Duodenum
43,Type,MF0077,Mucosal,-0.310973432,0.200442,18,7,0.159690367,0.999335206,Duodenum
61,Type,MF0090,Mucosal,-0.262799697,0.249646962,18,18,0.32675397,0.999335206,Duodenum
NA,NA,MF0025,NA,NA,NA,NA,NA,NA,NA,Duodenum
13,Type,MF0070,Mucosal,-0.365542017,0.190572921,18,18,0.090824398,0.918835271,Duodenum
49,Type,MF0004,Mucosal,1.027824929,1.071584181,18,13,0.375244553,0.999335206,Duodenum
33,Type,MF0066,Mucosal,-0.212279162,0.152839227,18,18,0.200296134,0.999335206,Duodenum
72,Type,MF0008,Mucosal,-0.238131407,0.289973361,18,14,0.436472779,0.999335206,Duodenum
9,Type,MF0092,Mucosal,-0.472514012,0.182236972,18,18,0.034325052,0.823801255,Duodenum
27,Type,MF0075,Mucosal,0.257751555,0.172618605,18,18,0.171995957,0.700964655,Jejunum
17,Type,MF0040,Mucosal,-0.834510243,0.343355783,18,3,0.043001411,0.488858149,Jejunum
41,Type,MF0077,Mucosal,0.241070314,0.267758564,18,8,0.39486604,0.808481376,Jejunum
14,Type,MF0090,Mucosal,-0.355765974,0.131694503,18,18,0.029377481,0.373266811,Jejunum
NA1,NA,MF0025,NA,NA,NA,NA,NA,NA,NA,Jejunum
48,Type,MF0070,Mucosal,0.123593485,0.225800305,18,18,0.598664276,0.901781436,Jejunum
58,Type,MF0004,Mucosal,0.044133409,0.133414666,18,16,0.750015077,0.945036842,Jejunum
40,Type,MF0066,Mucosal,0.185052961,0.189426009,18,18,0.355667255,0.808481376,Jejunum
62,Type,MF0008,Mucosal,-0.035117507,0.240521625,18,12,0.887814286,0.973441045,Jejunum
21,Type,MF0092,Mucosal,-0.268488974,0.118072802,18,18,0.055934755,0.523291244,Jejunum
