"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","annotation","detailed_annotation","condensed_annotation","Hierarchy_L1","Hierarchy_L2","Map","Map2_ammonia","Map3_carbon_dioxide","X","X.1","X.2","X.3"
"1","MF0001","Type","Mucosal",-0.295650464931185,0.0972168734733324,54,37,0.00399686002999344,0.0423039561694388,"arabinoxylan degradation","arabinoxylan degradation","arabinoxylan degradation","carbohydrate degradation","polysaccharide degradation","polysaccharides","#N/A","#N/A",NA,NA,"ethanol production (CO2 pathway)","ethanol"
"2","MF0004","Type","Mucosal",-0.624256893242347,0.0820233017413108,54,51,0.00000000136331191211646,0.000000477159169240762,"pectin degradation II","","pectin degradation","carbohydrate degradation","polysaccharide degradation","polysaccharides","#N/A","#N/A",NA,NA,"D-galacturonate degradation","sugar acid"
"3","MF0005","Type","Mucosal",-0.27103718754653,0.0918794156708334,54,54,0.00517737938673982,0.0479611980440777,"starch degradation","","starch degradation","carbohydrate degradation","polysaccharide degradation","polysaccharides","#N/A","#N/A",NA,NA,"galactarate degradation","sugar acid"
"4","MF0006","Type","Mucosal",-0.24452719480315,0.0687649085786536,54,54,0.000933150428390709,0.0130641059974699,"lactose degradation","","lactose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"galactonate degradation","sugar acid"
"5","MF0007","Type","Mucosal",-0.861427354385219,0.246103022555595,54,9,0.00108912705095803,0.0146613256859735,"lactose and galactose degradation","","lactose and galactose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"glucarate degradation","sugar acid"
"6","MF0008","Type","Mucosal",-0.592620736952748,0.126014974213695,54,17,0.0000252244120308494,0.0008025949282543,"maltose degradation","","maltose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"7","MF0011","Type","Mucosal",-0.304829985243121,0.0894770096060979,54,54,0.00133817907938684,0.0173467658439034,"sucrose degradation II","","sucrose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"8","MF0015","Type","Mucosal",-0.398322542475898,0.136052299783154,54,53,0.00520721578764272,0.0479611980440777,"fructose degradation","","fructose degradation","carbohydrate degradation","monosaccharide degradation","monosaccharides","#N/A","#N/A",NA,NA,"",""
"9","MF0017","Type","Mucosal",-0.234195382359115,0.0648939544829496,54,54,0.000797386047405014,0.0122892518517091,"galactose degradation","","galactose degradation","carbohydrate degradation","monosaccharide degradation","monosaccharides","#N/A","#N/A",NA,NA,"",""
"10","MF0018","Type","Mucosal",-0.441384827892643,0.0795283796000074,54,54,0.00000180402699542295,0.0000902013497711476,"mannose degradation","","mannose degradation","carbohydrate degradation","monosaccharide degradation","monosaccharides","#N/A","#N/A",NA,NA,"",""
"11","MF0022","Type","Mucosal",-0.24546563156523,0.0686252285328856,54,54,0.000842691555545769,0.0122892518517091,"galacturonate degradation I","","D-galacturonate degradation","carbohydrate degradation","sugar acid degradation","sugar acid","#N/A","#N/A",NA,NA,"",""
"12","MF0025","Type","Mucosal",-0.519179601988824,0.12970803949259,54,10,0.000216172475509938,0.00504402442856523,"tryptophan degradation","tryptophan degradation","tryptophan degradation","amino acid degradation","aromatic amino acid degradation","proteolytic fermentation","ammonia","#N/A",NA,NA,"",""
