feature,MetaCyc_ID,L1...Terminal.Pathway,L2A,L3A ,L4A,L2B,L2C,L2D,L2E,L2F,L2G,L3B,L3C,L3D,L3E,L3F,L3G,L4B,L2C,L2D,L2E,L2F,L2G
1CMET2.PWY,1CMET2-PWY,folate transformations III (E. coli),Folate Transformations,Folate Biosynthesis,Single Carbon Carrier Biosynthesis,Folate Transformations (3 instances),NA,NA,NA,NA,NA,Folate Biosynthesis (14 instances),NA,NA,NA,NA,NA,Vitamin Biosynthesis (66 instances),NA,NA,NA,NA,NA
ALL.CHORISMATE.PWY,ALL-CHORISMATE-PWY,superpathway of chorismate metabolism,Superpathways,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANAEROFRUCAT.PWY,ANAEROFRUCAT-PWY,homolactic fermentation,Fermentation to Lactate,Fermentation to Short-Chain Fatty Acids,Fermentation,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANAGLYCOLYSIS.PWY,ANAGLYCOLYSIS-PWY,glycolysis III (from glucose),Glycolysis,Generation of Precursor Metabolites and Energy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG.POLYAMINE.SYN,ARG+POLYAMINE-SYN,superpathway of arginine and polyamine biosynthesis,Amine and Polyamine Biosynthesis,Biosynthesis,NA,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARGDEG.PWY,ARGDEG-PWY,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",L-arginine Degradation,Proteinogenic Amino Acid Degradation,Amino Acid Degradation,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARGSYN.PWY,ARGSYN-PWY,L-arginine biosynthesis I (via L-ornithine),L-arginine Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Amino Acid Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARGSYNBSUB.PWY,ARGSYNBSUB-PWY,L-arginine biosynthesis II (acetyl cycle),L-arginine Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Amino Acid Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARO.PWY,ARO-PWY,chorismate biosynthesis I,Chorismate Biosynthesis,Aromatic Compound Biosynthesis,Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASPASN.PWY,ASPASN-PWY,superpathway of L-aspartate and L-asparagine biosynthesis,Amino Acid Biosynthesis,Biosynthesis,NA,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
