,V1
1CMET2-PWY,0.006154566
ALL-CHORISMATE-PWY,2.26E-05
ANAEROFRUCAT-PWY,0.008597668
ANAGLYCOLYSIS-PWY,0.011532061
ARG-POLYAMINE-SYN,0.000595159
ARGDEG-PWY,6.90E-06
ARGORNPROST-PWY,0.000747648
ARGSYN-PWY,0.005056046
ARGSYNBSUB-PWY,0.004904612
ARO-PWY,0.004990045
ASPASN-PWY,0.006592069
AST-PWY,3.16E-06
BIOTIN-BIOSYNTHESIS-PWY,0.000150183
BRANCHED-CHAIN-AA-SYN-PWY,0.005744461
CALVIN-PWY,0.007905459
CENTFERM-PWY,5.36E-05
COA-PWY,0.009889404
COBALSYN-PWY,0.002631787
CODH-PWY,0.000197721
COLANSYN-PWY,0.002538216
COMPLETE-ARO-PWY,0.00522525
DAPLYSINESYN-PWY,0.006748125
DENOVOPURINE2-PWY,0.008023302
DTDPRHAMSYN-PWY,0.006571155
ECASYN-PWY,6.83E-06
ENTBACSYN-PWY,1.60E-05
FAO-PWY,4.48E-05
FASYN-ELONG-PWY,0.007792196
FASYN-INITIAL-PWY,8.22E-05
FERMENTATION-PWY,0.004213337
FOLSYN-PWY,0.003154758
FUC-RHAMCAT-PWY,0.000410955
FUCCAT-PWY,0.000596632
GALACT-GLUCUROCAT-PWY,0.001952713
GALACTARDEG-PWY,2.55E-05
GALACTUROCAT-PWY,0.002515209
GLCMANNANAUT-PWY,0.008263578
GLUCARDEG-PWY,3.98E-05
GLUCARGALACTSUPER-PWY,2.55E-05
GLUCONEO-PWY,0.008525366
GLUCOSE1PMETAB-PWY,7.43E-05
GLUCUROCAT-PWY,0.002024743
GLUTORN-PWY,0.00371464
GLYCOCAT-PWY,0.007399323
GLYCOGENSYNTH-PWY,0.010071137
GLYCOL-GLYOXDEG-PWY,5.14E-05
GLYCOLYSIS,0.009120474
GLYCOLYSIS-E-D,0.004869043
GLYCOLYSIS-TCA-GLYOX-BYPASS,9.13E-05
GLYOXYLATE-BYPASS,0.000373926
GOLPDLCAT-PWY,0.000754758
HCAMHPDEG-PWY,3.45E-06
HEME-BIOSYNTHESIS-II,9.05E-05
HEMESYN2-PWY,0.00188398
HEXITOLDEGSUPER-PWY,0.00141901
HISDEG-PWY,0.000417708
HISTSYN-PWY,0.004204283
HOMOSER-METSYN-PWY,0.000572726
HSERMETANA-PWY,0.000634925
ILEUSYN-PWY,0.006195533
KDO-NAGLIPASYN-PWY,2.16E-05
KETOGLUCONMET-PWY,5.57E-06
LACTOSECAT-PWY,0.004334083
LEU-DEG2-PWY,1.01E-05
MET-SAM-PWY,0.000874999
METH-ACETATE-PWY,0.000301878
METHGLYUT-PWY,5.11E-06
NAD-BIOSYNTHESIS-II,0.000739151
NAGLIPASYN-PWY,0.001487918
NONMEVIPP-PWY,0.005413422
NONOXIPENT-PWY,0.01060481
OANTIGEN-PWY,0.006976497
ORNARGDEG-PWY,6.90E-06
ORNDEG-PWY,6.14E-06
P105-PWY,3.88E-05
P108-PWY,0.002255854
P122-PWY,0.007260821
P124-PWY,0.009009461
P125-PWY,6.83E-05
P161-PWY,0.009730036
P162-PWY,0.000169461
P163-PWY,6.02E-05
P164-PWY,0.0014561
P23-PWY,0.001275191
P341-PWY,0.000493329
P4-PWY,0.001879488
P42-PWY,0.003788719
P441-PWY,0.006633681
P461-PWY,0.003116327
P562-PWY,0.00025386
PANTO-PWY,0.002449505
PANTOSYN-PWY,0.003198654
PENTOSE-P-PWY,0.003673862
PEPTIDOGLYCANSYN-PWY,0.01066991
PHOSLIPSYN-PWY,0.010731597
POLYAMINSYN3-PWY,0.000260711
POLYAMSYN-PWY,0.000328687
POLYISOPRENSYN-PWY,0.007887762
PPGPPMET-PWY,3.05E-05
PRPP-PWY,0.002179528
PWY-1269,0.001484636
PWY-1861,0.002993794
PWY-2941,0.007826039
PWY-2942,0.010135841
PWY-3001,0.006581029
PWY-3781,0.000927124
PWY-4361,1.02E-06
PWY-4984,0.001594903
PWY-5005,6.50E-08
PWY-5022,0.000618964
PWY-5088,8.80E-07
PWY-5097,0.01011754
PWY-5100,0.013007374
PWY-5101,0.006513306
PWY-5103,0.005365926
PWY-5104,0.006176893
PWY-5121,0.005893954
PWY-5154,0.001984312
PWY-5177,2.48E-05
PWY-5180,1.48E-05
PWY-5182,1.48E-05
PWY-5188,0.002469682
PWY-5189,0.002342891
PWY-5265,0.000682436
PWY-5304,0.000507935
PWY-5345,0.000498341
PWY-5347,0.001176245
PWY-5384,0.001505739
PWY-5415,2.76E-06
PWY-5484,0.009028277
PWY-5505,0.004318468
PWY-5507,5.87E-06
PWY-5509,0.002487658
PWY-5532,8.16E-07
PWY-5659,0.003267417
PWY-5667,0.011365498
PWY-5676,9.41E-05
PWY-5677,7.35E-05
